names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Peri NN (for_DEGs),mean_expr_Rest (for_DEGs)
Dlc1,10.124245,5.309416,4.312949443294305e-24,1.1588895154131799e-19,0.9130434782608695,0.5477496862112247,3.730173,0.7060714
Atp1a2,9.758334,5.792299,1.6992324865416665e-22,2.2829188456687293e-18,0.8913043478260869,0.3144342836650529,3.384498,0.41497013
Ebf1,9.192274,7.2064805,3.8462139355574334e-20,3.444925614947608e-16,0.8043478260869565,0.08538640846333154,2.6864014,0.08857359
Atp13a5,9.105875,9.35961,8.557359628833493e-20,5.422311197711523e-16,0.782608695652174,0.030303030303030304,2.8845277,0.025392909
Plce1,9.035178,5.947684,1.6373507975687408e-19,7.332602655112011e-16,0.8043478260869565,0.15452752375829298,2.1544611,0.11645921
Pitpnc1,8.324293,3.8598158,8.483317548033232e-17,1.296005237020019e-13,0.8260869565217391,0.5071902456517842,2.5813656,0.61050284
Vtn,8.314146,8.008316,9.241564760743196e-17,1.296005237020019e-13,0.717391304347826,0.0221624529316837,1.9553858,0.023288334
Slc6a20a,8.276244,7.5971828,1.2712120292638227e-16,1.5887837028161676e-13,0.717391304347826,0.023740362201900664,1.9030371,0.029043414
Itga1,8.231352,7.224761,1.851125088409251e-16,1.989589245022263e-13,0.717391304347826,0.04766003227541689,1.9341049,0.038800836
Pde8b,8.158111,3.544362,3.403045373404533e-16,3.516916507053069e-13,0.8260869565217391,0.6383718845257307,2.663869,0.76285803
Pdgfrb,8.025475,7.592669,1.0113434698270286e-15,9.370620356638709e-13,0.6956521739130435,0.035359512282589205,1.8933245,0.028806893
Utrn,8.01992,4.0863347,1.0581402525081188e-15,9.477409528297719e-13,0.782608695652174,0.3752555137170522,2.2906666,0.42058465
Plcl1,7.9768944,3.0659416,1.5006118694510303e-15,1.1590627872933903e-12,0.8695652173913043,0.6858884705038552,3.0274317,1.2077093
Ptn,7.976144,3.5628414,1.5097580035455401e-15,1.1590627872933903e-12,0.8260869565217391,0.6011117088040165,2.7124424,0.78402853
Abcc9,7.877364,9.697441,3.343592097702494e-15,2.1391028491730004e-12,0.6739130434782609,0.007064730141653219,1.7268332,0.005552387
Dock6,7.653433,6.723995,1.9568376285831586e-14,9.389326264290976e-12,0.6739130434782609,0.06193293885601578,1.6333079,0.038240664
Myo1b,7.5501966,4.6934314,4.3460092124061454e-14,1.979275720972087e-11,0.717391304347826,0.24228079612694997,1.7899218,0.17631876
Plxdc2,7.43975,2.8350847,1.0087590209794885e-13,4.2352117021435715e-11,0.8478260869565217,0.6882553344091805,2.7793899,1.1369877
Cald1,7.216935,4.668776,5.317229671684053e-13,1.7008804914065538e-10,0.6956521739130435,0.24439662901201362,1.8622607,0.19376087
Pten,7.1960263,2.207344,6.199268348822654e-13,1.9146475923317784e-10,0.8043478260869565,0.7108122646584185,1.9824499,0.8567985
Prkg1,7.093998,1.8616892,1.3029193695848449e-12,3.5009443460744783e-10,0.8478260869565217,0.8104357181280258,3.1027868,1.9242111
Mast4,7.040733,2.2693725,1.912312011715117e-12,4.847530542904263e-10,0.8043478260869565,0.762811547426932,2.5900872,1.2691102
Arhgap42,6.7924156,4.3409443,1.1027138785371339e-11,2.1014129018647366e-09,0.6739130434782609,0.2754886139501524,1.6369871,0.18587619
Ptprk,6.7788086,2.0846927,1.2117082958691089e-11,2.261014021527983e-09,0.8043478260869565,0.6789671866594944,2.3103585,1.1442596
