names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Vip Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,27.166674,5.4827466,1.608921844429126e-162,4.323172995981061e-158,0.9523809523809523,0.5779982618771726,4.4320803,1.0502952
Dlx6os1,25.923838,5.1794505,3.5875721360262056e-148,4.8199031647512077e-144,0.9206349206349206,0.27143684820393976,2.862828,0.37543154
Erbb4,25.867638,4.610914,1.5409162117443267e-147,1.3801472869856686e-143,0.9492063492063492,0.7174464078794901,4.4990845,1.5346203
Synpr,23.94397,3.2382054,1.0678393486580583e-126,7.173210824610506e-123,0.9301587301587302,0.5421132676709154,2.6273785,0.85885215
Nrxn3,23.60086,2.1681638,3.776539585542777e-123,2.0295123732706883e-119,0.9809523809523809,0.9287007531865585,4.554453,3.087695
Grip1,23.55738,2.6695685,1.0547119236115206e-122,4.723351564573593e-119,0.946031746031746,0.7787514484356894,3.29386,1.6249441
Npas3,23.20849,3.6952724,3.737607731060443e-119,1.4347074247656297e-115,0.9206349206349206,0.5810037659327926,3.1616712,1.0099533
Galntl6,22.61916,2.9997828,2.807716802068559e-113,9.430418808947773e-110,0.9587301587301588,0.8119930475086906,3.903471,1.9562445
Sorcs3,22.099504,2.7814355,3.1955230888703937e-108,9.540411710883054e-105,0.9015873015873016,0.5810761877172653,2.3979516,0.8979501
Kcnmb2,21.813343,3.701994,1.7333672178539352e-105,4.657557714373523e-102,0.8476190476190476,0.25090527230590964,1.7581325,0.3140475
Nbea,21.037941,1.2261434,2.9491007758412654e-98,7.203848895168618e-95,0.9619047619047619,0.9066483198146003,3.338752,2.5352838
Nrxn1,20.965069,1.2175431,1.367241104062312e-97,3.0614807055128603e-94,0.9936507936507937,0.9665049246813442,4.4419475,3.6134934
Cnr1,20.567442,2.8247342,5.372531355094445e-94,1.1104609039337518e-90,0.8444444444444444,0.4367757821552723,1.5216457,0.40897292
Zfp804a,20.052727,2.721045,1.910774285531743e-89,3.667321789445566e-86,0.8920634920634921,0.6584226535341831,2.6172538,1.0735812
Nhs,19.88513,3.2678509,5.473935987597312e-88,9.805643999115985e-85,0.7841269841269841,0.2642670915411356,1.3114889,0.24805216
Fstl5,19.785912,2.6627362,3.9370817324668425e-87,6.222905067728475e-84,0.8507936507936508,0.466867033603708,1.7732953,0.57225734
Thrb,19.480167,1.9614863,1.6174716957405325e-84,2.414525803586006e-81,0.9174603174603174,0.6911210892236385,2.1829226,1.1056856
Kcnc2,19.470547,2.6853275,1.9517424876948578e-84,2.760174770755833e-81,0.9206349206349206,0.6001955388180765,2.529013,1.0275624
Kcnt2,19.434914,2.054472,3.9106659662152005e-84,5.253979725610122e-81,0.9015873015873016,0.6850014484356894,2.2737505,1.1308218
Sox2ot,19.227314,2.7435095,2.186661237527957e-82,2.7978851167798196e-79,0.9142857142857143,0.4616526651216686,2.1960227,0.7852482
