names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Olfm3,15.040487,4.799105,3.9860395662142475e-51,1.0710488314417684e-46,0.9767441860465116,0.3977733884000718,2.8426566,0.4577402
Gnb4,14.604988,4.4853325,2.6102643156308526e-48,3.5068901080500505e-44,0.9651162790697675,0.1922068594002514,1.4520295,0.13633959
Nr4a2,14.453433,4.226541,2.3849565564313735e-47,2.1361260890437e-43,0.9651162790697675,0.23210630274735142,1.5207671,0.17479905
Zfp804b,14.417945,4.6297154,3.9904697894868973e-47,2.6805980810878234e-43,0.9767441860465116,0.4656491291075597,3.2512121,0.694466
Cadps2,14.399742,3.5665972,5.193669565567793e-47,2.7910780245361315e-43,0.9767441860465116,0.5485724546597235,2.7253873,0.7901638
Col11a1,14.22095,4.2222495,6.792455787244632e-46,3.041888116721054e-42,0.9651162790697675,0.1978811276710361,1.4424274,0.15965311
Gria4,14.2037115,2.7905354,8.688589945319558e-46,3.335177311867664e-42,0.9767441860465116,0.7916681630454301,3.4485803,1.6867287
Cntnap3,14.033833,3.9409163,9.677637259081365e-45,3.250476414393954e-41,0.9767441860465116,0.2076494882384629,1.4584591,0.19460268
Ntng2,13.976077,3.5678408,2.1818712249257038e-44,6.51409775708374e-41,0.9534883720930233,0.3398455737116179,1.5013329,0.25782233
Zfp804a,13.952671,3.067894,3.0304086324998915e-44,8.142707995527208e-41,0.9883720930232558,0.6600466870174179,2.858998,1.0855306
Oprk1,13.779256,6.613253,3.3975485152311532e-43,8.29928441856919e-40,0.872093023255814,0.031711258753815766,1.0012642,0.01743348
Ptprt,13.751852,3.2705233,4.964254045596759e-43,1.1115792183765409e-39,0.9883720930232558,0.6193212425929251,3.0644188,1.1366384
B3gat2,13.704416,3.9285502,9.553278174564792e-43,1.9745891119273537e-39,0.9302325581395349,0.20409409229664213,1.1039753,0.12434455
Tmem163,13.328702,3.6389349,1.5761599843519477e-40,3.025101341395488e-37,0.9418604651162791,0.23411743580535105,1.3897787,0.21667558
Tmem132d,13.18081,3.1604095,1.1316918763265568e-39,2.0272373811263056e-36,0.9651162790697675,0.47592027293948647,2.1217995,0.59973687
Syt1,13.03259,1.356761,7.985061420749294e-39,1.2650813533478075e-35,1.0,0.9507631531693302,4.048255,3.1347039
Sorbs2,13.028183,2.0405161,8.459818201123823e-39,1.2650813533478075e-35,0.9651162790697675,0.781792063207039,2.8255832,1.5805825
Atp2b2,13.028049,2.1161256,8.474679702367152e-39,1.2650813533478075e-35,0.9883720930232558,0.7187645896929431,2.0829794,0.9636297
R3hdm1,12.856148,1.9024657,7.943769866121122e-38,1.123416296329866e-34,0.9651162790697675,0.8402226611599928,3.0309632,1.8364247
Cux1,12.699483,3.1205137,5.9521807824012046e-37,7.996754881156018e-34,0.9418604651162791,0.507272400790088,1.9571244,0.5300236
Ctnna2,12.611764,1.5191479,1.8187575034790407e-36,2.3271435294515157e-33,0.9767441860465116,0.8862991560423774,3.467961,2.4715211
