names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Oligo NN (for_DEGs),mean_expr_Rest (for_DEGs)
Plp1,66.97712,5.02083,0.0,0.0,0.987417943107221,0.6999578592498946,4.05662,1.0112007
Mbp,66.33872,5.10452,0.0,0.0,0.9677242888402626,0.5413170899896563,3.3767333,0.5998508
St18,65.872314,5.5938106,0.0,0.0,0.9513129102844639,0.3637896027276558,3.343045,0.44812748
Qki,65.01302,3.7817142,0.0,0.0,0.9731947483588621,0.819675899321917,3.8158634,1.4420727
Pde4b,64.84174,4.3514705,0.0,0.0,0.9638949671772429,0.7496456346013868,4.2433796,1.473062
Tmeff2,63.268066,3.5104759,0.0,0.0,0.9688183807439825,0.8412826111941156,4.195552,1.9077586
Dock10,61.160046,4.0756664,0.0,0.0,0.937636761487965,0.5683254798299046,3.2279832,0.8907354
Septin7,60.83006,3.140271,0.0,0.0,0.9474835886214442,0.7532084434739302,2.7592204,0.9847629
Pcdh9,60.21248,2.3485773,0.0,0.0,0.986870897155361,0.9704631651534307,5.3421426,3.7336376
Plcl1,60.014114,3.4926512,0.0,0.0,0.9436542669584245,0.6681607478067655,3.1257522,1.0765926
Ugt8a,59.934067,5.241531,0.0,0.0,0.8829321663019694,0.21215952189403517,2.2012293,0.19261558
Enpp2,59.089027,4.413234,0.0,0.0,0.8987964989059081,0.3861242002834923,2.3956661,0.3840276
Phlpp1,58.039745,3.155028,0.0,0.0,0.9206783369803063,0.7363521434317895,2.8103766,1.0127401
Frmd5,57.77246,2.9757552,0.0,0.0,0.9321663019693655,0.7266980806803816,3.0261047,1.2509468
Dnm3,57.054626,2.8108215,0.0,0.0,0.925054704595186,0.7141707849672452,2.5994039,1.0206946
Nkain2,56.99484,2.026189,0.0,0.0,0.9710065645514223,0.9273646707275026,4.5033336,3.1323485
Edil3,56.76475,2.904616,0.0,0.0,0.9245076586433261,0.7472321189135348,3.1030433,1.3454418
Prr5l,56.47357,5.9535866,0.0,0.0,0.8216630196936543,0.13278167260468146,2.3123531,0.13698098
Rnf220,55.643494,4.8532476,0.0,0.0,0.8495623632385121,0.36658621614373826,2.4908874,0.32428977
Slc24a2,55.449608,2.6522524,0.0,0.0,0.9179431072210066,0.808374516339118,3.390212,1.7157637
Zfp536,54.883812,3.581041,0.0,0.0,0.8851203501094091,0.4489522277132897,2.329286,0.5736049
Map7,53.784702,2.833835,0.0,0.0,0.8801969365426696,0.6837145155729226,2.365796,0.8560547
Gjc3,53.735718,5.147115,0.0,0.0,0.7954048140043763,0.14389150672336512,1.7172405,0.12128218
Sox2ot,53.58325,3.5691736,0.0,0.0,0.912472647702407,0.4355438072252232,2.530559,0.6800514
Erbin,53.305786,3.842286,0.0,0.0,0.8473741794310722,0.41887905604719766,2.129631,0.41656753
Zeb2,53.049793,1.9203856,0.0,0.0,0.9677242888402626,0.852967091905145,3.2155538,1.9904039
Mag,52.71952,4.768263,0.0,0.0,0.8014223194748359,0.17856185112822281,1.781489,0.16655326
Ano4,52.532852,2.9893606,0.0,0.0,0.8780087527352297,0.6258284488372984,2.4756942,0.86344707
Mog,51.94926,5.2959795,0.0,0.0,0.7696936542669585,0.13136421101022872,1.708036,0.10885702
Mobp,51.59808,4.886416,0.0,0.0,0.7844638949671773,0.18227789909205838,1.9088916,0.17752494
Rtn4,51.411522,2.2060645,0.0,0.0,0.912472647702407,0.8009424204114469,2.3445182,1.112954
Mapt,51.171837,1.9070871,0.0,0.0,0.9086433260393874,0.7999463663180477,2.3616679,1.2703056
Trf,50.763134,4.4052916,0.0,0.0,0.7959518599562363,0.23660115695513925,1.8417321,0.22352277
Magi2,50.500698,1.4922459,0.0,0.0,0.962800875273523,0.9206604604834693,3.8960521,2.8978925
Fnbp1,50.4508,2.9118817,0.0,0.0,0.8539387308533917,0.6818373367045933,2.2896435,0.7787612
Fa2h,50.33325,5.1721764,0.0,0.0,0.7461706783369803,0.12289775121633528,1.4941682,0.09152128
Bcas1,50.263103,4.8436885,0.0,0.0,0.762582056892779,0.1528176837911351,1.6955795,0.14407378
Phldb1,50.045437,4.476901,0.0,0.0,0.7685995623632386,0.2261425889744474,1.5872909,0.16102245
Gm16168,49.65258,5.116709,0.0,0.0,0.7478118161925602,0.1650001915488641,1.7602065,0.12991923
Mast4,49.061142,2.459403,0.0,0.0,0.8812910284463895,0.7545875952955599,2.5934207,1.1786938
Arhgap23,49.056683,3.525651,0.0,0.0,0.7959518599562363,0.4333984599471325,1.7030461,0.3292509
Gab1,48.706882,4.3022723,0.0,0.0,0.7582056892778993,0.20997586484312147,1.6470362,0.19264576
Erbb4,48.64692,3.0816326,0.0,0.0,0.9567833698030634,0.703482358349615,3.3461065,1.4435337
Plekhg1,48.62246,4.144837,0.0,0.0,0.7647702407002188,0.242883959698119,1.6613736,0.21606857
D7Ertd443e,48.497505,5.1860514,0.0,0.0,0.723741794310722,0.13488871010994904,1.6163348,0.105104476
Tcf12,47.87881,1.7730212,0.0,0.0,0.9015317286652079,0.8064973374707888,2.3078208,1.2943738
Cdk19,47.410248,3.3846085,0.0,0.0,0.7948577680525164,0.45366432977052445,1.811998,0.3991028
Gm4258,46.914368,2.134635,0.0,0.0,0.8719912472647703,0.7135961383748994,2.1658914,1.0147167
Pde8a,46.91367,5.1201706,0.0,0.0,0.7018599562363238,0.12661379918017085,1.4806683,0.09316248
Ctnna3,46.874245,3.777462,0.0,0.0,0.7789934354485777,0.44293759338007127,2.0609086,0.40530196
