names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dpp10,8.758,1.5083863,1.987449957195509e-18,4.854798213622121e-15,0.8490566037735849,0.8860723030390322,3.5150857,2.5229726
Il1rapl2,7.353935,1.8434675,1.924556561874045e-13,1.2928208704388895e-10,0.6352201257861635,0.5027725766959528,1.6827621,0.79777914
Satb2,7.212431,1.6635587,5.496171359871946e-13,3.103578171606345e-10,0.5974842767295597,0.41963128330692784,1.1003762,0.4904138
C1ql3,6.592077,1.4090884,4.337165465927745e-11,1.596433370814774e-08,0.6981132075471698,0.5080656776609535,1.1458999,0.59211135
Pcsk2,6.4878473,0.6476457,8.707133920753452e-11,2.9004322699548255e-08,0.7232704402515723,0.7705602765375198,1.8462836,1.4830179
Rmst,6.4034247,1.7377481,1.519299377809483e-10,4.7469272420628846e-08,0.5094339622641509,0.24888376782370733,0.8287182,0.32707393
Sdk2,6.2785707,1.3520147,3.4170000073453304e-10,9.664714757617792e-08,0.5786163522012578,0.38960103701569926,0.69887173,0.33378536
Pou6f2,6.2750936,1.9194459,3.494240180545951e-10,9.78023267200726e-08,0.44025157232704404,0.176508713812473,0.44074368,0.13664132
Pde1a,6.112368,0.7516271,9.81634303781672e-10,2.4198636461113327e-07,0.7421383647798742,0.7633227711363963,2.0658634,1.6279541
Grm8,6.1060653,1.2914108,1.021172826846825e-09,2.494446714306744e-07,0.6540880503144654,0.514655048250036,1.4505416,0.84761995
1700023F02Rik,6.1007733,4.2032094,1.0555646988826693e-09,2.5552273386466057e-07,0.3081761006289308,0.03337894282010658,0.31955507,0.02023434
Bmpr1b,6.048649,1.7823664,1.4606553711204958e-09,3.333219072179067e-07,0.44025157232704404,0.17683278121849344,0.55051905,0.19344497
Rxfp1,6.0435495,1.7052025,1.5076014025365929e-09,3.4041386290889287e-07,0.44654088050314467,0.18309808440155553,0.4717617,0.16963327
Cobl,6.0346327,1.2474356,1.5932464477439873e-09,3.538060500072805e-07,0.5911949685534591,0.4314777473714533,0.860157,0.453821
Hs3st5,5.8841825,1.5579374,4.000261880296846e-09,7.962002720264908e-07,0.49056603773584906,0.26775169235200924,0.6035827,0.24798624
Cck,5.7856,1.3614532,7.225382484690181e-09,1.3117974821866565e-06,0.7295597484276729,0.5963560420567477,1.2685465,0.69046754
Hs3st2,5.721028,1.567321,1.0588146858360235e-08,1.8355064908654162e-06,0.4591194968553459,0.22324643525853377,0.45826912,0.17911817
Chrm2,5.5619226,1.8150896,2.6681890486525542e-08,4.168269752168264e-06,0.4088050314465409,0.17326803975226848,0.4573505,0.15254489
Rtn1,5.5188727,0.77504754,3.411815343969743e-08,5.1215351001378214e-06,0.949685534591195,0.9050122425464496,2.3192217,1.8496019
Mef2c,5.510735,0.74866325,3.57338301841985e-08,5.304795674306153e-06,0.7547169811320755,0.7809304335301743,1.9335337,1.5084382
Sgcz,5.313043,0.976497,1.0780963609313143e-07,1.463052990819415e-05,0.7547169811320755,0.747911565605646,2.2810633,1.6984917
Nrg1,5.2714577,0.6572154,1.3534442120531834e-07,1.73176409418424e-05,0.7232704402515723,0.849452686158721,2.6826549,2.2658117
9130024F11Rik,5.243371,1.3937485,1.576690110274694e-07,1.9613732992167143e-05,0.4528301886792453,0.23473282442748092,0.39573106,0.16953775
Rgs6,5.1379485,1.1279281,2.7775410921783394e-07,3.189424322514187e-05,0.5974842767295597,0.5115944116376206,1.2534618,0.7631638
Efna5,5.134585,1.3367974,2.82767420545734e-07,3.225473985254536e-05,0.5408805031446541,0.4131859426760766,1.0005674,0.5193156
Cntnap4,4.8759503,1.0567688,1.0828590018067473e-06,0.0001013812591587014,0.5408805031446541,0.350712948293245,0.7642426,0.4392541
Cnr1,4.860494,1.0339322,1.1709324264969589e-06,0.00010849294586197684,0.5723270440251572,0.4406236497191416,0.7266123,0.41977465
Sv2b,4.8558087,0.78145146,1.1989641885318416e-06,0.00011032934159537871,0.6918238993710691,0.6214532622785539,1.341266,0.97186905
Car10,4.774547,0.81329036,1.8011218236470085e-06,0.00015266922208641994,0.6540880503144654,0.6387008497767536,1.62571,1.2008696
Zfp804b,4.748576,1.2105808,2.048538466042826e-06,0.0001683309742586261,0.5786163522012578,0.4665850496903356,1.2070419,0.69944894
Lrrc4c,4.726605,0.2696149,2.283049986733555e-06,0.0001831210541597929,0.8113207547169812,0.9159225118824715,2.7967184,2.622293
Dnah14,4.650975,3.2551312,3.3036892363276503e-06,0.0002494795688765345,0.25157232704402516,0.04205674780354314,0.2144574,0.024743743
Nell2,4.646729,0.45359275,3.372397501382866e-06,0.00025372985121505754,0.7547169811320755,0.7676076623937779,1.7707838,1.5173602
Kcnq5,4.632856,0.6089737,3.606558139773323e-06,0.00026696478571820715,0.7044025157232704,0.7827308080080657,2.182622,1.8180412
Dpy19l1,4.597228,1.1083329,4.281484446451478e-06,0.00030684797093192114,0.5660377358490566,0.42424024197032983,0.70823574,0.39064434
Kcnh1,4.5310235,0.95764244,5.869861085796519e-06,0.00040441837788551913,0.5849056603773585,0.5167074751548322,0.8522074,0.5261745
Sulf1,4.4953713,1.6800762,6.944864014959177e-06,0.0004596268376402785,0.3522012578616352,0.15944116376206252,0.36977598,0.13069637
Met,4.4889894,2.0948021,7.15618030385807e-06,0.00047013830015810843,0.29559748427672955,0.09833645398242835,0.23310022,0.059638858
Calm1,4.442655,0.9833137,8.88555434695892e-06,0.0005631010502424201,0.8930817610062893,0.8367780498343655,1.8790951,1.3365893
St6gal2,4.4413977,1.0457422,8.93765297638366e-06,0.0005650699658245387,0.5345911949685535,0.3980627970617889,0.5521432,0.30526587
Igsf21,4.4358296,1.1378189,9.171844580923074e-06,0.0005758118315172967,0.48427672955974843,0.31380527149647125,0.44682688,0.22793944
Tmem132d,4.428831,0.9263301,9.474514340280652e-06,0.0005906733186156407,0.5911949685534591,0.4767751692352009,0.9442846,0.6024776
Phactr1,4.3643622,0.13509342,1.2749406996966026e-05,0.0007469436793495903,0.7861635220125787,0.8905372317442027,2.4791033,2.3936646
Ldb2,4.296895,0.85475105,1.7320713939493004e-05,0.0009772351379121486,0.6037735849056604,0.5561356762206539,1.2202181,0.8417547
Rspo2,4.2405343,0.9875102,2.229884642837987e-05,0.001195948110839455,0.5094339622641509,0.34657208699409475,0.610528,0.353723
Grik3,4.1748176,1.0154265,2.9822483355735343e-05,0.001509035648896009,0.5094339622641509,0.3611551202650151,0.6254321,0.3576084
Sorcs3,4.168214,0.7651666,3.0699572583840325e-05,0.0015389879017309507,0.660377358490566,0.5842575255653176,1.2626709,0.9128751
Pparg,4.162483,1.2520158,3.148053625520075e-05,0.0015664481651430449,0.42138364779874216,0.25943396226415094,0.41560018,0.1958512
Fhod3,4.1608706,1.022298,3.170368924889138e-05,0.0015700904750285496,0.5031446540880503,0.37995102981420137,0.65310335,0.37409917
Gm26871,4.128883,0.22250716,3.6453037839549485e-05,0.0017744440701969106,0.6855345911949685,0.8004825003600748,2.045459,1.9125684
