names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L2 IT ENT-po Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dcc,27.432583,2.989616,1.1211949855771323e-165,3.0126509262457546e-161,0.9715189873417721,0.8444685859134529,4.1281805,2.1619642
Oxr1,26.666916,2.2016268,1.1393480174354817e-156,1.5307140614245698e-152,0.9715189873417721,0.8546442151004888,3.448883,2.0311587
Cntn5,26.156473,3.1705568,8.318462470870479e-151,7.450569553076326e-147,0.9683544303797469,0.7644396161506428,3.83128,1.7936457
Reln,26.088518,4.189727,4.921667897290784e-150,3.306130410005084e-146,0.9620253164556962,0.28401231214919426,2.1869888,0.36002395
Chsy3,25.304474,2.8607407,2.851844808169066e-141,1.532581399910056e-137,0.9556962025316456,0.7012493210211841,2.9301586,1.2357422
Il1rapl2,25.272854,4.4244695,6.352459516248293e-141,2.844843120026527e-137,0.939873417721519,0.49853340575774036,3.2627382,0.774668
Camk2d,25.057266,2.8837993,1.45482547474818e-138,5.584451500926228e-135,0.9651898734177216,0.5559659605286982,2.2779126,0.78222686
Tafa2,25.033026,2.7467847,2.672460671811846e-138,8.976127281448038e-135,0.9715189873417721,0.7261633170378418,3.2451575,1.5421778
Satb1,23.938366,2.8551223,1.2214336827843768e-126,3.646658117379578e-123,0.9462025316455697,0.4602933188484519,1.6859082,0.47482473
Cntnap3,23.682943,3.5992868,5.4051044889564345e-124,1.452351576182594e-120,0.8924050632911392,0.20220894441426762,1.2483428,0.18648048
Unc13c,23.46256,4.042042,9.84061038653639e-122,2.403792737147571e-118,0.8765822784810127,0.2209306536302734,1.6415511,0.2253213
Vwc2l,23.293121,3.371731,5.2053657363887756e-120,1.1655681444730533e-116,0.9113924050632911,0.303784175267065,1.6591455,0.34433025
Fstl4,23.260445,2.8969936,1.1152708134105634e-119,2.3051789812570644e-116,0.9367088607594937,0.5131269237733116,2.0007904,0.6197812
Epha3,23.140827,2.6337225,1.7983425897852438e-118,3.4515332419663927e-115,0.9525316455696202,0.5902951294586276,2.2392101,0.854926
Lingo2,22.921728,2.0063694,2.8215797047234545e-116,5.0543897777279487e-113,0.9746835443037974,0.8820206409560022,3.947419,2.6133244
Prickle2,22.683235,1.7367142,6.558530737010991e-114,1.1014232556467834e-110,0.9588607594936709,0.809922143762448,2.716129,1.6558012
Inpp4b,22.603317,2.575374,4.020128040337674e-113,6.354167084933724e-110,0.9525316455696202,0.5876878508057215,2.252265,0.88693
Cpa6,22.381008,6.091857,6.0266714537501e-111,8.996481220125843e-108,0.7563291139240507,0.059786347999275756,1.332833,0.040115096
Necab1,22.361856,2.7045996,9.258090585004697e-111,1.3092889158898747e-107,0.9208860759493671,0.40282455187398153,1.5125633,0.43359444
Lef1,22.208832,5.0953393,2.821750361086213e-109,3.791021610119327e-106,0.7531645569620253,0.03248234655078761,0.7364736,0.03134562
Nwd2,22.1445,2.5658414,1.178583912292938e-108,1.5080261773005355e-105,0.9462025316455697,0.5292051421328988,1.8569666,0.6485318
Cacna2d3,21.882534,2.14484,3.8106365599791416e-106,4.6224716985347e-103,0.9620253164556962,0.7439072967590078,2.8145523,1.5144336
Kcnma1,21.88082,1.3810532,3.9567119116597724e-106,4.6224716985347e-103,0.9715189873417721,0.85620133985153,3.0979033,2.2105641
Fhod3,21.764408,2.6212692,5.0457434513502886e-105,5.649130272407594e-102,0.9113924050632911,0.37457903313416624,1.3111107,0.3649831
Hs6st3,21.412113,2.3598285,1.0303173691499514e-101,1.1073851083623677e-98,0.9525316455696202,0.7926489226869455,3.481035,1.9650552
Csmd1,21.32081,1.1430134,7.27861241213517e-101,7.522165981310462e-98,0.9778481012658228,0.9433279015028064,4.3530383,3.576191
Nlgn1,21.102913,1.172014,7.4785519174067e-99,7.442544074841408e-96,0.990506329113924,0.9541191381495564,4.186638,3.3931222
5730522E02Rik,21.049505,1.8615725,2.310773882076615e-98,2.1410515245309875e-95,0.9588607594936709,0.7466956364294768,2.7075322,1.579047
Grm7,21.043257,1.3841522,2.6363115682315873e-98,2.3612563946127585e-95,0.9715189873417721,0.8921962701430382,3.5947068,2.6785612
6530403H02Rik,20.937721,2.5825129,2.4279598191745345e-97,2.104492914232895e-94,0.9272151898734177,0.45696179612529425,1.8362125,0.63142145
Tenm4,20.87959,1.7983768,8.209427634085047e-97,6.893353766495788e-94,0.9620253164556962,0.7460076045627376,2.6480691,1.5631703
Pcdh15,20.834118,2.4249198,2.12388083612078e-96,1.729353880805011e-93,0.9651898734177216,0.7403947130182872,3.1025329,1.6009897
Cntn3,20.781628,2.0728798,6.346973239093427e-96,5.0159756157188345e-93,0.9588607594936709,0.6603657432554771,2.223791,1.0848799
Rasgef1b,20.573622,2.1326647,4.729797425825556e-94,3.631133052340934e-91,0.9588607594936709,0.5405395618323375,1.7484367,0.733413
Rspo2,20.556583,2.476603,6.720281286302724e-94,5.015943282304283e-91,0.9177215189873418,0.3409741082744885,1.1932396,0.3455949
Pex5l,20.36455,2.113887,3.450064678069992e-92,2.5054929162092075e-89,0.9620253164556962,0.7784899511135253,2.991345,1.6806871
Tenm2,20.328295,1.5693228,7.22694111027312e-92,5.110208095606282e-89,0.9715189873417721,0.9398153177620858,4.425029,3.3605442
Arpp21,20.254253,1.5869426,3.258514479584384e-91,2.2450329247803177e-88,0.9746835443037974,0.7973565091435814,2.8845937,1.8907521
Ntng2,20.068663,2.3745885,1.386872715585541e-89,9.316317466945872e-87,0.8765822784810127,0.33561470215462613,0.91655385,0.25415704
Adcy8,19.855625,1.9556515,9.852742161226791e-88,6.457150777369851e-85,0.9493670886075949,0.5531414086547166,1.5678812,0.6824647
Syt1,19.707693,1.052231,1.852226433455206e-86,1.1849839111176521e-83,0.9968354430379747,0.9503892811877602,3.8359654,3.1295226
Ppm1l,19.58959,1.7838465,1.897121745549371e-85,1.1854804954165489e-82,0.9556962025316456,0.6723881948216549,1.8017061,0.904
Vrk2,19.453827,2.634144,2.704726600535964e-84,1.6517273581000308e-81,0.819620253164557,0.2520007242440703,0.887687,0.20722996
Fgf12,19.265863,1.361841,1.0391670603642804e-82,6.204981980441826e-80,0.9683544303797469,0.8539561832337498,3.0396357,2.1681244
Schip1,19.234539,1.6568156,1.902289183680023e-82,1.1111850079452657e-79,0.9620253164556962,0.832011587905124,3.0111952,1.9635295
Gsg1l,19.106886,2.5004702,2.2128405350478135e-81,1.265085642058186e-78,0.8132911392405063,0.2509505703422053,0.736592,0.17597857
Asic2,19.057354,1.8054228,5.709089643573603e-81,3.1959008067254733e-78,0.9588607594936709,0.790077856237552,2.9475594,1.8191669
Gria4,19.051052,1.7697604,6.43947065057619e-81,3.531195436346576e-78,0.9683544303797469,0.7902227050516024,2.7653308,1.6798731
Sorcs3,18.99184,2.1057901,1.9922557013505755e-80,1.0706382139057993e-77,0.9525316455696202,0.5804816223067174,1.989225,0.90257263
Rnf150,18.964548,1.5839556,3.348890190373367e-80,1.7644054787320074e-77,0.9556962025316456,0.6700344015933369,1.7156316,0.9247034
