names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DG-PIR Ex IMN (for_DEGs),mean_expr_Rest (for_DEGs)
Zbtb20,17.803091,3.0439234,6.687437265816427e-71,1.796914393324874e-66,0.9620253164556962,0.8680012962229503,4.3178277,2.3001535
Ctnna2,15.215892,1.5420591,2.7741425458318227e-52,2.99415441521211e-48,0.9430379746835443,0.8862564361070104,3.480539,2.4688663
Nfib,15.203682,2.0495622,3.342933846533804e-52,2.99415441521211e-48,0.8924050632911392,0.8179886940553776,2.972854,1.7011647
Ttc28,14.976763,3.2041101,1.0416838629319012e-50,6.997511349245047e-47,0.8354430379746836,0.46415583480358624,1.8732738,0.468653
Dcc,14.755747,2.2419536,2.8254715033701876e-49,1.5184083859111388e-45,0.9493670886075949,0.8453173945918698,3.636193,2.1759505
Zfpm2,14.373314,2.5312493,7.610067157472368e-47,3.4080417420213755e-43,0.879746835443038,0.672631692651136,2.742298,1.2562532
Tcf4,14.094988,1.2015818,4.0771709986129555e-45,1.565051210467573e-41,0.9620253164556962,0.933784610953084,3.5742843,2.7772057
Mir99ahg,13.881214,1.9045326,8.233692286330145e-44,2.7654913966711377e-40,0.9367088607594937,0.8748064667122745,3.3342304,2.1074154
Auts2,13.694983,1.31726,1.0878633290897765e-42,3.247876405849144e-39,0.9556962025316456,0.9051596874662442,3.5530314,2.681811
Nfia,13.082065,2.1110005,4.16959088806494e-39,1.1203690716230493e-35,0.8481012658227848,0.7390991250495085,2.5453115,1.3135375
Neo1,13.054429,1.9898533,5.995797643962337e-39,1.4646098426660728e-35,0.8354430379746836,0.6737118784430922,1.7704263,0.8006289
Sox11,12.978685,3.6085956,1.616307872310567e-38,3.6191827107487447e-35,0.7088607594936709,0.3214992978792352,1.387584,0.22022842
Sema5a,12.840581,3.1240084,9.714250423263114e-38,2.0078608374852297e-34,0.7531645569620253,0.43405465740107296,2.113453,0.6068665
Nrxn1,12.274895,0.9911825,1.2355182090556174e-34,2.2132249518216296e-31,0.9936708860759493,0.9666582652216181,4.292655,3.6190257
Igfbpl1,12.201898,7.3215103,3.03664172824941e-34,5.099660202378853e-31,0.569620253164557,0.013862384330104779,0.89684063,0.009035713
Plxna2,12.132491,2.0871236,7.105414246381668e-34,1.1230734164722084e-30,0.7848101265822784,0.6572210420192273,1.8499277,0.8159489
Sema3c,12.126426,3.4769742,7.651645165149631e-34,1.1422205865976143e-30,0.6962025316455697,0.3142620530731286,1.5399078,0.28448668
Nol4,12.117531,1.6831323,8.529008823435155e-34,1.2061814057142244e-30,0.8291139240506329,0.7312497749612934,2.025622,1.1149148
Prox1,11.490518,2.9952667,1.4722660089369933e-30,1.3186595886712338e-27,0.6835443037974683,0.3068447773016959,1.4681435,0.34996575
Ccser1,11.255352,1.0839233,2.1795370532911364e-29,1.7224753124097893e-26,0.9177215189873418,0.8622403053325172,2.9517572,2.2572997
Sncaip,11.008011,3.4234312,3.4963687579382174e-28,2.4723007506789446e-25,0.620253164556962,0.22313037842508912,1.1099592,0.17361991
Ptpro,10.556247,2.8580935,4.752865445714292e-26,2.5541898905268602e-23,0.6582278481012658,0.4120188672451662,1.4808595,0.3842254
Mctp1,10.500164,1.6202695,8.623004374519408e-26,4.543139755751696e-23,0.810126582278481,0.7427717567421597,2.419976,1.4661733
