names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Tenm2,8.263192,0.6965791,1.4182741419127186e-16,4.768710423157864e-13,1.0,1.0,3.2755346,3.7437863
Frmpd4,7.646561,0.69453186,2.0642520542782295e-14,4.992179558918305e-11,1.0,0.9943661971830986,2.4002361,2.8463788
Grik4,7.6073513,0.8239418,2.7976962963780346e-14,4.992179558918305e-11,0.9328859060402684,0.8760563380281691,1.0148948,1.4143898
Dab1,7.4012494,0.29380557,1.3490921384055148e-13,1.7010365500120534e-10,1.0,1.0,3.502719,3.7008057
Shisa9,6.832206,0.5717419,8.361867246021228e-12,6.488165762355087e-09,1.0,0.9830985915492958,2.0177712,2.3695962
Nlgn1,6.7055283,0.29276714,2.00678738115105e-11,1.4458903081193317e-08,1.0,1.0,3.5242174,3.7217197
Tenm4,6.6442003,1.0834234,3.0486734450955106e-11,1.8089393553340244e-08,0.8456375838926175,0.7492957746478873,0.76649404,1.2359353
Naaladl2,6.405591,0.70313525,1.497879547437401e-10,7.859112894798889e-08,0.9932885906040269,0.9577464788732394,1.5690404,1.9726733
Dcc,6.224288,0.5638908,4.837474579463123e-10,2.217982094683842e-07,0.9932885906040269,0.9943661971830986,2.372796,2.7330327
Rbfox1,5.939431,0.26939133,2.8601245815397425e-09,1.0777234605481856e-06,1.0,1.0,3.5741653,3.756104
Kctd16,5.8784385,0.4295767,4.141547163565487e-09,1.3054933199651583e-06,1.0,0.9971830985915493,2.5827503,2.8608577
Grik2,5.7078595,0.24451551,1.144057812131312e-08,2.95653531865573e-06,1.0,1.0,3.1769671,3.3399277
Xkr4,5.7021623,0.30422235,1.182970507905255e-08,2.95653531865573e-06,0.9798657718120806,0.9943661971830986,2.343982,2.5364425
Dpp10,5.7021623,0.66473174,1.182970507905255e-08,2.95653531865573e-06,0.9463087248322147,0.9126760563380282,1.3196623,1.676549
Ptprd,5.604976,0.2847598,2.0828387458416998e-08,4.668798762067828e-06,1.0,1.0,3.7187366,3.9117613
Schip1,5.541302,0.43751544,3.002307638973053e-08,6.583538511808953e-06,0.9932885906040269,0.9887323943661972,2.0884662,2.3587856
Fgf12,5.2500777,0.42696756,1.520348788312375e-07,2.6904838995977065e-05,0.9932885906040269,0.9690140845070423,1.8386331,2.0929914
Ncam2,5.1790314,0.36303043,2.2304105213664642e-07,3.688221463774348e-05,1.0,0.9943661971830986,2.7238936,2.9608212
Slit2,5.0721264,0.99210817,3.9339529692650523e-07,5.922654268802475e-05,0.738255033557047,0.6084507042253521,0.5512919,0.9013645
Car10,4.9682374,0.80587816,6.756425711410379e-07,9.086942153466198e-05,0.8523489932885906,0.7774647887323943,1.0310396,1.424008
St6galnac3,4.960194,0.5041188,7.042271619373748e-07,9.217726924673771e-05,0.9798657718120806,0.9436619718309859,1.7394059,2.0356517
A230006K03Rik,4.9581833,0.9989546,7.115533517849195e-07,9.217726924673771e-05,0.6912751677852349,0.5380281690140845,0.4866526,0.8121801
Slit3,4.876748,0.296689,1.0784907716765765e-06,0.00013106911342050152,0.9932885906040269,0.9943661971830986,2.565266,2.7565172
