names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 IT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Il1rapl2,11.368244,3.8434284,6.018590695236092e-30,1.617195319809938e-25,0.9682539682539683,0.5024759580881297,2.9193468,0.79803205
Dpp10,10.963024,3.0503879,5.754398463752517e-28,7.731034336051508e-24,0.9841269841269841,0.8856394430888475,4.565318,2.5240161
Efna5,9.711453,2.9509597,2.6946703273618857e-22,2.4135263898737955e-18,0.8888888888888888,0.4128390986077221,1.8345013,0.5190881
Nrg1,9.333506,2.29883,1.0242553004461986e-20,6.880434980747339e-17,0.9841269841269841,0.8484283048657959,3.7718365,2.2647858
Fhod3,9.230951,2.3863668,2.682387946715226e-20,1.4415152825647625e-16,0.9047619047619048,0.37946748959379933,1.2148159,0.3737905
Satb2,9.049823,2.4157324,1.4320087573743484e-19,5.56460376059842e-16,0.8888888888888888,0.4195851873116119,1.478973,0.4916594
Pou6f2,9.048485,2.949519,1.449654868782618e-19,5.56460376059842e-16,0.7936507936507936,0.17661834361992249,0.7579908,0.13697176
Agbl4,8.636295,1.7272371,5.80652224185959e-18,1.9502656579845898e-14,0.9365079365079365,0.7526912587914454,2.65368,1.6071663
Car10,8.402677,2.0807364,4.364137901897153e-17,1.302937615821961e-13,0.9206349206349206,0.6381512846275298,2.3817122,1.2006236
Hs3st2,8.360026,2.880992,6.270404732614278e-17,1.614981898322321e-13,0.7619047619047619,0.223374479689967,0.89397806,0.17909478
Fras1,8.353777,2.2450228,6.611388493318025e-17,1.614981898322321e-13,0.8888888888888888,0.4013922778814411,1.3155818,0.45441172
Ext1,8.240766,1.5644829,1.711123203483368e-16,3.8314900397998413e-13,0.9365079365079365,0.7755490167934549,2.3744295,1.4573839
9130024F11Rik,8.227289,2.5123036,1.9149779163265319e-16,3.9581120470533774e-13,0.7777777777777778,0.23474953351514283,0.71998864,0.16958383
Scube1,7.7203426,2.5808475,1.160172063280675e-14,2.2267016671679812e-11,0.7301587301587301,0.21257356107363284,0.63606125,0.13853888
Fnbp1l,7.6704106,1.7119405,1.71446341047437e-14,3.0711754559630886e-11,0.8888888888888888,0.5246519305296398,1.2970304,0.59414595
Grm8,7.645202,2.1876488,2.086170274830045e-14,3.503462205292707e-11,0.9047619047619048,0.5145686809243577,1.958334,0.8485491
Ptprd,7.6284175,1.238227,2.3765279232264986e-14,3.7563120762997655e-11,0.9841269841269841,0.9654083536672886,4.501864,3.6585472
Adgrb3,7.6143622,0.811156,2.649962902826953e-14,3.955805733275568e-11,0.9523809523809523,0.9360556911152577,3.7684312,3.2234557
Cobl,7.5204115,1.8450521,5.460417305076789e-14,7.72217963091649e-11,0.8571428571428571,0.4314267259939716,1.1209934,0.45463118
Phactr1,7.4957113,1.07323,6.593981204070505e-14,8.859013747668723e-11,0.9206349206349206,0.8898736902540548,3.0873377,2.392583
R3hdm1,7.465536,1.0937196,8.296111044459078e-14,1.061507160783883e-10,0.9365079365079365,0.8403904119420124,2.5083914,1.8385907
Kcnh1,7.4394984,1.7266908,1.0106817719395195e-13,1.234409964182495e-10,0.8571428571428571,0.5163269700014353,1.1920273,0.5265294
Kcnt2,7.2939887,1.5397658,3.009108698410028e-13,3.5154239446207584e-10,0.9047619047619048,0.6869527773790728,1.9741125,1.1418347
Npas2,7.2537866,1.6962478,4.052789564275441e-13,4.537435649670046e-10,0.873015873015873,0.48622075498779965,1.1221095,0.49419957
Rasgef1b,7.185779,1.7513821,6.682503015811137e-13,6.959292841549608e-10,0.8888888888888888,0.5444954786852304,1.5500138,0.7430762
Ptprr,7.184731,1.6101792,6.733964044670257e-13,6.959292841549608e-10,0.9047619047619048,0.5739199081383666,1.3308872,0.6481787
Fgf12,7.147665,1.132658,8.826625706474677e-13,8.784127138258317e-10,0.9523809523809523,0.8550308597674753,2.897759,2.1763556
Ldb2,7.133524,1.7833266,9.783119915713172e-13,9.23725168150937e-10,0.873015873015873,0.5556911152576431,1.7132001,0.8419441
Hs3st5,7.1309276,2.0454655,9.969493813314914e-13,9.23725168150937e-10,0.746031746031746,0.26794172527630256,0.77300614,0.24882826
Pcsk2,7.102653,1.313475,1.2238454772268553e-12,1.0961575991028535e-09,0.9365079365079365,0.7699153150566959,2.2480836,1.4833611
Mef2c,7.0779057,1.5430748,1.4634910794280328e-12,1.2685163001364918e-09,0.9365079365079365,0.7804291660686091,2.4214025,1.5088001
Cdh12,7.0666275,1.6016397,1.5874451769788623e-12,1.3329578720444384e-09,0.9523809523809523,0.6849074206975743,2.1651742,1.2648283
Thrb,7.038775,1.5344504,1.9393696239171905e-12,1.5791170240804518e-09,0.9206349206349206,0.6931606143246735,1.9381388,1.11598
Rgs6,7.012894,1.8390827,2.3343819793182313e-12,1.8076384262352851e-09,0.9047619047619048,0.5111956365724128,1.6298724,0.76400197
Pcdh15,7.0116897,1.7934855,2.3545718242737245e-12,1.8076384262352851e-09,0.9047619047619048,0.7425721257356107,2.7061732,1.6155176
Celf4,6.980263,1.1914895,2.9462790048032242e-12,2.1990699127517397e-09,0.9206349206349206,0.7921271709487584,2.2940438,1.5899339
Cntn6,6.974319,1.8391914,3.073565067242993e-12,2.2320727934275465e-09,0.8571428571428571,0.40774364862925216,1.2431734,0.5243508
Chsy3,6.9577923,1.5837367,3.4564687099034184e-12,2.4440872167132855e-09,0.9047619047619048,0.7036744653365867,2.1394997,1.2529124
Pde4d,6.94405,1.3501263,3.8101608934234215e-12,2.6251031591355727e-09,0.9365079365079365,0.8249605282043921,2.7225132,1.8836261
Rmst,6.9269366,2.4593892,4.300514977537388e-12,2.88887093616074e-09,0.7142857142857143,0.2493182144395005,1.142846,0.32809195
Gm15155,6.893148,2.266764,5.45710843442022e-12,3.5764025276310077e-09,0.6984126984126984,0.2417826898234534,0.753324,0.20991428
Gm49678,6.8206043,1.7537206,9.065847002902978e-12,5.799983546857215e-09,0.8888888888888888,0.5554040476532224,1.7951359,0.91175985
Ptprt,6.7872767,1.8126054,1.1426972013412053e-11,6.998694737821684e-09,0.9047619047619048,0.6198148413951485,2.1370523,1.1403258
Lrrc4c,6.7868547,1.267208,1.1460460307560629e-11,6.998694737821684e-09,0.9523809523809523,0.9152432897947467,3.45634,2.6214013
Pde1a,6.7630773,1.4897221,1.3509098300956077e-11,8.066432696593106e-09,0.9365079365079365,0.7628103918472801,2.5259326,1.6284235
Myrip,6.7512045,1.4173362,1.4662276113680763e-11,8.564681721187003e-09,0.8571428571428571,0.5091502798909143,0.9437526,0.4622643
Zfp804b,6.74038,2.2582388,1.5797332520938418e-11,9.031368613566283e-09,0.8095238095238095,0.4664489737333142,1.7663119,0.6999329
Plcxd3,6.7286944,1.7588943,1.7119215841998484e-11,9.583194368218734e-09,0.8412698412698413,0.39191904693555335,1.0555488,0.44056633
Smyd3,6.6961575,1.301855,2.139714856497831e-11,1.1733497590631984e-08,0.8888888888888888,0.7276087268551744,1.7224231,1.0525684
Ipcef1,6.6548915,1.859506,2.8350940844453986e-11,1.523579560980957e-08,0.7301587301587301,0.270991818573274,0.60243624,0.2052048
Wdr17,6.6067896,1.4322352,3.927437797748998e-11,2.0692206593238345e-08,0.9047619047619048,0.6243002727142242,1.4014938,0.75817215
Lrrtm3,6.5447497,1.498589,5.95950316493874e-11,3.0794586546519984e-08,0.9206349206349206,0.6265250466484857,1.744664,0.9827571
Efcab6,6.528896,1.890103,6.625629854020348e-11,3.359069324104278e-08,0.6984126984126984,0.24799052676905411,0.4807441,0.15403657
Arpp21,6.483555,1.2031167,8.958620001041545e-11,4.4577429523701165e-08,0.9365079365079365,0.7990526769054113,2.645884,1.9003154
