names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Mir99ahg,16.305202,0.70209134,9.063849886591494e-60,2.5270013483817084e-56,0.9839108910891089,0.9706103993971364,1.7780361,2.1973653
Frmpd4,16.040743,0.7082044,6.635524819399936e-58,1.3874882397365265e-54,0.9987623762376238,0.9834212509419744,2.5300457,2.989552
Tenm2,15.779723,0.6435528,4.290671644921086e-56,5.981196273019993e-53,1.0,0.9992464204973625,3.4327247,3.867112
Grik4,15.284754,0.87784106,9.66271467356748e-53,1.1545563647102628e-49,0.9195544554455446,0.8206480783722683,1.0610311,1.4978145
Dab1,14.595649,0.3085854,2.993531487371384e-48,2.2761724873067508e-45,1.0,1.0,3.6643684,3.8733163
Tenm4,13.289641,1.2420205,2.6585005235189536e-40,1.8529748648927106e-37,0.7400990099009901,0.611906556141673,0.67342734,1.1856824
Naaladl2,12.560434,0.7854513,3.4841543295677836e-36,2.081533343750353e-33,0.8712871287128713,0.8319517709118311,1.1895303,1.59725
Meg3,12.325834,0.39285752,6.575936528630143e-35,3.437570820341407e-32,0.9987623762376238,0.9984928409947249,2.6195936,2.8743865
Dpp10,12.047803,0.8234155,1.991877002029546e-33,8.768452234197433e-31,0.8415841584158416,0.771665410700829,1.001224,1.3978649
St6galnac3,11.746501,0.49970987,7.360427515869717e-32,2.798300715578833e-29,0.974009900990099,0.9517709118311982,1.6920704,1.9830309
Dcc,11.263801,0.5664744,1.9802930710319838e-29,6.1345078689301895e-27,0.9801980198019802,0.975885455915599,2.2759826,2.634717
Kctd16,11.100139,0.35697785,1.2524994613361122e-28,3.273720467067263e-26,0.9962871287128713,0.9977392614920875,2.8145108,3.0487242
Pdzrn4,11.084286,1.0049925,1.4953873612619437e-28,3.790127239271181e-26,0.7141089108910891,0.5697061039939714,0.6426082,1.0328698
Prkg1,11.055296,0.37037438,2.0665459989656765e-28,4.9384544958139764e-26,1.0,0.9924642049736248,2.524653,2.763075
Car10,10.350519,0.78313947,4.162244289569703e-25,7.104696171012448e-23,0.8155940594059405,0.746043707611153,1.0750923,1.4636571
Csmd2,10.281716,0.49421763,8.519633994905271e-25,1.4251643746677538e-22,0.9492574257425742,0.9171062547098718,1.4190072,1.6888078
