names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR D1 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rarb,7.5009084,6.2030263,6.337700844777287e-14,1.702940216991657e-09,1.0,0.19715534537116652,2.4955971,0.14068586
Foxp2,7.3617,5.818733,1.8158232958453134e-13,2.4395585979681787e-09,1.0,0.2018128403554027,2.6904275,0.21784475
Adcy5,7.198726,4.064193,6.0777680839824e-13,5.443654280553569e-09,1.0,0.3313628546861565,1.6386106,0.22151646
Meis2,7.130901,3.9081953,9.971409832822946e-13,6.698294555198815e-09,1.0,0.4895743766122098,2.7300508,0.67024416
Cacna2d3,6.9956203,2.7013886,2.6408765237657156e-12,1.3802335099374705e-08,1.0,0.7462023502436228,3.1976056,1.5280069
Grik2,6.9739323,2.0373044,3.082024957061713e-12,1.3802335099374705e-08,1.0,0.9168458010891373,4.0283165,2.669964
Foxp1,6.9490705,2.4167678,3.677004933778959e-12,1.411444608152009e-08,1.0,0.7954643164230438,2.891227,1.4318734
Nrg1,6.866445,3.2309425,6.582150935820265e-12,2.2107799455686316e-08,1.0,0.8486314130123245,4.4090576,2.2667274
Grid2,6.676076,3.1465013,2.4542450991238044e-11,7.327285090384069e-08,1.0,0.8127328747492119,3.7926161,1.7746209
Pde1c,6.6502466,3.7692132,2.926020519877764e-11,7.862217136911552e-08,1.0,0.3345872742906277,1.8947026,0.34672296
Pde7b,6.552693,3.4054856,5.6508681963231e-11,1.3803529857745608e-07,1.0,0.4218615649183147,2.0223665,0.48163837
Galnt13,6.4503,2.691945,1.1162872018688107e-10,2.449662235970336e-07,1.0,0.697262826024649,2.5630233,1.0484352
Ebf1,6.434162,5.4399543,1.2415614368167134e-10,2.449662235970336e-07,0.8947368421052632,0.08602034967039267,1.6435504,0.09179639
Lrrk2,6.429964,3.3154995,1.2763405769849166e-10,2.449662235970336e-07,0.9473684210526315,0.38402837489251934,1.4621199,0.28742436
Gnal,6.3829446,3.2650084,1.7371464837474447e-10,3.1118084012195897e-07,0.9473684210526315,0.4062768701633706,1.5515369,0.3270255
Arhgap10,6.2826443,3.3506413,3.328623363948992e-10,5.549502928722131e-07,0.9473684210526315,0.3234809400974491,1.3354441,0.24266925
Spock3,6.2743473,2.909297,3.511036464022189e-10,5.549502928722131e-07,1.0,0.5716179421037546,2.381266,0.8359345
Ephb1,6.255363,3.3118012,3.965917834351279e-10,5.920234011612159e-07,0.9473684210526315,0.4254800802522213,1.9233019,0.46277085
Grm5,6.065279,1.4642607,1.3172484957140107e-09,1.8628666884123929e-06,1.0,0.9191028948122671,3.8481197,2.86999
Cdh13,6.014958,2.9658198,1.7993347497732238e-09,2.3877357388579714e-06,1.0,0.5437087990828318,2.37933,0.8127374
Rgs9,6.009052,4.719223,1.8661127843698325e-09,2.3877357388579714e-06,0.8421052631578947,0.1664158784752078,1.2885947,0.095089704
Cntn5,5.965818,2.733638,2.4341144842570586e-09,2.9729389178175985e-06,1.0,0.7665878475207796,3.56149,1.815514
Ppp1r2,5.91433,3.1749017,3.332291223050986e-09,3.892985441886087e-06,0.8947368421052632,0.4048437947836056,1.436923,0.30393896
Prkg1,5.873046,1.9346519,4.278603933248789e-09,4.79025365359979e-06,1.0,0.8103683003725995,3.1523826,1.9253174
Fnbp1l,5.8592844,2.3424802,4.6486629398847094e-09,4.996382927788086e-06,1.0,0.5251504729148754,1.6338745,0.59502435
Dgkb,5.852083,2.1043646,4.854531586671407e-09,5.016971682071566e-06,1.0,0.7794138721696762,2.9278061,1.6317966
Cftr,5.841168,6.043208,5.183605188558531e-09,5.1586470895025075e-06,0.7894736842105263,0.03611349957007739,0.8056952,0.018602718
Robo1,5.8323307,2.2623909,5.465846720102487e-09,5.245260763184065e-06,1.0,0.7932072226999141,3.185563,1.763276
Slit2,5.815979,2.740411,6.027997487778112e-09,5.585251465399926e-06,0.9473684210526315,0.5735525938664374,2.3085904,0.85688066
Sesn3,5.800752,2.5072052,6.601820678369459e-09,5.792473622683464e-06,0.9473684210526315,0.46388650042992263,1.3129413,0.39063865
Cntn3,5.795458,2.3636208,6.813498991683025e-09,5.792473622683464e-06,1.0,0.6635139008311837,2.4218016,1.0968637
Sgcz,5.7933803,2.8190327,6.898368289016407e-09,5.792473622683464e-06,1.0,0.7477787331613643,3.4841642,1.7005945
Gm1604a,5.786222,3.0258775,7.198705945836711e-09,5.797020707203293e-06,0.8947368421052632,0.2535468615649183,0.8852566,0.16108707
Dpp6,5.783063,1.6795889,7.335269968176851e-09,5.797020707203293e-06,1.0,0.8215462883347664,2.881394,1.8336488
Alcam,5.7696,2.4277132,7.945985277046414e-09,6.100246411263918e-06,0.9473684210526315,0.7193321868730295,2.6105857,1.2069098
Nhs,5.7347054,3.3853066,9.768188662830425e-09,7.290867482507042e-06,0.8947368421052632,0.26970478647176843,1.4091971,0.2592632
Gm15155,5.665087,3.199228,1.4694978038616862e-08,1.039089631309566e-05,0.8947368421052632,0.2423688736027515,1.1480206,0.2105022
Gad2,5.609031,3.1090558,2.0346252034278758e-08,1.4018045952847954e-05,0.8947368421052632,0.22309400974491259,1.1821042,0.23275732
