names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Sst Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,39.777485,4.906403,0.0,0.0,0.9660056657223796,0.40819100091827365,3.3740816,0.66280717
Kcnmb2,37.36882,4.357551,1.254494675163631e-305,1.6854135960823383e-301,0.9150141643059491,0.24058769513314968,2.0514612,0.28570133
Kcnc2,37.220257,3.454949,3.209430430768181e-303,2.8745798558247006e-299,0.9504249291784702,0.5948209366391185,2.9792848,0.99432164
Grik1,36.618073,3.8766987,1.475115687987507e-293,9.909089634056079e-290,0.953257790368272,0.48767676767676765,2.773984,0.7044193
Grip1,35.97449,2.6765864,2.0964135284379645e-283,1.126612630182562e-279,0.9447592067988668,0.7763820018365473,3.2704632,1.6015841
Nrxn3,35.889526,2.2203338,4.4502039786311714e-282,1.9929496817636596e-278,0.9830028328611898,0.9278971533516988,4.568019,3.0662785
Rbms3,34.606693,3.1654766,2.0036401794057677e-262,7.69111594580471e-259,0.9305949008498584,0.5006427915518825,2.1837122,0.63029987
Xkr4,34.119682,1.5642588,3.7673063322699085e-255,1.2653440143511555e-251,0.9589235127478754,0.8593939393939394,3.2426817,2.2320824
Elavl2,34.086407,2.6781192,1.1730041759676002e-254,3.502069134249935e-251,0.9348441926345609,0.5324517906336088,1.9744588,0.6775983
Ptprm,33.885025,3.4877934,1.1070536333454136e-251,2.974653112799126e-248,0.9065155807365439,0.367089072543618,2.098549,0.4933135
Gad2,33.623703,3.3816354,7.557023212232662e-248,1.8459746701153787e-244,0.8725212464589235,0.20672176308539944,1.2254465,0.2076771
Utrn,31.986332,3.020445,1.689211103021995e-224,3.782425194850084e-221,0.8824362606232294,0.362791551882461,1.5914564,0.39338148
Grin3a,31.90733,3.1140165,2.1128448683148227e-223,4.367087816278406e-220,0.8739376770538244,0.3900459136822773,1.6789955,0.40786645
Cntnap3,31.85895,3.4053316,9.894925196994723e-223,1.8991188574517727e-219,0.8243626062322946,0.19408631772268137,1.1070567,0.17493302
Neto1,31.757372,2.2280679,2.5119061348170713e-221,4.499661189502314e-218,0.9376770538243626,0.6855831037649219,2.3159215,1.081691
Kctd8,31.746248,3.5785153,3.577306987949192e-221,6.007639922887174e-218,0.8271954674220963,0.25627180899908175,1.5413915,0.26795962
Etl4,31.065367,2.5085359,7.07535729449355e-212,1.1183226500178924e-208,0.9490084985835694,0.7065197428833793,3.0420446,1.5053135
Frmd5,30.95869,2.1120934,1.9408772125274993e-210,2.897298372256328e-207,0.9447592067988668,0.7348393021120294,2.574021,1.3358264
Alk,30.64741,3.2910721,2.86136067905145e-206,4.0465663919006555e-203,0.8215297450424929,0.22571166207529844,1.2949704,0.23966229
Gria4,30.39821,2.0210502,5.800493862497044e-203,7.792963504264778e-200,0.9560906515580736,0.7879889807162535,2.906997,1.6606507
Maf,30.277872,3.1153936,2.2423703198655888e-201,2.8691662140375417e-198,0.8186968838526912,0.2134435261707989,1.1983886,0.23673463
Meg3,29.878773,1.6286364,3.7138779847122804e-196,4.535995520419044e-193,0.9773371104815864,0.9122497704315886,4.3237953,3.2222497
Elfn1,29.461845,4.1619573,8.877624090316077e-191,1.0371380839425783e-187,0.7096317280453258,0.10258953168044077,0.8083861,0.06720021
Sst,29.07238,3.334919,8.024005441142117e-186,8.983542758478696e-183,0.7946175637393768,0.240257116620753,1.3432163,0.24732606
Spock3,28.853165,2.3023593,4.624313957738346e-183,4.970212641777174e-180,0.9348441926345609,0.5624977043158861,1.9643857,0.80775046
Col19a1,28.65151,3.567419,1.5351197499111657e-180,1.5864872184658855e-177,0.7634560906515581,0.2605325987144169,1.4891456,0.25433934
Reln,28.477299,3.3238254,2.2383245544630842e-178,2.2275474362378913e-175,0.7932011331444759,0.2786776859504132,1.6423798,0.34797555
Satb1,28.181833,2.3683274,9.765234438562043e-175,9.371137477291502e-172,0.8555240793201133,0.45568411386593205,1.4001697,0.4648858
Snhg11,28.099993,1.5264686,9.798040100327915e-174,9.078390948131415e-171,0.9631728045325779,0.8250872359963269,3.1535013,2.1726816
Myo16,28.078552,2.27431,1.7906894846026707e-173,1.6038608817091255e-170,0.8597733711048159,0.47588613406795227,1.4179915,0.49881095
Synpr,27.892643,2.3335242,3.276663896465908e-171,2.8401277063883535e-168,0.9291784702549575,0.5365656565656566,2.0457566,0.84853595
Nhs,27.781357,2.730055,7.287075658079647e-170,6.1188663416437544e-167,0.7847025495750708,0.2567860422405877,1.0297633,0.24008474
Fgf12,27.390402,1.3790525,3.5685646388296885e-165,2.905676722586477e-162,0.9560906515580736,0.8526354453627181,3.0376177,2.1556923
Iqsec1,27.233793,1.6039608,2.585768859180886e-163,2.0435179190056002e-160,0.9178470254957507,0.6874563820018366,1.6703222,0.8834181
Rab3b,26.424898,3.136288,7.091785441456408e-154,5.2932298558870464e-151,0.6869688385269122,0.15595959595959596,0.6453112,0.098130964
Dlx6os1,26.408882,2.5824018,1.083385783350714e-153,7.867723242873969e-151,0.8016997167138811,0.2651974288337925,1.3257492,0.37956756
Gm16083,26.373796,2.7291505,2.738320091779795e-153,1.9362805491085023e-150,0.7379603399433428,0.2745638200183655,0.8461813,0.18289931
Unc5d,26.350437,2.357309,5.073549300286626e-153,3.495545376889785e-150,0.9107648725212465,0.6313682277318641,2.5089314,1.164292
A230057D06Rik,26.065609,1.3474044,8.952036961288921e-150,6.013530828745832e-147,0.9362606232294618,0.7851239669421488,2.3445132,1.5486797
Pam,25.982695,1.6014608,7.7699730213661045e-149,5.092175002051396e-146,0.9390934844192634,0.7251423324150597,2.082955,1.1987848
Astn2,25.887497,2.0314112,9.21012291763702e-148,5.8922857808787314e-145,0.9164305949008499,0.6277318640955004,2.1049967,1.0163043
Spats2l,25.686436,2.2428024,1.657118283334301e-145,1.0355062389114575e-142,0.7889518413597734,0.372415059687787,0.9748415,0.29918778
Lypd6b,25.672598,4.2480083,2.3654605620117103e-145,1.4445437568466969e-142,0.6175637393767706,0.07941230486685032,0.6865035,0.05062813
Slc6a1,25.65268,2.05293,3.946755558002195e-145,2.356651596522644e-142,0.8229461756373938,0.30031221303948574,0.88826436,0.29627553
Rasgrf2,25.565536,1.9171573,3.689097124116448e-144,2.154913907065412e-141,0.8781869688385269,0.482791551882461,1.3278618,0.55055416
Gria1,25.437128,1.6404569,9.800016339774958e-143,5.48596748020319e-140,0.9844192634560907,0.8461707988980717,3.2912753,2.2300363
Sox2ot,25.26882,2.4216545,7.035200093775032e-141,3.857874010606839e-138,0.8796033994334278,0.4560514233241506,1.9770718,0.77066505
Rian,25.233715,1.3664501,1.7094868092529093e-140,9.186782112925134e-138,0.9461756373937678,0.7570247933884298,2.361888,1.5534093
Ptchd4,25.048073,2.1291692,1.8323180981122918e-138,9.653801430642603e-136,0.8427762039660056,0.45983471074380167,1.4740167,0.5707543
Sox6,25.011581,2.6659951,4.574052479509389e-138,2.3635536562387938e-135,0.7790368271954674,0.29755739210284665,1.5189846,0.44604474
Gm28175,24.52562,2.7415066,7.874451679357638e-133,3.992198426874334e-130,0.6926345609065155,0.23316804407713498,0.8230506,0.1748046
Pclo,24.305422,1.0996944,1.717951122958031e-130,8.392972122524053e-128,0.9560906515580736,0.829862258953168,2.367774,1.7072589
Cux2,24.183855,2.1653388,3.2899894311058054e-129,1.578607428818089e-126,0.7634560906515581,0.29781450872359966,0.87169677,0.27009344
Epb41l3,24.12276,1.4833535,1.442599448511719e-128,6.800464417808752e-126,0.9050991501416431,0.6186593204775023,1.3716549,0.71890044
A330076H08Rik,23.968859,1.449104,5.876367151827895e-127,2.722379058096819e-124,0.8895184135977338,0.651900826446281,1.4924916,0.8166408
Kcnip1,23.874765,2.57772,5.6022440215148034e-126,2.508871614301713e-123,0.6954674220963173,0.21983471074380165,0.8949775,0.21706708
Peg3,23.785494,1.4642853,4.719328162442247e-125,2.078825372538085e-122,0.8909348441926346,0.6292745638200183,1.3665818,0.7221954
Cacna2d3,23.750675,1.6200472,1.0812139771179329e-124,4.611463423041089e-122,0.93342776203966,0.741524334251607,2.4654977,1.5048616
Grik3,23.627235,1.9897118,2.0236145019430222e-123,8.496019010501408e-121,0.7861189801699717,0.35100091827364555,0.96594375,0.34339693
Trpc6,23.607634,2.3080635,3.2176209753110475e-123,1.3301150093324284e-120,0.7535410764872521,0.3158494031221304,1.1377313,0.35629615
Usp29,23.59498,1.6332355,4.3397746850630806e-123,1.766814330115833e-120,0.8654390934844193,0.5515518824609734,1.292827,0.61628413
Vstm2a,23.478834,1.8244991,6.711881385947737e-122,2.6521801888296426e-119,0.8116147308781869,0.4482277318640955,1.022009,0.40694255
Npas3,23.460205,2.166746,1.0400392287950102e-121,4.050123779379989e-119,0.8895184135977338,0.5769329660238751,2.1716816,1.0047231
Grm1,23.443033,1.5952377,1.5569590352974135e-121,5.976498468348786e-119,0.9093484419263456,0.682791551882461,2.055872,1.1802235
Klf12,23.436403,1.4952326,1.8191721410843317e-121,6.815854817740181e-119,0.9093484419263456,0.7119926538108357,1.8457541,1.0618416
C130073E24Rik,23.436235,2.7282062,1.8263548450959918e-121,6.815854817740181e-119,0.7393767705382436,0.3334435261707989,1.4056313,0.38153183
Cacna2d2,23.358496,2.923144,1.1297219659072795e-120,4.158305373140904e-118,0.6203966005665722,0.13663911845730028,0.5643338,0.09528381
Garnl3,23.22873,1.6896993,2.3342193686489366e-119,8.475739788594179e-117,0.8725212464589235,0.5119191919191919,1.2911175,0.5974074
Snhg14,23.197834,1.095336,4.788396367256998e-119,1.7155228051759404e-116,0.9504249291784702,0.8135537190082645,2.6639173,1.980904
Gad1,23.015923,2.1171083,3.229332864656839e-117,1.1269113516016787e-114,0.7237960339943342,0.25366391184573,0.76406825,0.23459116
E230016M11Rik,22.71288,2.1483636,3.342187359219038e-114,1.1513406966950711e-111,0.7025495750708215,0.283048668503214,0.6839536,0.20003009
Rims2,22.381615,1.1063516,5.945148910611921e-111,2.022103180103067e-108,0.9376770538243626,0.8061340679522497,2.3857672,1.7197421
Gm56750,22.207363,2.6725893,2.915560829302128e-109,9.792639935418521e-107,0.623229461756374,0.16646464646464645,0.69687563,0.14670864
5330434G04Rik,22.202879,1.3880682,3.2214669621004493e-109,1.0686520650819638e-106,0.8810198300283286,0.6401836547291093,1.4926229,0.8405693
9630014M24Rik,21.9629,1.9711196,6.520088301375577e-107,2.110780393469419e-104,0.7209631728045326,0.32517906336088154,0.79051197,0.26790315
Chl1,21.87409,1.2617915,4.585648001150325e-106,1.4668614498917765e-103,0.9249291784702549,0.7429935720844811,1.8397168,1.165661
Mirg,21.849545,1.4728256,7.851296807895249e-106,2.481933473272298e-103,0.8243626062322946,0.4963820018365473,0.93989825,0.4459219
Cit,21.737757,1.6742945,9.02010390319142e-105,2.8182580451017842e-102,0.8158640226628895,0.42505050505050507,0.9989563,0.43014488
Dpp6,21.692556,1.1030114,2.412005066942181e-104,7.449491511349013e-102,0.9674220963172805,0.8178879706152433,2.4910545,1.8173362
