names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VIP (DG) (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,10.005484,3.3741186,1.4418566123659758e-23,3.874268717427377e-19,0.9701492537313433,0.5805643978683072,3.0570264,1.0833024
Thsd7a,8.669914,2.12939,4.32445987893821e-18,5.2813171771385946e-14,1.0,0.5772738653027648,1.9232403,0.84821177
Dlx6os1,8.634538,3.0591772,5.896520852778483e-18,5.2813171771385946e-14,0.8059701492537313,0.2769412353803784,1.6290296,0.3999662
Lingo2,8.586877,1.7559516,8.93654079338251e-18,6.003121277954701e-14,1.0,0.8824707607568225,3.7897165,2.6249185
Synpr,8.493453,2.2049217,2.0058665061180705e-17,1.0180329409386843e-13,0.9701492537313433,0.5442612396723774,2.0075214,0.87458
Nbea,8.474147,1.0139486,2.3680854497943967e-17,1.0180329409386843e-13,1.0,0.9058621552988304,3.2016172,2.5394542
Fstl4,8.460949,1.7925493,2.6521140999519134e-17,1.0180329409386843e-13,0.9850746268656716,0.5153975464072392,1.39961,0.6320493
Npas3,8.393173,2.2259018,4.731943994935953e-17,1.5893416892991132e-13,1.0,0.5827819306842161,2.243787,1.0302691
Tafa2,8.313288,1.9429349,9.308645900421039e-17,2.7791479482701477e-13,1.0,0.7271003970099074,2.7335014,1.5564103
Trpc6,8.297844,2.1017716,1.0601746068501385e-16,2.848689168606322e-13,0.8805970149253731,0.3246539575807432,1.0796262,0.3734922
Prox1,8.114361,2.0535748,4.883492251412054e-16,1.1929039708676536e-12,0.8656716417910447,0.3068063950785078,1.0162717,0.3539278
Kcnt2,8.08946,1.6748978,5.992948482477449e-16,1.3419210477014089e-12,1.0,0.6851103401409206,2.0520003,1.1392733
Pknox2,7.969262,1.48019,1.596242791276274e-15,3.2993110616610367e-12,0.9850746268656716,0.5594263028005293,1.1800076,0.5922615
Car10,7.933485,1.8988696,2.1308066257210455e-15,4.089626716651749e-12,0.9850746268656716,0.6367895847490969,2.2661424,1.1991853
Kcnmb2,7.8951902,2.0595672,2.8987321195695613e-15,5.173970198694081e-12,0.8208955223880597,0.2558031403126006,0.96382403,0.32860363
Fstl5,7.8875856,1.7416035,3.0808903304467917e-15,5.173970198694081e-12,0.9701492537313433,0.46915125719803996,1.2952659,0.58391017
Syn3,7.798561,1.5884079,6.2616998463600285e-15,9.897169110099644e-12,0.9552238805970149,0.5072069816517043,1.0743891,0.49542847
Aff2,7.784433,1.61039,7.002649530221558e-15,1.0453399604280737e-11,0.9552238805970149,0.6004864265531671,1.4454213,0.72383255
Kif26b,7.7578325,1.6117607,8.63932402904326e-15,1.2217822982125916e-11,0.9552238805970149,0.40495010551164207,0.8476725,0.36224523
Rfx3,7.698062,1.6366369,1.3814533426743697e-14,1.8559825658830156e-11,1.0,0.7935906148288565,2.502967,1.527796
Erbb4,7.653327,2.4664266,1.9584529675834e-14,2.462332310001211e-11,0.9552238805970149,0.7188025322794092,3.0857747,1.5641934
Kcnb2,7.6496,1.5294638,2.0160517610728187e-14,2.462332310001211e-11,1.0,0.7699846203369219,2.6162593,1.6852819
Nrg2,7.6168537,1.4623353,2.599333643876349e-14,3.0366997830851084e-11,0.9701492537313433,0.5189384455810294,1.05095,0.5158954
Csmd1,7.6004353,1.1158267,2.9513622350858235e-14,3.295424339617704e-11,1.0,0.9432383132443936,4.3386974,3.5803833
Vstm2a,7.595499,1.3955265,3.0660814473555124e-14,3.295424339617704e-11,0.9701492537313433,0.455238027111127,0.866283,0.42121246
Tiam1,7.469012,1.4525244,8.079941482822349e-14,8.350308755516788e-11,0.9701492537313433,0.6011659930612683,1.3703444,0.72900695
