names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-in Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Synpr,6.0791726,1.6897913,1.2080435863725892e-09,2.613362841884063e-07,0.7402597402597403,0.5459539024915632,1.709198,0.87650204
Pbx3,5.547102,3.3551466,2.9044297242056527e-08,3.27907675165571e-06,0.5324675324675324,0.3371867595318446,1.6640742,0.34948364
Hsp90aa1,5.335599,1.4377364,9.522974302893876e-08,9.07384111768647e-06,0.7922077922077922,0.7956846413441516,1.8754957,1.1115879
Il1rapl1,5.317214,0.5161634,1.0536811927149393e-07,9.662939811689563e-06,0.8441558441558441,0.9252531054785668,3.1984563,2.8580883
Meis2,5.0805326,2.5499783,3.763786995207082e-07,2.725955702458606e-05,0.5584415584415584,0.48973217491204135,1.8823304,0.66829854
Cmss1,4.9216785,0.9974752,8.580516500903786e-07,5.256462102262361e-05,0.7792207792207793,0.841925755726287,1.9305112,1.3741418
Snap25,4.720811,0.44109225,2.34906167381767e-06,0.00011405438502760511,0.8051948051948052,0.853557837294464,2.115139,1.8516223
Nrxn3,4.62365,0.84110147,3.7704550714413824e-06,0.00016420117952938403,0.8571428571428571,0.9294894808645078,3.6656506,3.102685
Gad1,4.424665,2.3043942,9.659196700498107e-06,0.0003406071067485356,0.4675324675324675,0.2649888705392403,0.8668141,0.24626385
Kcnb2,4.3923326,1.0428656,1.1214100917382037e-05,0.00038093918034141,0.6363636363636364,0.772169167803547,2.311122,1.6882267
Tenm3,4.2868357,1.3290586,1.8123632927481404e-05,0.0005695696102472811,0.6623376623376623,0.7360163710777626,2.270018,1.4939599
Pbx1,4.2189927,0.7497476,2.4539602713611004e-05,0.0007245924449612392,0.6363636363636364,0.8139943993681339,2.0742803,1.6367497
Hspa8,4.1933193,1.5373372,2.749021708187252e-05,0.0007858107797765049,0.7012987012987013,0.6712141882673943,1.5772324,0.843068
Lgr5,4.0809793,4.1384234,4.4846354098751735e-05,0.001157561512616195,0.3116883116883117,0.0572987721691678,0.48146018,0.034513503
Dpp6,4.0526237,0.89873385,5.064644853257152e-05,0.0012624026642580675,0.6753246753246753,0.8220722337904789,2.3787587,1.8328565
Tshz1,4.016965,2.8288586,5.89524835410979e-05,0.0014219508372973974,0.4025974025974026,0.21303941983198105,0.7855851,0.15529695
Atp1b1,4.0064564,0.7988166,6.163651766322296e-05,0.0014774069844877796,0.8181818181818182,0.8602714152365908,1.9486572,1.4951481
Kcnh5,4.002189,2.1880972,6.27590878404742e-05,0.001498965946909815,0.4675324675324675,0.3041573921160336,0.8844652,0.2715347
Gng4,3.9675636,3.274413,7.261110776636715e-05,0.0016704284808923674,0.33766233766233766,0.10590938464852445,0.44688153,0.056597177
Pcbp3,3.9569914,2.3998399,7.58996743599903e-05,0.0017297915606895157,0.5064935064935064,0.4805054929274072,1.2465516,0.38499492
Hsp90ab1,3.9371629,1.1670376,8.245063137849266e-05,0.001838546444099666,0.7792207792207793,0.809434910605299,1.7830945,1.1642834
Adamts19,3.924871,6.039968,8.677623281047454e-05,0.0019022489550423187,0.2727272727272727,0.018884181805126733,0.5215883,0.010352378
