names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Endothelial (for_DEGs),mean_expr_Rest (for_DEGs)
Flt1,19.480064,9.169581,1.620730964975973e-84,2.17745205144522e-80,0.7489177489177489,0.018960244648318043,2.4479158,0.018178776
Slco1a4,18.81694,9.259491,5.486335396540615e-79,4.913927736834877e-75,0.7229437229437229,0.014642921388738982,2.2886333,0.014354878
Bsg,18.350237,4.155148,3.286780954597071e-75,1.7663160850004659e-71,0.8268398268398268,0.4161539845295917,2.2198398,0.37882984
Utrn,17.461208,3.7910514,2.8287910847778404e-68,6.334134703998381e-65,0.7878787878787878,0.3716495772620975,2.079824,0.40939298
Mecom,17.40792,8.446604,7.184554823803684e-68,1.4849922162738845e-64,0.670995670995671,0.016621694549379385,1.687997,0.0125572365
Ebf1,16.937218,6.09758,2.3917520649763516e-64,2.794190347213677e-61,0.6796536796536796,0.08188523115668285,1.8909781,0.07895427
Ptprb,16.808083,6.9853406,2.1294770682381568e-63,2.200732647059972e-60,0.6666666666666666,0.07224320921028962,1.7579606,0.03718755
mt-Co1,16.526064,3.08778,2.3820059976782148e-61,1.939530338109504e-58,0.8311688311688312,0.5116028062601188,2.0675783,0.594569
Pltp,16.427748,7.4606814,1.210719462123371e-60,9.29486627064428e-58,0.6363636363636364,0.01985968699406368,1.2333748,0.013716221
Slco1c1,16.213928,5.422551,4.0203188247698725e-59,2.9196207249072017e-56,0.658008658008658,0.07526533549199496,1.6492937,0.09349315
Adgrl4,15.669537,9.048632,2.4435295732294117e-55,1.3399518292382509e-52,0.6017316017316018,0.008598668825328297,1.4956179,0.0065164813
Igf1r,15.652613,2.6846633,3.1885502265156602e-55,1.7135268917295156e-52,0.8095238095238095,0.6846914912754093,2.2693882,0.85401446
Tmsb4x,15.537912,2.4755917,1.9214164491375435e-54,9.560825923764035e-52,0.8917748917748918,0.7198776758409786,2.459761,1.0730046
Cldn5,15.519976,8.347036,2.5414820128125245e-54,1.2416294851685915e-51,0.5974025974025974,0.010109731966180967,1.3609976,0.00886696
Ptprm,15.47716,3.207035,4.948348034839955e-54,2.374323423145528e-51,0.7705627705627706,0.376902320561252,1.9912245,0.52169335
Ccdc141,14.902833,5.158273,3.158959712787944e-50,1.1168585195080533e-47,0.6147186147186147,0.0930742939377586,1.3232626,0.0743342
