names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CGE-derived INS (merge) (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,34.61862,4.6181912,1.3255639022022457e-262,3.1924881020638884e-258,0.9347408829174664,0.5468215994531784,3.2899477,0.7189171
Nfib,30.933031,2.035672,4.297433279314542e-210,2.5874845774752855e-206,0.9718490083173384,0.684894053315106,2.0789287,0.99556714
Sorcs3,29.698505,2.2644482,8.027639333298536e-194,3.2222944283860324e-190,0.9225847728726807,0.5673274094326726,1.7283027,0.6749138
Kcnq5,29.565058,1.8670491,4.205965940618767e-192,1.4470926244837483e-188,0.9897632757517595,0.848257006151743,2.6535518,1.5303445
Csmd3,28.769348,1.3108752,5.188819622253475e-182,1.5620941472794086e-178,0.9955214331413947,0.9384825700615175,2.9109125,2.0798
Nrxn1,28.046524,0.76743066,4.4041934184256e-173,1.1785621587706907e-169,1.0,0.9993164730006835,4.0667486,3.5467672
Egfem1,27.443594,1.8105578,8.284973860394818e-166,1.813957367761353e-162,0.9840051183621241,0.8154477101845523,2.657785,1.5647511
Cacna2d1,26.674698,1.9600953,9.255105417265807e-157,1.3931247429339356e-153,0.9149072296865003,0.6985645933014354,2.0533986,1.0102282
A830018L16Rik,25.974047,1.5094045,9.730449756802932e-149,1.378518540840246e-145,0.9520153550863724,0.8045112781954887,1.9961305,1.1737714
Lingo2,25.543037,1.6944634,6.561201695231265e-144,8.316841138313146e-141,0.9833653230966091,0.8796992481203008,3.2059019,2.1181488
Dlx6os1,24.618752,1.6890562,7.956457220128499e-134,9.581165784478738e-131,0.9673704414587332,0.8974709501025291,2.5988023,1.5811174
Cnr1,23.84384,2.2674587,1.1731800635546274e-125,1.3454699357452213e-122,0.818937939859245,0.48667122351332875,1.19953,0.39309102
Hdac9,23.639734,1.2334917,1.5052500767523351e-123,1.4500977139401297e-120,0.9705694177863083,0.8892686261107313,2.2586932,1.5357789
Nkain2,23.631823,0.9228796,1.8153483052416377e-123,1.6815710993630617e-120,1.0,0.9924812030075187,3.5189333,2.905439
