names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MGE-derived INS (merge) (for_DEGs),mean_expr_Rest (for_DEGs)
Sox6,32.92819,3.10259,8.68384773085032e-238,1.0457089437489955e-233,0.8714969241285031,0.3877159309021113,1.6825526,0.41199955
Nxph1,32.57985,2.5393302,7.913875248664231e-233,6.353259049627645e-229,0.9890635680109364,0.7306461932181701,3.3252954,1.724809
Kcnc2,29.808073,1.7978904,3.070298769059117e-195,1.4789015110803954e-191,0.9945317840054683,0.9430582213691618,3.2421758,2.0883713
Xkr4,27.77411,0.6990803,8.914215012404784e-170,2.146899543587568e-166,0.9993164730006835,0.9980806142034548,3.2903774,2.8287635
Satb1,26.866856,1.9982558,5.360279048537929e-159,1.0758080050415624e-155,0.8591934381408065,0.5182341650671785,1.2380538,0.47807407
Magi2,26.862337,0.5886978,6.052966942790226e-159,1.1213819680781523e-155,0.9993164730006835,0.9980806142034548,3.4935691,3.1007159
Gria1,26.812977,1.1004695,2.28081387349145e-158,3.923651523512006e-155,0.9993164730006835,0.982725527831094,3.2586238,2.5388825
Utrn,26.712713,1.8601358,3.350123982226011e-157,5.378959065862083e-154,0.8961038961038961,0.6154830454254638,1.4027529,0.61228174
Kctd8,25.895706,2.0416007,7.444242995776267e-148,9.960397128348645e-145,0.8571428571428571,0.5067178502879078,1.4044621,0.55761063
Frmd5,23.838345,0.8190647,1.3377397556128012e-125,1.4644601942808503e-122,0.9965823650034177,0.9782469609724888,2.5261717,2.017757
Cacna2d2,23.826893,2.2658606,1.7583044333654538e-125,1.8411740857901563e-122,0.7047163362952836,0.32821497120921306,0.6731737,0.18207322
Dlgap2,23.673668,0.75162125,6.735139064372012e-124,6.758712051097315e-121,0.9979494190020506,0.980806142034549,2.9856231,2.498587
Gria3,23.51605,1.2797376,2.794912783273957e-122,2.4930622026803696e-119,0.9671907040328093,0.8304542546385156,2.3323548,1.5751132
Fgf12,22.829866,0.7949463,2.3165990594476867e-115,1.92389557750821e-112,0.9993164730006835,0.9942418426103646,3.2864645,2.7625554
Klf12,22.729813,0.88664,2.273034125284483e-114,1.824791795778383e-111,0.9788106630211894,0.963531669865643,2.0455446,1.5351222
Tmem44,22.303654,2.006055,3.405233108830971e-110,2.645536586873713e-107,0.7060833902939166,0.38707613563659626,0.73239845,0.23813865
Epb41l3,22.254065,0.9401786,1.0302021083146886e-109,7.753558617703425e-107,0.950786056049214,0.8445297504798465,1.417375,0.96672446
Etl4,22.177847,1.171503,5.620429079622096e-109,4.101891331927835e-106,0.9788106630211894,0.9430582213691618,2.8944764,2.1494527
Fam135b,21.674181,1.2368286,3.5957207724271196e-104,2.4742668309467072e-101,0.9357484620642516,0.6986564299424184,1.5802509,0.9693359
Rbfox1,21.32497,0.88627553,6.659715371879654e-101,4.3349347301716106e-98,0.9993164730006835,0.9904030710172744,4.0783353,3.4782867
Cntnap3,21.273485,1.44582,1.9986647668267995e-100,1.2667326906383325e-97,0.8605604921394395,0.581573896353167,1.1180779,0.5629321
Dlgap1,21.071066,0.50743604,1.4659681759920532e-98,8.826594387648152e-96,0.9986329460013671,0.999360204734485,3.677096,3.3359725
Grm5,20.444902,0.60246193,6.669179584670073e-93,3.824298121837953e-90,0.9979494190020506,0.9980806142034548,3.432921,3.0319211
Elavl2,19.779871,0.88207906,4.438246385947843e-87,2.4293346808901785e-84,0.9842788790157211,0.9161868202175304,2.0006256,1.4971923
Gria4,19.655106,0.63146853,5.2280919810847685e-86,2.6790078143073526e-83,0.9979494190020506,0.9974408189379399,3.027765,2.6163127
Klhl32,18.678398,0.9990103,7.421408843327247e-78,3.372400199673461e-75,0.8735475051264525,0.7677543186180422,1.1136365,0.70478374
Iqsec1,18.383043,0.73514575,1.7960492837440363e-75,7.588780868366907e-73,0.9487354750512645,0.9021113243761996,1.5365659,1.160622
Nebl,18.24287,0.666504,2.3574442301563808e-74,9.62316726086208e-72,0.9760765550239234,0.9385796545105566,1.9230698,1.5434265
Gm56750,17.984365,1.4148892,2.583280309125022e-72,9.875511581740797e-70,0.7259056732740943,0.45745361484325014,0.8075525,0.3825058
Moxd1,17.936754,2.846357,6.091155923952827e-72,2.256913834961229e-69,0.49624060150375937,0.16634676903390916,0.5206984,0.090751894
Camta1,17.608442,0.56816643,2.1220172582207185e-69,7.300951949569683e-67,0.9760765550239234,0.9404990403071017,1.6772691,1.3698043
Mkx,17.576902,1.4342494,3.7025664826235505e-69,1.2559522699648673e-66,0.696514012303486,0.4657709532949456,0.7071078,0.32240513
Kcnmb2,17.387995,0.9315629,1.0173239651791268e-67,3.402948663524179e-65,0.9706083390293917,0.8848368522072937,2.0336733,1.5001576
Astn2,17.376314,0.95966953,1.2471413295895988e-67,4.11454133997752e-65,0.9726589200273411,0.8835572616762636,2.2001896,1.6345496
Cacna1a,17.247156,0.6845803,1.1754447344546488e-66,3.8255960790007785e-64,0.9781271360218728,0.9053103007037748,1.8975474,1.5101672
Stxbp6,17.073757,1.3569286,2.3272750574019115e-65,7.185909292624056e-63,0.735475051264525,0.5015994881637876,0.9898606,0.5068977
Snhg14,16.538696,0.30286127,1.9315484652198682e-61,5.472872145453565e-59,0.9972658920027341,0.9987204094689699,2.8273869,2.6311846
Rab3b,16.456463,1.5082991,7.537780546945027e-61,2.062953485143455e-58,0.6302118933697881,0.38451695457453616,0.51753134,0.21373318
Nek7,16.414326,1.9228021,1.5104770664811623e-60,4.08745277181262e-58,0.5762132604237867,0.32309660908509275,0.5897668,0.19221763
Tmem132c,16.39024,2.1424036,2.245589873892528e-60,6.009198502536405e-58,0.5126452494873548,0.21497120921305182,0.54233176,0.15107556
St8sia1,16.385971,1.2332447,2.4088954527467748e-60,6.375366822412453e-58,0.6862611073137389,0.46513115802943056,0.5607354,0.27752084
Ppargc1a,16.327576,1.0887593,6.283253908917595e-60,1.6448465993736019e-57,0.7648667122351333,0.599488163787588,0.8035122,0.45735434
Adgrl2,16.163317,1.3543776,9.15045068281149e-59,2.295619315050333e-56,0.7074504442925496,0.5073576455534229,0.8643602,0.42994696
Sst,16.075129,2.337166,3.812050009774861e-58,9.27367802377957e-56,0.5625427204374572,0.32117722328854764,0.7348002,0.19452414
Lypd6b,16.031471,2.2642775,7.703697763996997e-58,1.855358569481037e-55,0.5030758714969241,0.22072936660268713,0.47107017,0.11800311
Gm1604a,15.931562,1.6046907,3.8267359463194346e-57,9.12506025060963e-55,0.595352016404648,0.35572616762635956,0.4850869,0.18671125
Grik3,15.865609,1.2686914,1.096486427836875e-56,2.5150265836212664e-54,0.6944634313055366,0.45745361484325014,0.73564035,0.3723004
Dock4,15.806859,0.93966275,2.7903710646634433e-56,6.33993365295796e-54,0.9542036910457963,0.889315419065899,2.1299152,1.5821471
Ppp2r2b,15.7321825,0.62035525,9.101924319130246e-56,2.0486985542236712e-53,0.9856459330143541,0.9481765834932822,2.1640964,1.793974
Slit2,15.714132,1.384029,1.2102647406248663e-55,2.698890371593452e-53,0.7423103212576897,0.5611004478566859,1.2370738,0.6611364
