names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 ET CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Dpp10,17.361814,2.348626,1.6056852178397036e-67,4.314476180335284e-63,0.9529411764705882,0.8852435323023559,4.0750804,2.5143728
Tox,15.683671,2.5852695,1.9561425121807272e-55,2.6280774651148072e-51,0.803921568627451,0.41050007226477814,1.7280668,0.57180464
Cntn6,15.616381,2.5149255,5.631258733815425e-55,5.0437307392540155e-51,0.803921568627451,0.4051163462928169,1.5814978,0.5162471
Thrb,13.619057,1.4709733,3.0852560265538865e-42,2.0725207358375734e-38,0.8352941176470589,0.6923688394276629,1.8938916,1.110684
Kcnh7,13.568768,1.4154769,6.134457307461847e-42,3.2966573570299964e-38,0.8784313725490196,0.7963217227923111,2.729492,1.8516414
Ldb2,13.527525,1.7612886,1.0758465547575391e-41,4.817999487722513e-38,0.8313725490196079,0.5538733921086862,1.6922802,0.836092
Gm19410,13.307592,2.6603134,2.091114870447821e-40,8.026893795561848e-37,0.6313725490196078,0.19627113744760805,0.61998844,0.12739556
Grm8,13.082674,1.8913713,4.136272770753182e-39,1.389270616876725e-35,0.8352941176470589,0.5125018066194537,1.7758611,0.84253126
Efna5,12.5350685,1.7759343,4.79948769717e-36,1.4329137158106432e-32,0.7764705882352941,0.4105723370429253,1.1974642,0.51583207
Tafa1,12.399945,1.538604,2.615014049107973e-35,7.026542749953122e-32,0.8980392156862745,0.7904321433733198,2.8924823,1.9264023
Cdh6,12.329214,1.9704179,6.305839956602467e-35,1.540344723944621e-31,0.6784313725490196,0.2804234715999422,0.73458534,0.2443349
Fras1,12.30846,1.7091529,8.15640242998821e-35,1.8263544441148599e-31,0.7647058823529411,0.39915450209567854,1.0517491,0.4508684
Npr3,12.299824,1.9463977,9.077217252683882e-35,1.8761909813816608e-31,0.6627450980392157,0.2420508744038156,0.5089903,0.15886737
Hcn1,12.266329,1.2950747,1.3734076062896802e-34,2.6359615986431216e-31,0.8431372549019608,0.7480488509900275,2.3009055,1.539188
