names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Mutant (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Kcnip4,11.215052,2.7164176,3.4398618465839346e-29,1.6700529265165003e-25,0.9851485148514851,1.2601622,2.8680031
Naaladl2,10.373614,2.3125994,3.269205288696602e-25,5.290663892207335e-22,0.9529702970297029,1.2300038,2.567116
Cntnap2,9.598931,2.6741974,8.077785457283187e-22,9.80441209877747e-19,0.8910891089108911,0.76086414,2.113508
Rbfox1,9.4726515,1.8211654,2.7282832229822975e-21,2.6491630095158108e-18,0.9900990099009901,1.9739102,3.1313293
Ptprd,8.56276,1.2217716,1.10197123396517e-17,7.64295762985843e-15,0.9925742574257426,2.375252,3.167536
Tenm2,8.281714,1.6889061,1.2141480565241246e-16,6.549654238249584e-14,0.9678217821782178,1.6569598,2.6865585
Celf2,8.259604,1.1109867,1.4615582575058252e-16,7.095865340190781e-14,0.9925742574257426,2.366827,3.0852304
Epha6,8.166064,2.3261187,3.186134205886787e-16,1.4062437790527592e-13,0.7970297029702971,0.60728395,1.6466087
Dab1,7.5414705,1.7654266,4.6470110077804905e-14,1.6115170316267342e-11,0.8589108910891089,1.0384507,1.9746342
Dpp10,7.4356,1.134185,1.0409441045652325e-13,3.158614767290127e-11,0.9777227722772277,2.1850927,2.9080682
Galntl6,7.1906943,2.0623007,6.446254127198965e-13,1.6471875677658407e-10,0.7722772277227723,0.6290563,1.5385772
Lingo2,7.164758,2.265098,7.792385124871367e-13,1.8916014890625244e-10,0.801980198019802,0.67358047,1.726437
Dlg2,6.813557,0.8627583,9.521443087894161e-12,1.926108591321923e-09,1.0,2.954329,3.5286117
Cntn5,6.4725604,2.4434109,9.635590951752483e-11,1.3993367934771286e-08,0.6039603960396039,0.29961675,1.064766
Nrg3,6.43642,0.76168406,1.2232429035560063e-10,1.696812656218403e-08,1.0,2.8677766,3.3721516
Xylt1,6.4160113,0.81186515,1.3989117860818516e-10,1.8865879781742747e-08,0.9678217821782178,2.5501468,3.078715
Frmpd4,6.305464,2.066258,2.8733252047019793e-10,3.67105101811266e-08,0.6782178217821783,0.5044739,1.3211691
Pcdh9,6.2893066,0.49737433,3.188870041466149e-10,3.96973437213286e-08,1.0,4.211658,4.5520806
Nkain2,6.237009,1.7392632,4.4601592695437257e-10,5.4135183134086973e-08,0.8811881188118812,1.1658411,2.1251078
Nrxn3,6.1264615,0.726162,8.985489689925891e-10,1.0145244754555859e-07,0.9925742574257426,2.9190521,3.4008079
Kctd16,6.1192336,2.1208735,9.402656369752988e-10,1.0374976517079717e-07,0.6460396039603961,0.43296328,1.2109534
Opcml,6.086069,0.770235,1.157164534701188e-09,1.1953263438243123e-07,0.995049504950495,3.1913223,3.708052
Syt1,6.072038,1.3769816,1.2629691940542874e-09,1.277440716069493e-07,0.8787128712871287,1.2325813,1.9894477
Ctnna2,6.018465,0.9019946,1.760786740185623e-09,1.6806075074504153e-07,0.9925742574257426,2.76281,3.358249
Hs6st3,6.000182,1.8643372,1.9709621562730245e-09,1.8401963978279872e-07,0.7079207920792079,0.58951205,1.3671423
Camk1d,5.975096,1.0835989,2.29954124372198e-09,2.1064665543906063e-07,0.905940594059406,1.7363034,2.3897357
Kalrn,5.8241563,1.5455319,5.7401778477511326e-09,5.160845083487361e-07,0.7623762376237624,0.744081,1.4408264
Nlgn1,5.758253,0.5184555,8.49888561645092e-09,7.502198121430768e-07,0.9975247524752475,3.7896993,4.142218
Egfem1,5.683846,1.5499271,1.3169881127561789e-08,1.1217504013037278e-06,0.7995049504950495,0.92421913,1.6956708
Negr1,5.5448112,1.0989045,2.942714333301812e-08,2.3811463480300497e-06,0.9381188118811881,1.7558007,2.4208739
Hivep2,5.492939,1.4515078,3.952995215511318e-08,3.0954502856947498e-06,0.7326732673267327,0.7245008,1.3633218
Gm28307,5.4780574,4.511676,4.300203489201081e-08,3.3138869746144836e-06,0.4034653465346535,0.04103004,0.6706021
Chsy3,5.432988,2.0015438,5.5418096177207496e-08,4.139305491389883e-06,0.5742574257425742,0.36405197,1.0146786
Phactr1,5.411304,1.2631763,6.256752234135135e-08,4.602504863140315e-06,0.7945544554455446,0.9854318,1.6154045
Ntm,5.3364716,0.70303434,9.477271299697428e-08,6.556964628569753e-06,0.9801980198019802,2.6731293,3.1334476
Slc8a1,5.334346,1.2139266,9.588969899659166e-08,6.556964628569753e-06,0.8539603960396039,1.2365007,1.8973571
Tafa1,5.165973,1.1689239,2.3919104434761363e-07,1.527990158299558e-05,0.8564356435643564,1.327085,1.9779984
Fgf14,4.9742155,0.7823019,6.551233418928941e-07,3.975779781112501e-05,1.0,2.8913083,3.4100525
Erc2,4.970814,1.1831445,6.66723097309629e-07,3.9962230091830234e-05,0.8638613861386139,1.2059792,1.8426949
Nalf1,4.9504056,0.75200725,7.405903241700042e-07,4.3320072576450246e-05,0.9727722772277227,2.4899838,2.9769728
Nav2,4.931272,1.1121438,8.169579570576182e-07,4.721822477993734e-05,0.900990099009901,1.498609,2.1415696
Grm7,4.9117136,0.92668915,9.028377309468772e-07,5.152396627541592e-05,0.8985148514851485,1.6705835,2.2195234
Lhfpl3,4.9019346,0.5710283,9.489743928340964e-07,5.235534860465384e-05,0.9826732673267327,3.4696162,3.8551972
Grip1,4.872172,1.5086391,1.1037813371216052e-06,5.9542871019171035e-05,0.6683168316831684,0.66103894,1.2989904
Kirrel3,4.780332,1.3748147,1.7500572945683465e-06,9.077171632555148e-05,0.7301980198019802,0.8657234,1.519584
Dscam,4.779482,0.6265673,1.7574750431723662e-06,9.077171632555148e-05,0.9801980198019802,3.027192,3.4442794
Asic2,4.774805,1.1674162,1.7988158169001112e-06,9.192895569526359e-05,0.8143564356435643,1.244978,1.8801167
Slc9a9,4.7463174,1.1586999,2.0715334228749057e-06,0.00010368345121708936,0.7821782178217822,0.98182327,1.5532607
Sgcd,4.7348375,0.8369429,2.19230489786424e-06,0.00010751151797101904,0.9653465346534653,2.2881489,2.8225884
Robo1,4.7203813,1.1410395,2.3540277178668255e-06,0.00011095926767226638,0.8613861386138614,1.3603132,2.000121
Adgrb3,4.6927447,0.53295034,2.6956399227151027e-06,0.00012346539457341342,0.9925742574257426,2.8263505,3.1773002
Kcnq5,4.661281,1.2056807,3.1424730324286444e-06,0.00014126580159667658,0.7896039603960396,1.0929067,1.718033
Anks1b,4.659155,0.41384533,3.175099021275261e-06,0.00014142298851643482,0.9851485148514851,3.3661354,3.6443434
Tnr,4.570717,0.58303666,4.860582134423868e-06,0.00020343212295368863,0.9826732673267327,3.0947661,3.4837282
Kcnip3,4.537553,1.1866959,5.691079230750579e-06,0.0002340656402792108,0.7103960396039604,0.9473882,1.5247982
Dock4,4.535852,0.95659995,5.7371392776984724e-06,0.0002340656402792108,0.8985148514851485,1.5300831,2.0822704
Agbl4,4.5128922,1.3791039,6.3949542915286376e-06,0.0002565909345898474,0.6460396039603961,0.6335999,1.1940244
Meg3,4.50779,0.8607211,6.550637455153893e-06,0.0002606831544653455,0.8935643564356436,1.5435874,2.0392897
Nrg1,4.5005617,1.09378,6.777407974595326e-06,0.00026751476192406757,0.8836633663366337,1.5674813,2.208146
Mgat4c,4.480153,1.4688287,7.4589528167908645e-06,0.000292042063915481,0.6113861386138614,0.5617734,1.1270183
Samd12,4.468248,1.3313084,7.886286548478825e-06,0.00030630336954291755,0.6831683168316832,0.71532786,1.2890077
Etl4,4.4652715,2.1484897,7.996721769732671e-06,0.00030752802281478424,0.4430693069306931,0.2237581,0.74754786
Grin2a,4.458469,1.6384143,8.254723396173309e-06,0.0003130990788157923,0.5445544554455446,0.40590945,0.93949616
Sgcz,4.43806,0.73467046,9.077333828236933e-06,0.00034163143981465356,0.9702970297029703,2.5925534,3.0714724
Adam12,4.4287057,1.162673,9.48001771816239e-06,0.00035404220016675697,0.7797029702970297,1.104772,1.7081841
Cntnap5a,4.4023447,2.1682415,1.0708729776777091e-05,0.0003938703262594907,0.42326732673267325,0.20252149,0.6976425
Kcnh7,4.3993683,1.2652651,1.085664388599654e-05,0.000396308316289573,0.7054455445544554,0.85731614,1.4496036
Il1rapl1,4.320709,0.5681744,1.5552835050399955e-05,0.0005432303177675667,0.9925742574257426,3.3250995,3.7071507
Cacna2d3,4.3117805,1.2385751,1.619450814250488e-05,0.0005576194115734837,0.6905940594059405,0.73550963,1.2708467
Nav3,4.3117805,0.6176601,1.619450814250488e-05,0.0005576194115734837,0.9925742574257426,3.1345313,3.5473886
Erbb4,4.3088045,0.59204113,1.641395050367774e-05,0.0005611952795447565,0.9975247524752475,3.1218433,3.5172703
Fmn2,4.302427,1.0886112,1.6893765809469843e-05,0.0005735610699648678,0.745049504950495,0.92164123,1.4394944
Lsamp,4.2692623,0.38657182,1.961205191832078e-05,0.0006566656004375681,1.0,4.785668,5.0516524
Tmem132d,4.1978316,1.035046,2.6948293408528356e-05,0.0008780802986470146,0.7252475247524752,0.96146613,1.4610556
Gm26871,4.184651,1.1636593,2.8560467851163868e-05,0.0009122438909039512,0.6955445544554455,0.8217052,1.3493496
Cacna1e,4.147235,1.1492054,3.365149169208625e-05,0.0010608960530199918,0.6460396039603961,0.689669,1.1639363
Dlgap2,4.1276765,1.5091957,3.6644734031576756e-05,0.001133185883587931,0.5445544554455446,0.45185593,0.9654625
Nr3c2,4.07878,1.3323038,4.527258820730694e-05,0.0013652075512203428,0.5866336633663366,0.53906685,1.029229
Gm11867,4.061773,2.6502383,4.870141864627491e-05,0.0014505851995562252,0.3564356435643564,0.113873586,0.5636974
Chrm3,4.056246,2.9601834,4.9867815018269564e-05,0.0014762697677664558,0.3415841584158416,0.08964618,0.5480482
Astn2,4.037963,0.7410216,5.391740789576393e-05,0.0015864788808117205,0.9232673267326733,1.7842293,2.2280297
Ext1,4.0358367,0.9843988,5.440801533651498e-05,0.0015912705690287966,0.7252475247524752,0.9705755,1.4454262
Hdac9,4.0167036,1.1307726,5.901787194025495e-05,0.0016954542501179748,0.6806930693069307,0.7966898,1.2995198
Schip1,4.0094757,1.0285552,6.085376412820368e-05,0.0017379119108378166,0.7797029702970297,1.080746,1.60374
Sox5,4.0064993,0.6989801,6.162532678609237e-05,0.001749654745885839,0.8985148514851485,1.7022029,2.1141346
Tmem178b,3.9907675,0.9446609,6.585983178170618e-05,0.0018482629092496155,0.7797029702970297,1.076259,1.5521973
Robo2,3.9882164,1.7559327,6.657193595876824e-05,0.0018575100521828723,0.44801980198019803,0.28646228,0.75156957
Unc5d,3.9210374,2.2700438,8.816855831213025e-05,0.002378101947807735,0.3787128712871287,0.1599251,0.6078531
Kcnd3,3.8836215,1.141405,0.00010291213452978203,0.0027452660062752296,0.6386138613861386,0.72999847,1.2153797
Lrrtm3,3.8793695,0.85408914,0.00010472756127971277,0.0027784279235683364,0.8292079207920792,1.3633816,1.8340312
