names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 (for_DEGs),mean_expr_Rest (for_DEGs)
Fgf13,28.371832,4.7092185,4.50297751121039e-177,1.2099500572622319e-172,1.0,0.6340531381809006,3.5703292,0.84154904
Dlx6os1,28.293146,6.1397877,4.1966387662708896e-176,5.638184182484941e-172,1.0,0.2707379501784491,3.4865348,0.3709996
Erbb4,28.009035,5.28521,1.2611474013487848e-172,1.1295676891413948e-168,1.0,0.7164641840008652,4.9599204,1.5327343
Grip1,27.06564,3.314808,2.500152528004223e-161,1.679477460686837e-157,1.0,0.7773531850463247,3.7224793,1.6207038
Gad2,26.819084,4.802703,1.9357498069508867e-158,1.0402719462554065e-154,0.9721254355400697,0.21586935361765025,2.043649,0.21569942
Dner,26.558285,3.3537092,2.060407707947338e-155,9.227192518757495e-152,0.9930313588850174,0.5390605284977829,2.2579672,0.6085178
Unc5c,26.404833,3.028636,1.2058034631174218e-153,4.628562721995017e-150,1.0,0.8043188290854032,3.6495035,1.7209588
Nyap2,26.366661,3.245065,3.30609045286748e-153,1.1104331308568648e-149,0.9895470383275261,0.5985075164930242,2.551061,0.80948716
Grik1,26.340492,4.4430428,6.595755887060121e-153,1.9691995631700607e-149,0.9930313588850174,0.49414182198348894,3.1987166,0.73257846
Zmat4,26.332748,3.277888,8.09039224383879e-153,2.173888395919483e-149,0.9895470383275261,0.5955874400663326,2.6339414,0.84712523
Gad1,26.164087,4.1173105,6.814186000901963e-151,1.6645197985839613e-147,0.975609756097561,0.25783193337899707,1.7148309,0.23309171
Alk,26.0171,4.6738486,3.1722136540190746e-149,7.1031150736243775e-146,0.9581881533101045,0.23288510761022388,2.098296,0.24701972
Zfp536,25.897343,3.7829518,7.13500117968425e-148,1.4747498592162752e-144,0.9895470383275261,0.4710335628537438,2.6428444,0.66694224
Nxph1,25.70147,4.7406464,1.125494266203561e-145,2.1601450666349773e-142,0.9930313588850174,0.4161289159666895,3.3449476,0.70475376
A830018L16Rik,25.618343,2.734413,9.530149792945204e-145,1.707167499576251e-141,0.9965156794425087,0.6848480478748332,2.7602427,1.170773
Slc2a13,25.360435,2.8470275,6.894281521087276e-142,1.1578084029475944e-138,0.9965156794425087,0.6581708064457983,2.4955618,0.9347885
Slc6a1,25.285387,3.7390802,4.6251099089426073e-141,7.310394309016933e-138,0.9686411149825784,0.3060672699087927,1.7237879,0.29633713
Rbms3,25.070023,3.4754434,1.0561959850048485e-138,1.5766658953933488e-135,0.9930313588850174,0.5057139767114892,2.4173253,0.6515235
Ptprm,24.7158,4.0959167,7.23363204876762e-135,1.0229878586862418e-131,0.9651567944250871,0.3740942355528318,2.52319,0.51322246
Kcnmb2,24.622732,4.038404,7.212428566252084e-134,9.689897778759675e-131,0.9651567944250871,0.2498287609502866,1.9525348,0.31333557
Galntl6,24.392895,3.5410762,2.0344497300425322e-131,2.603126868868707e-128,1.0,0.8107357871588737,4.268581,1.9529772
Sgcz,24.123363,3.2420952,1.4217126501101766e-128,1.7364281322027476e-125,0.9965156794425087,0.7444392371750964,3.7443252,1.6795082
Rims1,23.638054,1.8392167,1.5663526597826148e-123,1.8299085203634286e-120,1.0,0.8417030174123076,3.3487878,2.1606333
Pam,23.521603,2.2805552,2.452123217282282e-122,2.745356285348955e-119,0.9895470383275261,0.7263419733948592,2.5149632,1.2057836
Sox2ot,23.472578,3.595829,7.775497976144837e-122,8.357105224760471e-119,0.9965156794425087,0.4603987166083853,2.7273567,0.7802848
Unc5d,23.022938,2.9629319,2.7468268432057336e-117,2.8387398952668486e-114,0.9930313588850174,0.6339449872021342,2.9215848,1.1797328
Gabrg3,22.631138,3.1742537,2.1400761092898033e-113,2.1297720391339633e-110,0.975609756097561,0.649302426186957,3.0506382,1.1724341
Egfr,22.293093,4.553189,4.311485574030418e-110,4.137486334792761e-107,0.8327526132404182,0.1112152564980713,1.3908699,0.12094686
Astn2,22.118942,2.6838777,2.0773904114780106e-108,1.9248096674625567e-105,0.9965156794425087,0.6301597029453117,2.5276802,1.0272793
Gabrb2,22.058084,2.0633454,7.989376735410909e-108,7.155818429349704e-105,0.9895470383275261,0.7170770395472079,2.3652596,1.1963712
Pld5,21.697233,4.7762384,2.1788663984159198e-104,1.8885851653366376e-101,0.794425087108014,0.10670896571613973,1.2567412,0.08777417
Cadps,21.584772,1.6712766,2.4971518957488026e-103,2.0968272324615728e-100,1.0,0.8262374274487184,3.0493736,1.9894418
Maf,21.246214,3.2092557,3.573446228004197e-100,2.909651519590084e-97,0.8815331010452961,0.2215292548397563,1.2885507,0.25005493
Mpdz,21.16589,2.3107822,1.970103435145983e-99,1.556961155952134e-96,0.9337979094076655,0.5583835033707055,1.5194867,0.54204184
Rasgrf2,21.057173,2.6785371,1.9656096782305316e-98,1.5090266301158395e-95,0.9198606271777003,0.48707595803742026,1.7525368,0.5567252
Hcn1,21.015387,2.1231945,4.743699794024944e-98,3.540644818484729e-95,1.0,0.7453044450052273,2.8207028,1.5312814
5330434G04Rik,20.954855,1.9953307,1.694455916881061e-97,1.2305413645025436e-94,0.9790940766550522,0.6411190021269693,1.839745,0.8450206
Dlc1,20.897932,2.5355172,5.591612207719579e-97,3.95385842161645e-94,0.9547038327526133,0.5430981650383936,1.9244981,0.69778013
Rab3c,20.863903,2.142722,1.1397815179803154e-96,7.852802407213095e-94,0.9721254355400697,0.6414074047370129,1.9481548,0.8596246
Spock3,20.765505,2.44174,8.878865508822943e-96,5.964377905551812e-93,0.9930313588850174,0.5666750784094596,2.0733733,0.8239681
Gria4,20.695917,2.0356712,3.769889154463907e-95,2.4706566239132973e-92,1.0,0.7889613901005804,2.9364212,1.6776644
Sh3rf3,20.609512,2.1434886,2.2549022928043414e-94,1.4090517350616898e-91,0.9512195121951219,0.6131078986264825,1.7578908,0.7354552
Hdac9,20.284922,1.9048328,1.7474276342912097e-91,1.0671222848501092e-88,0.9965156794425087,0.796820361224269,2.7475114,1.5892146
Igsf11,20.220184,2.5795922,6.504009104643103e-91,3.883616103150226e-88,0.8885017421602788,0.42315872958650275,1.3100125,0.373437
Elavl2,20.180477,2.2712374,1.4533885419214173e-90,8.489684809006192e-88,0.9651567944250871,0.5372580121850102,1.7719246,0.6988064
Adamts17,20.09835,2.4084313,7.628618433989083e-90,4.36129738981461e-87,0.9059233449477352,0.5019286924546668,1.5774238,0.5445124
Dlx1as,19.889597,4.0935793,5.0075552159937147e-88,2.8031876802864814e-85,0.7491289198606271,0.12606799091531778,0.9553933,0.089567944
Tox2,19.864534,3.2424073,8.251305834011041e-88,4.5247466889770747e-85,0.7874564459930313,0.20966869750171238,0.8603336,0.13463941
Rimbp2,19.831032,1.830816,1.6071063174030406e-87,8.63658934972394e-85,0.9616724738675958,0.6318901186055734,1.6679621,0.7925979
Cacna2d1,19.800062,1.8399738,2.973298323140551e-87,1.5476183666319323e-84,0.9860627177700348,0.8244709614622012,3.04307,1.8837281
Grik2,19.799694,1.3376259,2.995018796608131e-87,1.5476183666319323e-84,1.0,0.9152456829734309,3.5433366,2.659379
Pde11a,19.64954,4.2414126,5.833924059262236e-86,2.9576894240070996e-83,0.7560975609756098,0.18984101806121345,1.5721959,0.18383338
Snhg11,19.641865,1.7195593,6.785929141168814e-86,3.376628074503815e-83,1.0,0.8256245719023757,3.2937207,2.1834993
Tcf4,19.52452,1.1222863,6.795151030024539e-85,3.3197401486683516e-82,1.0,0.93229748729226,3.5145082,2.7710252
Osbpl3,19.51937,2.6366916,7.516087524831172e-85,3.606379853432385e-82,0.8466898954703833,0.3459749810735787,1.1271545,0.2893507
Frmpd4,19.467987,1.9986402,2.051807249292596e-84,9.672291366402114e-82,1.0,0.8308158188831609,3.4102588,2.1192815
Ntrk2,19.319756,1.6049395,3.6637666818888766e-83,1.6973346679716225e-80,0.9930313588850174,0.7776415876563683,2.281677,1.358596
Ptchd4,19.295395,2.4027503,5.871563196981856e-83,2.67404920513394e-80,0.926829268292683,0.4637513969501424,1.6437392,0.5818859
Rapgef4,19.25415,1.7182435,1.3029538140716472e-82,5.83506149735086e-80,0.9930313588850174,0.7214751793503731,2.140028,1.1876266
Hapln1,19.208223,4.5555196,3.158922729964242e-82,1.3914795697399868e-79,0.7073170731707317,0.08212264320992105,0.92469376,0.06267962
Apba1,18.825766,1.7597412,4.64440616806068e-79,2.0128257054159756e-76,0.9651567944250871,0.7250802119759184,1.946956,1.0202801
Lamp5,18.811481,3.6218514,6.081538669154983e-79,2.5938245085745143e-76,0.7282229965156795,0.16020764987923142,0.84685355,0.102756776
Cracd,18.672424,1.9180127,8.299746979501318e-78,3.484596895925007e-75,0.9407665505226481,0.551894444644724,1.391259,0.58730066
