names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Cmss1,6.262793,1.703084,3.7814268829003816e-10,2.009450245573263e-06,0.9636363636363636,0.8842879,1.7276775
Hexb,5.1572247,1.7832232,2.5063703520564686e-07,0.00022447575453708312,0.7818181818181819,0.3459498,0.8848679
Camk1d,5.0274043,0.7113105,4.971638941053227e-07,0.0003728413280375035,0.9454545454545454,2.015424,2.4552019
Pex5l,5.0232162,1.0580622,5.081324322248352e-07,0.0003728413280375035,0.9454545454545454,1.8396667,2.4868822
Ank3,4.797077,0.5072716,1.6099739437108759e-06,0.0008148001463694852,0.9636363636363636,2.378674,2.702431
Naaladl2,4.776139,1.1299129,1.7869323751202556e-06,0.0008632507855808216,0.9272727272727272,1.1970435,1.8010532
Ryr2,4.700759,0.7023845,2.5919631941438377e-06,0.0011977123837982916,0.9454545454545454,2.0282364,2.463049
Erbb4,4.644224,1.5379385,3.4135667555583243e-06,0.0014384364376736185,0.8363636363636363,0.47250393,1.0130205
Hivep3,4.506028,0.79942095,6.605231553297653e-06,0.002064717674954337,0.8363636363636363,1.1699947,1.5825044
Lars2,4.4955587,1.376109,6.938748100998469e-06,0.002107000423354621,0.9090909090909091,0.69684494,1.2850655
Pde1c,4.3468933,2.599691,1.3807930468116942e-05,0.0037394263863665487,0.6181818181818182,0.101954274,0.501142
Anks1b,4.039093,0.4109947,5.365826223596956e-05,0.01056074094525712,0.9272727272727272,2.5970852,2.8633263
Rbfox2,3.84855,0.5094474,0.00011881899825414275,0.01954631617611289,0.8363636363636363,1.2716614,1.5376872
Dscam,3.8464563,0.557064,0.00011983853119015539,0.01954631617611289,0.8909090909090909,1.6080424,1.9278668
Plp1,3.8359869,1.0154793,0.00012506111215427893,0.01954631617611289,0.9090909090909091,0.7784935,1.2184067
Adarb2,3.8087664,1.5307112,0.00013966182588821103,0.020905998387886014,0.7454545454545455,0.3397255,0.7742173
Dpp6,3.800391,0.6104725,0.00014446802626480663,0.021102199705073033,0.8909090909090909,1.5473574,1.8942461
Kcnd3,3.7962031,0.9127208,0.0001469291285449195,0.021102199705073033,0.7818181818181819,0.69407165,1.0598973
Grin2a,3.78364,0.4498603,0.000154551422113892,0.021612796239821635,0.9272727272727272,2.2260814,2.5085564
Zbtb20,3.762701,1.3676202,0.0001680880834317768,0.02320052143783018,0.8909090909090909,0.92703027,1.5974308
Myt1l,3.725011,0.50339955,0.00019530653203864924,0.025626145956873632,0.8545454545454545,1.6532608,1.9441535
Cacna1c,3.6203172,0.3336258,0.0002942420035029269,0.03513712374414727,0.8545454545454545,1.7791104,1.9748925
Unc79,3.5951908,0.5933149,0.0003241540318413113,0.03626430579378376,0.8909090909090909,1.3328736,1.6510028
Slc8a1,3.5951908,0.63290673,0.0003241540318413113,0.03626430579378376,0.8909090909090909,1.8633541,2.2453773
Fam168a,3.5323744,0.6610638,0.00041184592173300946,0.04421311571897399,0.8363636363636363,0.95835614,1.2646093
Gm11867,3.4821212,2.3129094,0.0004974584296628948,0.051235401089768984,0.5272727272727272,0.09347858,0.39668146
Dlgap1,3.4653702,0.36945227,0.0005295020681066715,0.05210692573923801,0.9636363636363636,2.8320017,3.0746913
Nrxn2,3.452807,0.9488895,0.000554785950751362,0.054094175087940136,0.8909090909090909,0.6411638,1.0060647
Phactr1,3.436056,0.25944343,0.0005902492060287623,0.05702880510612442,0.8909090909090909,2.6820586,2.8505654
2210408F21Rik,3.415117,0.8799705,0.0006375459838480959,0.061043592039077145,0.8181818181818182,0.7300325,1.0914654
Cyfip1,3.3732395,1.1568217,0.0007428930253040364,0.06806437131837327,0.7454545454545455,0.34713778,0.6550992
Frmd4a,3.3502069,0.5469345,0.0008075123818526058,0.0720612427387904,0.9090909090909091,1.9311134,2.2633927
Sobp,3.348113,0.6208732,0.0008136384200841972,0.0720612427387904,0.8545454545454545,1.0286989,1.3255055
Dscaml1,3.3397374,1.3315986,0.000838576317829223,0.07365610831313207,0.6727272727272727,0.3301692,0.6854107
Klhl29,3.3334558,0.7601045,0.0008577429878102475,0.07472206946268287,0.8363636363636363,0.9535608,1.308657
Tnr,3.3271742,0.6493323,0.0008773152295608341,0.0751553306756204,0.8181818181818182,1.0894965,1.4095677
Sox2ot,3.3250804,1.4111034,0.0008839307804339999,0.0751553306756204,0.509090909090909,0.18698072,0.43617824
Dock4,3.2811089,0.69591916,0.0010339984333315427,0.08200889249634975,0.9272727272727272,1.4778955,1.8689258
Shisa9,3.2790148,0.6825436,0.0010417012125524291,0.08200889249634975,0.8363636363636363,1.153333,1.4997903
Tmem132b,3.2057292,0.51026624,0.0013472072448421813,0.09609475569250135,0.8545454545454545,0.97564656,1.2102193
Grin2b,3.2057292,0.16987596,0.0013472072448421813,0.09609475569250135,0.9090909090909091,2.5790272,2.6883156
St8sia1,3.2015414,1.2045926,0.0013669442796756053,0.09685255869594889,0.6545454545454545,0.1564831,0.32959086
