names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT EP-CLA Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Sulf1,14.935198,4.3059416,1.9449537914003928e-50,5.226090837492856e-46,0.84,0.15748399625980003,1.3012885,0.12680116
Col23a1,14.448943,3.3875175,2.5456328822974266e-47,3.1637082746135044e-43,0.872,0.232072214629936,1.1493038,0.18732344
Satb2,14.426363,2.8015974,3.5322384904505074e-47,3.1637082746135044e-43,0.944,0.41829101632741134,1.6848947,0.48853192
Tenm3,14.228684,2.8658152,6.081523800401173e-46,4.085263612919488e-42,0.96,0.7348054376753219,3.2579367,1.4881797
6530403H02Rik,14.208661,2.894254,8.095839865181058e-46,4.350704343548301e-42,0.928,0.46018844853628715,2.0344656,0.63880515
Grid2,14.146992,2.3465977,1.949198787259122e-45,8.729161902275434e-42,0.944,0.8122707329353377,3.2486496,1.7693733
Gm26871,14.030088,1.8394214,1.020240260726104e-44,3.9162651151014874e-41,0.936,0.7992159965475077,3.0700521,1.9081236
Olfm3,13.808124,2.834548,2.2768550527537354e-43,7.64738690843661e-40,0.928,0.39718046464791773,1.6417083,0.45979378
Il1rapl2,13.527318,3.1205034,1.0788853917157762e-41,3.221072275044767e-38,0.912,0.5016902826728045,2.4484117,0.795419
Nrg1,13.49715,2.4141302,1.6254311346311408e-41,4.367533458753875e-38,0.968,0.8481982305977127,3.8459537,2.2610924
Atp2b4,13.383094,2.2724013,7.592055498931772e-41,1.8545321023299702e-37,0.936,0.4447960871754298,1.2887857,0.43439907
Sdk1,12.984862,2.7413998,1.49105398408938e-38,3.3387183793734697e-35,0.896,0.462490110048191,1.836357,0.58144355
Ldb2,12.797679,2.2515266,1.6892418066597714e-37,3.2421376674962897e-34,0.944,0.5546644609077177,1.9816973,0.8387939
Cdh13,12.781475,2.4134374,2.0808466138340445e-37,3.7274899009147186e-34,0.944,0.5422211033589873,2.0318415,0.80832756
Kcnq5,12.7183485,2.179288,4.676370860164669e-37,7.85338031328904e-34,0.936,0.7815939005969934,3.1886892,1.8139644
Grik3,12.653955,2.4427648,1.0638146877555212e-36,1.6211973878061284e-33,0.88,0.35967057469610875,1.1999068,0.35535336
Galnt14,12.652332,2.6431046,1.0860272787685268e-36,1.6211973878061284e-33,0.848,0.3997698338488096,1.3594028,0.38066682
Gria4,12.602625,1.9259189,2.0423324350768737e-36,2.8882880279218733e-33,0.952,0.7915198158670791,2.8751578,1.6868347
Pde1a,12.368741,1.8481443,3.858194747675493e-35,5.183484643502024e-32,0.96,0.7623174854347983,2.7530968,1.6254005
Dpp10,12.3542385,2.315921,4.6211199973213375e-35,5.912833063239255e-32,0.96,0.8855283032439042,4.0606694,2.5217328
Wdr17,12.204783,1.9235485,2.930889056453044e-34,3.579681315767877e-31,0.92,0.6236064158814645,1.6643304,0.7555563
Macrod2,12.106108,1.1438984,9.803688762350006e-34,1.1453265958449768e-30,0.96,0.8876861109113141,3.2897925,2.5409882
Pcdh15,12.091221,2.2587938,1.1752676857760001e-33,1.3158101132000467e-30,0.944,0.7420340933611451,3.0056298,1.6117386
Caln1,12.001262,1.7269868,3.499189884030404e-33,3.760929287355878e-30,0.96,0.7019707976695677,2.1476958,1.1894499
Marchf1,11.960644,1.5067521,5.711747667179132e-33,5.902871531427049e-30,0.952,0.8364741422714522,3.0024993,2.0456135
Brinp3,11.686704,2.2224739,1.490610776585006e-31,1.4834337617347818e-28,0.96,0.6296842408113357,2.3234653,1.0897955
Chst9,11.675425,2.6259997,1.702142261567694e-31,1.6334486631544262e-28,0.816,0.3319427461698914,1.3049488,0.36141282
Tmem132d,11.576955,2.1174293,5.392785859519441e-31,4.996695036044392e-28,0.912,0.475472919513774,1.5194669,0.6003099
Dpy19l1,11.383874,2.034403,5.031421743635604e-30,4.5064767417162896e-27,0.872,0.4230381931957132,1.0818238,0.38935328
Ipcef1,11.344856,2.2720687,7.865569800975383e-30,6.817672921038986e-27,0.792,0.2696899949651154,0.7378055,0.20371047
Ptprk,11.290946,1.8518931,1.4546233619575862e-29,1.2214290542437607e-26,0.928,0.6780550960224412,2.1627774,1.14161
