names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-CR Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Reln,12.677903,5.984406,7.840167822399873e-37,2.1066530938788462e-32,0.8333333333333334,0.2893351949307271,3.3810344,0.3705917
Robo2,11.668932,2.4953918,1.8371414060631005e-31,2.4681994790457755e-27,0.8777777777777778,0.7850213009701786,3.2344022,1.6725192
Dach1,11.396896,5.502403,4.332920453228046e-30,3.880852419274587e-26,0.7555555555555555,0.2174488955715462,2.4230063,0.20438801
Ndnf,10.938935,6.84359,7.50767199332691e-28,3.362185774344901e-24,0.6888888888888889,0.05917731715175599,2.056114,0.057649586
Msi2,10.843727,2.9242709,2.1358741703046438e-27,7.710881216585455e-24,0.8333333333333334,0.6511652883685963,2.3495152,0.81045395
Kcnh7,10.780639,2.3239763,4.249250782058551e-27,1.2686374279323695e-23,0.8555555555555555,0.79590448573372,3.3300169,1.853184
Fat3,10.504779,2.4318323,8.211526149015865e-26,1.8386975635338023e-22,0.8444444444444444,0.7369777682311245,2.7720141,1.3292546
Utrn,10.434721,3.9120898,1.7211945090166396e-25,3.453358239334765e-22,0.7555555555555555,0.3738588765975728,2.1746366,0.41743484
Maml3,10.414628,3.2021625,2.1262619700522692e-25,3.808843942353632e-22,0.8,0.5019868972183439,2.244234,0.65040284
Thsd7b,10.343898,3.3083055,4.460166922581835e-25,7.49029282561087e-22,0.7888888888888889,0.5539684244442058,2.6422849,0.84023035
Cntnap2,10.2993555,2.1752255,7.0935290049319265e-25,1.0589062464584493e-21,0.9222222222222223,0.9141517201875917,4.23713,2.7789378
Clstn2,10.123414,2.2278945,4.349739822975044e-24,4.8698962101391426e-21,0.8555555555555555,0.7502953495865106,2.9680183,1.5972105
Hs3st5,9.805888,4.069221,1.062084189624772e-22,1.0976231605852931e-19,0.7,0.26710342605520354,1.7335824,0.24502939
Cdh4,9.499143,3.8749218,2.1162503017269795e-21,1.791410021130987e-18,0.6888888888888889,0.3180825546844234,1.7288573,0.27449763
Cacna2d2,9.417919,4.830547,4.601137102737644e-21,3.4342376097377915e-18,0.6333333333333333,0.14703039415744817,1.4069183,0.10288486
Nav2,9.371523,1.4760634,7.149326017591506e-21,5.191956488991453e-18,0.8444444444444444,0.8186374539075645,2.5456545,1.6533192
Tmem163,9.188221,4.123646,3.993912662474591e-20,2.4957310055974945e-17,0.6555555555555556,0.23438227186481939,1.6462231,0.21528414
Dscaml1,9.102241,1.5580122,8.848700419319708e-20,5.058820856747246e-17,0.8333333333333334,0.736261769233523,2.100664,1.2341939
Car10,9.012123,2.1957462,2.0210499364030327e-19,1.108277791656112e-16,0.8111111111111111,0.6371317080156088,2.4506848,1.1978406
Pdzd2,9.006726,3.2544053,2.1229838403736927e-19,1.1408915158168224e-16,0.7111111111111111,0.4619267533025454,1.8922784,0.464015
