names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC-Oligo (for_DEGs),mean_expr_Rest (for_DEGs)
Qki,74.30212,3.5090845,0.0,0.0,0.9762264150943396,0.8129507744452765,3.565057,1.3903683
Pde4b,71.33926,3.775567,0.0,0.0,0.9607547169811321,0.7418515745083356,3.7946613,1.4287941
Sox2ot,69.23191,4.0261917,0.0,0.0,0.9286792452830188,0.4176092696961337,2.675963,0.60441595
Pcdh9,66.38161,2.0115774,0.0,0.0,0.990188679245283,0.9693374847278603,5.0830398,3.7073562
Dnm3,62.433693,2.5322235,0.0,0.0,0.9083018867924528,0.7077602175540929,2.3802524,0.99157023
Erbb4,61.220978,3.2704759,0.0,0.0,0.9667924528301887,0.6935719071453907,3.3884752,1.3777506
Dock10,59.376736,3.3442924,0.0,0.0,0.8826415094339622,0.560950616797383,2.710346,0.86788046
Enpp2,57.773026,3.7981975,0.0,0.0,0.8015094339622642,0.3790249477791353,1.9626434,0.36449745
Ugt8a,57.21513,4.5920396,0.0,0.0,0.7490566037735849,0.20415402199188112,1.7339151,0.17674923
Phlpp1,56.94776,2.5577102,0.0,0.0,0.8713207547169811,0.7337327079966894,2.4018023,0.99538064
Septin7,56.761005,2.471112,0.0,0.0,0.8758490566037735,0.7529657509951523,2.3153672,0.97318953
Plp1,55.900562,3.6816533,0.0,0.0,0.8633962264150944,0.7031884286446223,3.1515825,1.009256
Bcas1,55.16656,4.814664,0.0,0.0,0.7083018867924529,0.1382572025381311,1.4888151,0.11506502
Gjc3,53.76428,4.832128,0.0,0.0,0.6879245283018868,0.1337642375753754,1.4042809,0.102436975
Tmeff2,52.456192,2.523727,0.0,0.0,0.939622641509434,0.8390809127813029,3.5200758,1.902327
Edil3,52.346428,2.267907,0.0,0.0,0.889811320754717,0.7437827612028535,2.6695905,1.3321878
Phldb1,51.4483,4.2130947,0.0,0.0,0.6883018867924529,0.2163323217593505,1.3365667,0.14088374
St18,51.177742,4.211628,0.0,0.0,0.7271698113207548,0.36735900366531354,2.440487,0.44824228
Plcl1,51.17178,2.6012645,0.0,0.0,0.8460377358490566,0.6679935364363694,2.5359025,1.0702785
Mbp,50.918255,3.7759926,0.0,0.0,0.769811320754717,0.5468017183620384,2.5068564,0.60016775
Sorcs1,50.346012,2.712629,0.0,0.0,0.7913207547169812,0.4301028652504631,1.7514918,0.54617316
Gab1,49.13379,3.944633,0.0,0.0,0.6716981132075471,0.2008040042564931,1.3697003,0.17442423
Tcf12,49.06397,1.5125029,0.0,0.0,0.8781132075471698,0.8039254325464076,2.1267054,1.2779337
Gm4258,48.960896,1.863167,0.0,0.0,0.8456603773584905,0.7095337563551807,1.9751011,0.9955543
Erbin,48.48002,3.167423,0.0,0.0,0.7328301886792453,0.4157569069483309,1.7019603,0.40490767
Zfp536,48.29632,2.8276343,0.0,0.0,0.7652830188679245,0.44622236235368307,1.855428,0.5652432
Sh3d19,47.115925,2.480338,0.0,0.0,0.7381132075471698,0.5207109919993694,1.4569178,0.46377188
Frmd5,46.844753,2.1164706,0.0,0.0,0.8460377358490566,0.727623852126276,2.4680817,1.2500566
Magi2,45.968704,1.186639,0.0,0.0,0.9683018867924529,0.918062507389745,3.676918,2.886174
Prr5l,45.891212,4.877943,0.0,0.0,0.6018867924528302,0.1330942340282978,1.6574628,0.1348814
Gm16168,45.770042,4.543419,0.0,0.0,0.6124528301886792,0.15985496393804438,1.3666921,0.11806921
Zeb2,45.752373,1.456238,0.0,0.0,0.9479245283018868,0.8492492019075395,2.8968825,1.9793901
Fa2h,45.713497,4.6244664,0.0,0.0,0.5962264150943396,0.118078272179088,1.1415117,0.08288204
Wipf1,45.329044,3.733901,0.0,0.0,0.6290566037735849,0.18298979229890042,1.1346003,0.14719628
Ncam1,45.29285,1.1779143,0.0,0.0,0.9222641509433962,0.8474756631064517,2.387159,1.6804527
Ankrd28,45.27506,1.7748677,0.0,0.0,0.7811320754716982,0.6889607062625626,1.6523618,0.803334
Ano4,45.061394,2.2647307,0.0,0.0,0.7833962264150943,0.6260986087573405,2.0182688,0.8577454
Dock1,44.866962,3.2443476,0.0,0.0,0.6633962264150943,0.24573365388404997,1.238571,0.2300061
Creb5,44.771862,4.126938,0.0,0.0,0.6045283018867924,0.15583494265557876,1.173104,0.1202256
Cdh20,44.162395,2.454135,0.0,0.0,0.749811320754717,0.45024238363614866,1.6656821,0.57815135
Wnk1,43.392544,1.6233282,0.0,0.0,0.810188679245283,0.7554092933433177,1.7904196,0.96329385
Naaladl2,43.043144,1.3691134,0.0,0.0,0.9075471698113208,0.8577621881527608,2.3936894,1.5796819
Hipk2,42.80015,2.2887573,0.0,0.0,0.7215094339622642,0.5508611516178615,1.4574468,0.5154093
Sik3,42.594467,1.5970294,0.0,0.0,0.7973584905660377,0.7463051274977338,1.7721993,0.9610213
Rnf220,42.59402,3.7623398,0.0,0.0,0.6520754716981132,0.3709454932408466,1.8237537,0.32413808
Mag,42.457767,3.8786585,0.0,0.0,0.5966037735849057,0.17944271469672488,1.2935578,0.16540216
Grid2,42.2981,1.5698016,0.0,0.0,0.9033962264150943,0.8020336578252473,2.6403756,1.6836842
Mog,42.03563,4.4117703,0.0,0.0,0.5637735849056604,0.1317936389075001,1.2261803,0.10718473
Lrp1b,41.95785,1.0787315,0.0,0.0,0.9750943396226415,0.9348914200134001,3.7333148,3.011847
Mobp,41.91291,3.9749668,0.0,0.0,0.589811320754717,0.1830292042722579,1.3926685,0.1759753
