names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-IMN GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90aa1,9.198225,1.3246298,3.639108730537874e-20,2.8508119996954132e-18,0.769811320754717,0.7955184091072844,1.807411,1.1098967
Meis2,9.013952,2.3520412,1.987615204258049e-19,1.4017643185935376e-17,0.5584905660377358,0.4881475610634772,1.7534796,0.6602147
Synpr,8.45572,1.5066175,2.773706841221e-17,1.4332596696847745e-15,0.6339622641509434,0.5444916780747893,1.5982141,0.8705007
Gad2,7.43951,2.3518267,1.0105943765822341e-13,2.8857248564043178e-12,0.42641509433962266,0.22170185171842352,0.837946,0.22868226
Hsp90ab1,7.2943583,1.1015161,3.00085575127958e-13,7.790627443177035e-12,0.7622641509433963,0.8094243101087975,1.7443974,1.1633989
Sox2ot,6.747987,1.79086,1.4991075847074582e-11,2.72353081819401e-10,0.5433962264150943,0.4651992218459543,1.6450278,0.79224586
Dlx6os1,6.619609,1.9460653,3.601502515733656e-11,6.1560033459137e-10,0.4490566037735849,0.2766049427192161,1.0564771,0.3967083
Cst3,5.7965035,1.2661765,6.771178928148642e-09,7.505840668290182e-08,0.6188679245283019,0.5858491245766986,1.3748206,0.8012445
Hspa8,5.580392,1.2226964,2.3997757811540102e-08,2.3776539542628412e-07,0.6377358490566037,0.6714460696015563,1.4078164,0.84274155
Atp1b1,5.4869695,0.5181115,4.088875204586598e-08,3.8809464611999185e-07,0.7622641509433963,0.8606527847827653,1.7848158,1.4956951
Pcbp3,5.372627,2.1226373,7.759782784975723e-08,7.00622860995624e-07,0.46037735849056605,0.4793933280495713,1.1020933,0.3795695
Calm2,4.95097,0.63317376,7.384434389711998e-07,5.603494833424496e-06,0.7584905660377359,0.8576626558109374,1.7512273,1.403674
Ptprm,4.9401855,1.5780936,7.804817572233732e-07,5.892538582914312e-06,0.44528301886792454,0.37956625117083365,1.1242294,0.5282268
Nxph1,4.9365273,1.812623,7.95259012306613e-07,5.99568172297382e-06,0.47924528301886793,0.42153613372721377,1.554572,0.72401524
