names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR D2 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Penk,8.633995,6.2533135,5.924577962500816e-18,7.959670492619847e-14,0.8205128205128205,0.05438835508389502,1.4001684,0.039277576
Rarb,7.747462,5.200292,9.37475291839994e-15,6.29749027293516e-11,0.7692307692307693,0.19690233758783882,1.874758,0.13986537
Meis2,7.4515896,3.192247,9.222207707537105e-14,4.1300120183587003e-10,0.8205128205128205,0.4894593431808404,2.2733037,0.66940594
Sv2c,7.3132725,4.272138,2.6071364414282414e-13,7.005375618117685e-10,0.7435897435897436,0.14133084755485445,1.1400049,0.10442589
Adora2a,7.165774,8.040094,7.734847330064736e-13,1.889412252353086e-09,0.6666666666666666,0.005664706725942922,0.61952895,0.003254597
Htr1f,7.1252723,3.7097254,1.0387526067940866e-12,2.3259402120464256e-09,0.7948717948717948,0.355442420765811,1.9798803,0.3900556
Arhgap6,6.8608594,3.324395,6.844751128350601e-12,1.313703305848433e-08,0.7692307692307693,0.25455327692528323,1.294914,0.23476768
Necab1,6.79026,2.6603558,1.1193171455065314e-11,1.879753231235031e-08,0.8205128205128205,0.4081098522873942,1.5121698,0.44431034
Tenm1,6.6310854,1.838623,3.332268506186478e-11,5.266944397719451e-08,0.8717948717948718,0.7526530904918973,2.5741801,1.4790447
Dgkb,6.6132793,1.6935223,3.75898381951152e-11,5.6113275127930304e-08,0.8205128205128205,0.7795066685788039,2.6598678,1.6312417
Gucy1a1,6.5753813,3.8679905,4.8528713448244366e-11,6.647310397226737e-08,0.6923076923076923,0.19944787035709163,1.1308722,0.13428071
Unc5d,6.5724993,2.630503,4.947756157221241e-11,6.647310397226737e-08,0.8205128205128205,0.6381758210239495,2.7270648,1.1961417
Adcy5,6.540881,2.9297972,6.115738350006971e-11,7.825232831651777e-08,0.7435897435897436,0.33124193317080164,1.060409,0.22130874
Adk,6.400318,2.3258915,1.5505346976628086e-10,1.6665146930479867e-07,0.7948717948717948,0.6419761938907214,1.8877054,0.75036
Sgcz,6.359658,2.6251533,2.022038859584969e-10,2.0793671723822894e-07,0.7948717948717948,0.7478846981213251,3.3528864,1.699499
Calcrl,6.35462,3.9230852,2.0894273782777006e-10,2.0793671723822894e-07,0.6666666666666666,0.1243725799512405,0.97191554,0.10283707
Cacna2d2,6.26215,3.5060277,3.797057040975855e-10,3.400897423034041e-07,0.6666666666666666,0.14814283665567188,0.82075244,0.10614199
Gad2,6.2183,2.6755042,5.025709528847481e-10,4.2200254700041194e-07,0.7435897435897436,0.2228237487451599,0.9824751,0.23235576
Plppr1,6.1632214,2.1330287,7.127983889741576e-10,5.803906882344126e-07,0.8205128205128205,0.459630001434103,1.2664679,0.45803085
Pde7b,6.1447988,2.757762,8.006497433517372e-10,6.327487824665052e-07,0.7435897435897436,0.42180553563745876,1.6444992,0.48106185
Otof,6.1302414,4.3055353,8.774571206531501e-10,6.736363666271469e-07,0.6153846153846154,0.08152875376452029,0.6623016,0.04640566
Dchs2,6.087246,3.1573067,1.1486941804127502e-09,8.573725729914054e-07,0.6666666666666666,0.16814857306754624,0.7350109,0.11481969
Gpr88,6.070344,5.0975537,1.276366767425217e-09,9.269182443436643e-07,0.5897435897435898,0.042055069553993976,0.59864056,0.023657076
Phactr1,6.027855,1.1260476,1.6615004064778295e-09,1.1200986939334984e-06,0.8205128205128205,0.8900401548831206,3.1228828,2.3931308
Foxp1,6.0272784,1.4058071,1.6674338577350183e-09,1.1200986939334984e-06,0.7948717948717948,0.795604474401262,2.2451382,1.4317305
Rgs9,6.023006,3.7026048,1.7120718648982744e-09,1.1220334392638204e-06,0.6410256410256411,0.16621253405994552,0.83103883,0.09487367
Lrrk2,5.9970317,2.8161986,2.009568937189375e-09,1.2856456510066311e-06,0.7435897435897436,0.3839093646923849,1.2061852,0.28693992
Utrn,5.916923,2.4084089,3.2802045620545148e-09,2.0497464321489494e-06,0.7692307692307693,0.3753764520292557,1.3324708,0.42239386
Pcdh11x,5.895291,2.4055996,3.7402189441338016e-09,2.2840837052017103e-06,0.7948717948717948,0.4400903484870214,1.5887184,0.55133694
Fras1,5.8891897,2.3392098,3.880934761816826e-09,2.3173492677781805e-06,0.7692307692307693,0.4019790620966585,1.3651327,0.45508352
Osbpl8,5.823181,1.8061827,5.773795203535491e-09,3.372649502586927e-06,0.7948717948717948,0.660440269611358,1.6234968,0.7719729
Neto1,5.802473,1.7319268,6.534384889493898e-09,3.7039268904181973e-06,0.7948717948717948,0.6918112720493331,2.0507128,1.1115767
Fgf14,5.8003764,0.71104264,6.616616700412113e-09,3.7039268904181973e-06,0.8974358974358975,0.9246378890004302,3.5495954,3.0748775
Rcan2,5.6798954,2.1355338,1.3477715912233853e-08,7.242924531234472e-06,0.7692307692307693,0.3668793919403413,1.0155423,0.33700317
Zfhx3,5.673268,2.434613,1.4009906499435687e-08,7.381297796859547e-06,0.717948717948718,0.2563817582102395,1.0860628,0.30970725
Gnal,5.4952736,2.4558814,3.9010537725750123e-08,1.8765116671256536e-05,0.6923076923076923,0.40624551842822315,1.1378624,0.32672593
Brinp3,5.4917064,1.9861422,3.98069092021445e-08,1.8765116671256536e-05,0.8461538461538461,0.6308618958841244,2.1822765,1.093797
Il1rapl1,5.466924,0.7492932,4.579112657829578e-08,2.0854365612861147e-05,0.8717948717948718,0.925103972465223,3.3541913,2.8583336
Galnt13,5.421087,1.6250874,5.92377575811383e-08,2.5672879777503006e-05,0.7692307692307693,0.6973684210526315,1.9043286,1.0482701
Gng7,5.416993,2.5658057,6.060970918819705e-08,2.5850521998204046e-05,0.6666666666666666,0.29395525598737987,0.8260408,0.19630998
Prkcb,5.3984513,1.1713588,6.721859758969372e-08,2.8221308081797974e-05,0.8717948717948718,0.7980783020220852,2.184027,1.503997
Cpne5,5.3603644,2.6169295,8.305426277873143e-08,3.4333354474838674e-05,0.6153846153846154,0.17130359959845118,0.49500498,0.09931276
Usp29,5.3500204,1.7638882,8.794432908446254e-08,3.580400185605316e-05,0.7692307692307693,0.5591926000286821,1.3851343,0.632333
Kctd8,5.3220787,2.636114,1.0258818105702062e-07,4.114245410450961e-05,0.6666666666666666,0.2701491467087337,1.1525178,0.29895595
Pde1c,5.3067365,2.2847025,1.116052808485992e-07,4.346136081741827e-05,0.717948717948718,0.33450451742435106,1.1050258,0.3467171
Six3,5.235372,7.8357778,1.6465292375062238e-07,6.231301494618624e-05,0.48717948717948717,0.003728667718342177,0.40804228,0.0022031108
Mgat4c,5.224233,1.7960589,1.74878413166966e-07,6.52636522471719e-05,0.8205128205128205,0.7355155600172092,2.5992794,1.5230632
Cntnap2,5.220159,1.2066026,1.7876953540267318e-07,6.580188241465518e-05,0.8974358974358975,0.9143482002007745,3.5833662,2.7827034
Sh3rf2,5.2059994,7.369412,1.9295526241167145e-07,6.912943868002149e-05,0.48717948717948717,0.008712175534203356,0.5419744,0.004341224
Drd2,5.130243,6.1091905,2.893686535495835e-07,9.968379129329882e-05,0.48717948717948717,0.020256704431378173,0.5305678,0.010087711
Mei4,5.098853,2.5026426,3.417175570519785e-07,0.00011335741676526743,0.6410256410256411,0.26061236196758925,0.8133182,0.20009235
Ephb1,5.076327,1.8888332,3.8480108596651364e-07,0.00012164241388141438,0.7692307692307693,0.42535494048472683,1.1567087,0.46279535
Ptpn5,5.0584807,1.7965196,4.2260989374300516e-07,0.00013052330856177643,0.7435897435897436,0.44331708016635596,0.88995945,0.3457867
Vat1l,5.023673,2.8163702,5.069255376718456e-07,0.0001530459460364325,0.5897435897435898,0.18471246235479707,0.6419549,0.12026697
Htr2c,5.012971,2.3100383,5.359593250119957e-07,0.0001582552424513442,0.6923076923076923,0.34515273196615515,1.2592449,0.41126615
Lhfpl3,4.997808,1.8127689,5.79857006063424e-07,0.0001693560625317848,0.7692307692307693,0.47511831349490896,1.4462746,0.6545697
Gm56999,4.92851,2.3314703,8.285904181651548e-07,0.0002295280880010073,0.6410256410256411,0.2859601319374731,0.7503681,0.20055613
Nrg1,4.912164,1.4905165,9.007646189340846e-07,0.0002444802556642308,0.7948717948717948,0.8488096945360677,3.2308939,2.2668386
Itgav,4.8800197,1.7384742,1.0607532358338615e-06,0.0002822023707609491,0.6923076923076923,0.2981500071705148,0.6619143,0.24784091
Cdh6,4.867281,2.412398,1.1314419146441417e-06,0.00029805729653419695,0.6410256410256411,0.2835580094650796,0.9153098,0.24787882
