names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_BAM NN (for_DEGs),mean_expr_Rest (for_DEGs)
Mrc1,8.31275,10.690971,9.350915432067188e-17,2.1381346436990516e-12,0.9259259259259259,0.014406536697247707,3.1765356,0.013795516
Slc9a9,8.2494335,4.449314,1.591466054111687e-16,2.1381346436990516e-12,0.9629629629629629,0.6867832568807339,3.5517194,0.9363043
Dab2,7.9291863,8.49352,2.2058612115436762e-15,1.9757163584726193e-11,0.8888888888888888,0.05612098623853211,2.9402614,0.04852581
Rbpj,7.537981,5.470705,4.773025629902948e-14,3.2062799668873055e-10,0.8888888888888888,0.41137471330275227,2.8635733,0.31672373
Fyb,7.384186,6.203396,1.5338939404836698e-13,8.243146036159241e-10,0.8518518518518519,0.08371559633027523,2.1884058,0.10209675
Nrp1,7.3251076,2.9878654,2.387067845078131e-13,1.0690085499541562e-09,0.9259259259259259,0.6227422591743119,2.5415761,0.9061673
Ssh2,7.1605067,2.0972154,8.037942067607108e-13,3.0854214765228994e-09,0.9259259259259259,0.814040997706422,2.6129992,1.3747437
Arhgap15,7.078433,4.4895434,1.4579361868534495e-12,4.352749482305798e-09,0.8518518518518519,0.3788704128440367,2.2817535,0.33035576
Hdac9,6.9802046,2.3269835,2.9475005533790874e-12,7.49930456397189e-09,0.9629629629629629,0.800422878440367,3.0398092,1.6026822
Sbf2,6.9705215,2.1117167,3.1576783799716857e-12,7.49930456397189e-09,0.9259259259259259,0.7854787844036697,2.442064,1.2321625
F13a1,6.9622355,10.600051,3.349149786664037e-12,7.49930456397189e-09,0.7777777777777778,0.01637758027522936,2.9402475,0.011479491
Mctp1,6.8224573,2.817475,8.94963617830085e-12,1.7803345656443948e-08,0.8888888888888888,0.743011754587156,3.2030087,1.4698935
Pid1,6.8173113,3.1054766,9.276026765545787e-12,1.7803345656443948e-08,0.8888888888888888,0.5874068233944955,2.367034,0.75284535
Pip4k2a,6.7695403,3.2388244,1.2919229938033206e-11,2.3142647228996817e-08,0.8888888888888888,0.5520713876146789,2.1063826,0.56795204
Aoah,6.600975,8.519103,4.084621298127405e-11,6.097431904482409e-08,0.7407407407407407,0.023795871559633027,1.8145362,0.013908619
Ctsc,6.50769,7.115769,7.631519603395082e-11,1.0792575354906624e-07,0.7407407407407407,0.05673021788990826,1.9892515,0.04449142
Clcn5,6.3717084,4.739566,1.8693403043675476e-10,2.00916695913424e-07,0.7777777777777778,0.26766771788990823,1.9131604,0.19569206
Ophn1,6.326218,2.834124,2.5124272348715117e-10,2.3495956853951324e-07,0.8518518518518519,0.6046803325688074,1.9947228,0.63683635
Myo5a,6.324785,2.2049034,2.5358494557669835e-10,2.3495956853951324e-07,0.8518518518518519,0.7577766628440367,2.3237932,1.0981376
Mef2c,6.2713075,2.284908,3.5802935810454044e-10,3.0063277663340634e-07,0.9259259259259259,0.7806407683486238,2.9001176,1.5095145
Abca1,6.2419834,4.4194508,4.320572093319203e-10,3.3862959917839486e-07,0.7777777777777778,0.25942517201834864,1.8932741,0.23397899
Stab1,6.206809,7.363485,5.407131212323215e-10,3.926746369597967e-07,0.7037037037037037,0.03336439220183486,1.8698807,0.032779995
Snx29,6.0085497,2.9864655,1.871903499196612e-09,1.0884448405881448e-06,0.8148148148148148,0.6056479357798165,2.0408573,0.61250055
Apoe,5.982318,4.6965837,2.1998423456960503e-09,1.1821952765770574e-06,0.7777777777777778,0.3465452981651376,2.7234035,0.43751445
Mertk,5.9509883,4.0083976,2.6652836214264537e-09,1.3403282246097144e-06,0.7777777777777778,0.19570670871559634,1.8510109,0.28776526
Wwp1,5.949257,4.1146193,2.6936257584266686e-09,1.3403282246097144e-06,0.7777777777777778,0.47896358944954126,2.2489784,0.3983801
Cfh,5.8855467,5.252206,3.9674080488929315e-09,1.806851767351747e-06,0.7037037037037037,0.10052322247706422,1.820292,0.12728941
Eps15,5.7237153,3.2883916,1.0421927777022717e-08,3.500464992107505e-06,0.7777777777777778,0.5180260894495413,1.9667513,0.48808727
Mbnl1,5.6933646,2.790889,1.245599910073796e-08,3.937561127492106e-06,0.8148148148148148,0.7069237385321101,2.3856826,0.8861119
Inpp5d,5.680171,4.468711,1.345599774373315e-08,4.204216969466393e-06,0.7037037037037037,0.10432196100917432,1.47314,0.14139538
Ms4a7,5.655014,10.777213,1.5583338589248796e-08,4.758230771512672e-06,0.6296296296296297,0.0020427178899082568,1.3418175,0.0016090026
Itm2b,5.614849,2.3025098,1.9673402495355044e-08,5.623663032448831e-06,0.8518518518518519,0.7239463876146789,2.0898252,0.89031744
Maf,5.589358,4.5033336,2.279111377715508e-08,6.313373476207804e-06,0.7037037037037037,0.22828268348623854,2.043067,0.25931758
Runx1,5.585752,5.136889,2.3269132613850743e-08,6.380016258511933e-06,0.6666666666666666,0.07894925458715596,1.5337653,0.09833102
Vav3,5.5341363,3.3363733,3.127655526797508e-08,7.914353251312573e-06,0.7407407407407407,0.3976490825688073,1.7250482,0.3761621
Abca9,5.518603,4.9520054,3.417055768239432e-08,8.398688772209764e-06,0.6666666666666666,0.10833572247706422,1.5247529,0.10985117
Rreb1,5.5096836,3.5989473,3.594788348118248e-08,8.624282403030118e-06,0.7407407407407407,0.37406823394495414,1.8326713,0.35999805
Lrmda,5.5014453,4.275028,3.766902728922844e-08,8.725575545358346e-06,0.7037037037037037,0.208213876146789,1.829247,0.239095
