names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC (for_DEGs),mean_expr_Rest (for_DEGs)
Lhfpl3,45.437084,6.011099,0.0,0.0,0.9945130315500685,0.46089313844012164,3.919387,0.5684283
Tnr,43.792194,3.5348756,0.0,0.0,0.9958847736625515,0.729860424222442,3.4601638,1.297254
Ptprz1,43.553944,4.662638,0.0,0.0,0.9931412894375857,0.5551159468073414,3.406294,0.76595557
Xylt1,43.33851,3.7411544,0.0,0.0,0.9890260631001372,0.6310583580613254,2.9906929,0.8810157
Dscam,43.050823,3.0820935,0.0,0.0,0.9931412894375857,0.7488735025827014,3.3924499,1.480158
Sox6,42.98774,5.2100654,0.0,0.0,0.9821673525377229,0.29094772319302487,2.9705892,0.4053851
Pcdh15,42.31802,3.5131118,0.0,0.0,0.9958847736625515,0.7350624610763088,3.7804358,1.5585355
Zeb1,42.259937,3.480887,0.0,0.0,0.9835390946502057,0.6858262812763307,2.8952894,0.9284505
Lrrc4c,41.639786,2.4976046,0.0,0.0,1.0,0.9122247866065868,4.244767,2.5780733
Grid2,41.573463,2.8532953,0.0,0.0,1.0,0.8064988826610983,3.538264,1.726845
Nxph1,41.29646,4.916011,0.0,0.0,0.99039780521262,0.40685789647213977,3.377195,0.66114324
Gpc5,41.23576,4.416821,0.0,0.0,0.9945130315500685,0.6028501300509214,3.808349,1.1195586
Epn2,39.87649,3.3988974,0.0,0.0,0.9451303155006858,0.6373227827233762,2.4397614,0.6894575
Sox2ot,39.87499,4.174707,0.0,0.0,0.9780521262002744,0.45221086566289337,3.0355463,0.7405276
Luzp2,39.860867,3.6617436,0.0,0.0,0.9821673525377229,0.5468000146536249,2.9457803,0.8855318
Npas3,37.304012,3.4697773,1.4127766812036747e-304,2.3725818389964215e-301,0.9835390946502057,0.573103271421768,2.9695842,0.981456
Pdgfra,37.090908,6.3083405,3.937079316639006e-301,6.222901249299418e-298,0.8257887517146777,0.06737004066380921,1.752225,0.05841673
Brinp3,37.05514,3.2571738,1.484141815376378e-300,2.2154939210646262e-297,0.9698216735253772,0.6209473568524013,2.9247205,1.0451508
Pcdh11x,35.890446,3.5221703,4.305788219103854e-282,6.089291023543187e-279,0.9053497942386831,0.4272264351393926,2.1550982,0.5092304
Ptprt,35.751797,2.8952465,6.203451783123707e-280,8.3343374706267e-277,0.9794238683127572,0.609920504084698,2.7646558,1.0983483
Maml2,35.61489,3.1525443,8.24105899112167e-278,1.0544631194830443e-274,0.9519890260631001,0.5298750778473825,2.4531333,0.786103
Gm4876,35.4165,4.716371,9.514684747234716e-275,1.162088996173622e-271,0.8244170096021948,0.2136132175696963,1.7620002,0.16847958
Lsamp,35.37142,1.4680401,4.69768375977656e-274,5.488120114138965e-271,1.0,0.972011576363703,5.0513453,4.045029
Vcan,35.20433,4.9631886,1.716614342496887e-271,1.9218928076204732e-268,0.8175582990397805,0.17818807927611094,1.7910861,0.14855677
Nckap5,34.211666,2.989839,1.6217234305539798e-256,1.6759887914994397e-253,0.8984910836762688,0.5641279261457303,2.1409533,0.6653032
Cacng4,34.05463,5.3092113,3.466079001015027e-254,3.4493904724916214e-251,0.7777777777777778,0.12635088104919956,1.5196239,0.0862262
Slc35f1,33.990147,2.5045435,3.115105797538106e-253,2.8863066475809964e-250,0.9423868312757202,0.6462248598747115,2.383453,1.0059185
Csmd3,33.848934,1.526868,3.762416051441026e-251,3.369870643407346e-248,0.9986282578875172,0.8967285782320401,3.5384626,2.5333552
Sgcd,33.8363,2.5251167,5.772624323669367e-251,5.00356179280632e-248,0.9725651577503429,0.6972927427922482,2.8565383,1.3478932
Erbb4,33.48445,3.1896412,8.116814552792414e-246,6.815587719797881e-243,1.0,0.7118730996080155,3.5093021,1.51598
Kcnd2,33.0685,1.6380837,8.433660591058366e-240,6.867044244901161e-237,0.9986282578875172,0.9100267428655163,3.9281414,2.8334382
Sema6d,33.059177,2.3136172,1.1482013861472726e-239,9.074168013463887e-237,0.9506172839506173,0.6979521559145694,2.444711,1.1370627
Usp24,33.024643,2.6355927,3.5980179407976337e-239,2.7622497734066406e-236,0.8669410150891632,0.6360772246034363,1.8881745,0.64307576
Adgrl3,32.815895,1.5340044,3.493572640804676e-236,2.6075638016228234e-233,0.9972565157750343,0.8792907645528812,3.3649814,2.3651533
Fchsd2,32.719948,2.5062866,8.127749669465141e-235,5.902503611311576e-232,0.8998628257887518,0.6367000036634063,1.9891664,0.746931
Rev3l,32.70813,2.0513055,1.1968661978633663e-234,8.463103878049645e-232,0.9094650205761317,0.7371139685679745,2.091598,0.99785817
Arhgap31,32.456512,4.3833413,4.383578497008937e-231,3.020173184990516e-228,0.7791495198902606,0.18760303330036268,1.5739331,0.1683139
Pid1,32.084232,2.6179714,7.316528085735273e-226,4.795002674724556e-223,0.8737997256515775,0.5787449170238488,2.0104165,0.7194764
