names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Neuroblast (for_DEGs),mean_expr_Rest (for_DEGs)
Zbtb20,19.10286,3.4492235,2.3902826018543397e-81,6.4226893511826116e-77,1.0,0.8668770621144742,4.5924654,2.2974038
Nfib,17.773314,2.5961454,1.1376718333604447e-70,1.5284621081197575e-66,0.971830985915493,0.8158083488739062,3.329875,1.6964383
Ctnna2,16.671843,1.9059912,2.1001731454405283e-62,1.8810550805995665e-58,0.9929577464788732,0.8850595323483001,3.7225132,2.465683
Tcf4,16.42791,1.582368,1.2075023309556117e-60,8.111396908194322e-57,1.0,0.9326495481279586,3.8276227,2.773294
Auts2,15.888288,1.7129791,7.638546500284304e-57,4.1049548892527847e-53,1.0,0.9040668483718262,3.816667,2.6782289
Mir99ahg,15.789329,2.4000964,3.6848255783179033e-56,1.6501877214900344e-52,0.9929577464788732,0.8730813369674365,3.6626356,2.1031992
Nfia,15.646559,2.6432397,3.5067569576904775e-55,1.3460937064734733e-51,0.9295774647887324,0.7373045474107015,2.8861635,1.3107773
Nol4,15.114669,2.292364,1.2962143803938691e-51,4.353660050147908e-48,0.9295774647887324,0.7293788552574954,2.3975897,1.1120954
Ttc28,14.775967,3.3155105,2.0933359649992493e-49,6.249770819947759e-46,0.852112676056338,0.46320470520728735,1.9387194,0.46852604
Sox11,14.165669,3.9099731,1.4943593090354058e-45,4.015343463378135e-42,0.7746478873239436,0.32050638358915506,1.546351,0.21974714
Nrxn1,14.048865,1.1934289,7.827778883280839e-45,1.912112896306874e-41,1.0,0.9665399512265098,4.4289837,3.6169894
Zfpm2,13.487744,2.5323784,1.846635369061304e-41,4.1349243638897694e-38,0.8873239436619719,0.6716037871180606,2.7423215,1.2557105
Dcc,13.274352,2.196347,3.260790689362764e-40,6.739803524859805e-37,0.9436619718309859,0.8444627743508822,3.6043735,2.174991
Pbx1,12.941072,1.7016227,2.639188612430524e-38,5.06535700114344e-35,0.9577464788732394,0.8113254913211878,2.6644013,1.6306481
Plxna2,12.865786,2.2739828,7.012517392570432e-38,1.2561756155891168e-34,0.8309859154929577,0.655357911347009,1.9574112,0.8141647
Map2,11.983006,1.211983,4.3621594970393466e-33,6.1690118781814335e-30,0.9507042253521126,0.838688853822981,2.456397,1.7232639
Sncaip,11.9227295,3.8141944,9.010731291872442e-33,1.1529445229172025e-29,0.676056338028169,0.2225290489169416,1.2962586,0.1729345
Igfbpl1,11.884462,7.451092,1.4254979147922874e-32,1.7327856473437425e-29,0.5845070422535211,0.014058241285324917,0.96122754,0.009186463
Sema3c,11.76157,3.5426676,6.157859733079715e-32,6.128210778809331e-29,0.704225352112676,0.3139434801319753,1.5785954,0.28534365
Prox1,11.658482,3.138269,2.077126465093719e-31,1.8003996166796204e-28,0.7112676056338029,0.3060895136996127,1.5439383,0.34945944
Sema5a,11.562231,3.0152082,6.40232990614958e-31,5.213048623583006e-28,0.7394366197183099,0.43329507961555014,2.0474014,0.606837
Neo1,11.190232,1.8152821,4.552409615942659e-29,3.360760322597173e-26,0.8028169014084507,0.6723569071869172,1.6706798,0.80035263
Nedd4l,11.158048,1.4077511,6.541209379504308e-29,4.6253235796652827e-26,0.9014084507042254,0.7475971883517429,1.9335215,1.1721456
