names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VIP (for_DEGs),mean_expr_Rest (for_DEGs)
Adarb2,25.287493,5.947205,4.38491439520198e-141,1.178226497990772e-136,1.0,0.5780631700122311,4.7622895,1.0578847
Erbb4,24.790024,5.1679764,1.1485329541549563e-135,1.5430540239071838e-131,1.0,0.7170659759694942,4.889187,1.540588
Dlx6os1,24.749027,5.667506,3.175983283171774e-135,2.844622360627519e-131,1.0,0.27228577595510467,3.198447,0.37997532
Nrxn3,23.139578,2.522748,1.851189901578759e-118,1.2435368163855313e-114,1.0,0.9284121159795669,4.7996345,3.0893254
Npas3,23.100956,4.2218504,4.5287292077986995e-118,2.433739076271021e-114,1.0,0.5803654939204259,3.5179574,1.0127901
Grip1,22.560097,3.0429544,1.0688866150394296e-112,4.786830557684912e-109,1.0,0.7778257428591985,3.5461876,1.6266106
Synpr,22.410162,3.532404,3.132913436941978e-111,1.2025912007232993e-107,0.9780701754385965,0.5417296208360314,2.821932,0.8613381
Galntl6,22.21739,3.4834018,2.3323587847412294e-109,7.833810068249605e-106,1.0,0.8111374919058925,4.235133,1.9581654
Nbea,21.43774,1.5534059,5.943057535120862e-102,1.7743328440966393e-98,1.0,0.9053169292754875,3.555653,2.532712
Sorcs3,21.123697,3.0739899,4.817266242245135e-99,1.2943994392912678e-95,0.956140350877193,0.5803295201093603,2.5864916,0.89960593
Nrxn1,20.804539,1.4370422,3.937271528665992e-96,9.61768054320502e-93,1.0,0.9664364342758471,4.592072,3.6131394
Kcnmb2,20.44984,3.9662108,6.027186103429613e-93,1.3495874216596143e-89,0.9078947368421053,0.25181667745881,1.9215267,0.31706905
Zfp804a,19.795197,3.1308963,3.2747727000681494e-87,6.768703265448552e-84,0.9517543859649122,0.657565292467084,2.885563,1.0752845
Thrb,19.657072,2.3184335,5.029229029412118e-86,9.652527430021686e-83,0.9824561403508771,0.6897258795596806,2.4047222,1.1052426
Kcnc2,19.42838,3.1134293,4.441756164211662e-84,7.956665875491157e-81,0.9868421052631579,0.59946758759623,2.8065228,1.0285591
Kcnt2,19.103794,2.3610332,2.3478589096373003e-81,3.9429355563721415e-78,0.9692982456140351,0.683538384056407,2.4660301,1.1305908
Nhs,18.93801,3.5090096,5.545374724597815e-80,8.764954049996664e-77,0.8464912280701754,0.26494711849773367,1.4440322,0.25028995
Grid2,18.904886,2.143216,1.039625145478517e-79,1.5519293143893194e-76,0.9912280701754386,0.8100582775739262,3.1062331,1.7630358
Slc2a13,18.800709,2.241114,7.451404244116637e-79,1.0537854317863897e-75,0.956140350877193,0.659220087776099,2.1268737,0.94112504
Fstl5,18.651169,2.8785317,1.2354597404176833e-77,1.6598401612511575e-74,0.8991228070175439,0.4668321461975682,1.9039547,0.57479775
Sox2ot,18.327642,3.0290973,4.980329047313702e-75,6.372449595300914e-72,0.9692982456140351,0.4617598388373264,2.3771968,0.78729004
Tcf4,18.09485,1.176672,3.4989348445036926e-73,4.273471785082465e-70,1.0,0.9324411828189079,3.552416,2.772291
