names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Subiculum (for_DEGs),mean_expr_Rest (for_DEGs)
Hs3st4,31.867315,3.840139,7.577911329587694e-223,2.0361847742602135e-218,1.0,0.5981887339250136,3.3838277,1.0948772
Etl4,31.780418,3.2648716,1.2070601301539035e-221,1.6216852848617694e-217,1.0,0.7072994022821952,3.554807,1.5118722
Grm8,29.479084,3.302292,5.338387020822915e-191,4.781415308317058e-187,0.9928741092636579,0.5070458250316972,2.6099048,0.8228729
Gabrg3,28.914356,2.827337,7.880056826093109e-184,5.293428172928046e-180,0.997624703087886,0.6473827205216446,2.8154166,1.166904
Tle4,28.16361,2.6924767,1.6327466337138846e-174,8.774380409578415e-171,0.9762470308788599,0.5760912878101793,1.9795787,0.6756266
Lrrtm3,28.156248,2.5522213,2.0094344218395635e-174,8.998917152471511e-171,0.9928741092636579,0.6205759826118457,2.3508472,0.96269023
Sox5,27.89948,2.6257286,2.707040289371569e-171,1.0391167510773436e-167,1.0,0.6132222423474009,2.4991589,1.0332408
Olfm3,27.824537,3.518758,2.190227754080826e-170,7.356427469018974e-167,0.9311163895486936,0.3907625430175693,1.9967396,0.4416835
Cntnap4,27.733927,3.5000613,2.723160709952148e-169,8.130147586268245e-166,0.9287410926365796,0.3422206122079334,1.9272583,0.41797048
Fut9,27.306349,2.1007829,3.565649687481875e-164,9.580900710263797e-161,1.0,0.7450824126064118,2.3804111,1.1899384
Grik3,27.191055,3.0128741,8.286211203678243e-163,2.0240954094803128e-159,0.9287410926365796,0.3525086035138562,1.4564434,0.34194288
Agbl4,27.108173,2.1373582,7.887354826616779e-162,1.7661102015932738e-158,0.997624703087886,0.748270240898388,2.8979661,1.5882558
Sntb1,27.0174,4.9932055,9.231069401797234e-161,1.9079910371253206e-157,0.8076009501187649,0.08121717080239087,1.1637703,0.06685161
Asic2,26.851662,2.2507148,8.065950051627053e-159,1.5480862706229922e-155,1.0,0.7876833906900924,3.2299874,1.8085439
Xkr6,26.445814,2.336215,4.076505031307504e-154,7.302379346082176e-151,0.9572446555819477,0.578264807100163,1.7379458,0.65642893
Mmp16,26.409906,1.9480487,1.0544200273499126e-153,1.7707666334307595e-150,1.0,0.7839159572541207,2.7553978,1.5721141
Chsy3,25.921146,2.3638172,3.847206157338576e-148,6.080848791040444e-145,0.9881235154394299,0.6984966491577613,2.6031792,1.2324843
Rai14,25.850397,3.5716586,2.4081658151115046e-147,3.594856414002563e-144,0.828978622327791,0.16743343597174426,0.9481586,0.12483941
Rmst,25.646757,3.6954622,4.5954215899947966e-145,6.498893585429483e-142,0.8741092636579573,0.24064481072269517,1.7380968,0.3087682
Dlc1,25.215384,2.4852483,2.7164924295948813e-140,3.6496075791607226e-137,0.9714964370546318,0.5408440499909437,1.8857253,0.69241744
Nrxn1,25.096525,1.2098479,5.427211145994993e-139,6.944245880613594e-136,1.0,0.9662017750407534,4.431851,3.6087399
Pcsk5,24.967,2.7117984,1.3961432278243938e-137,1.7051985696200664e-134,0.9168646080760094,0.4549175873935881,1.7610997,0.5513213
Ssbp2,24.732006,1.7838376,4.8423156200392183e-135,5.657087856976252e-132,0.995249406175772,0.7676870132222423,2.3018672,1.28415
Vwc2l,24.620739,3.9505243,7.575823943860277e-134,8.481766223813568e-131,0.8123515439429929,0.30262633580873033,1.967232,0.33492863
Prickle1,24.40413,1.7169232,1.5459520836575946e-131,1.6615892995151826e-128,0.9904988123515439,0.7370403912334722,2.2272854,1.2576407
Nrg3,24.33537,1.2726432,8.282387626310734e-131,8.559529058421901e-128,1.0,0.9468936786813983,4.4633355,3.5974069
Tshz2,24.316034,3.7087262,1.3266762026114996e-130,1.3202885023767033e-127,0.8479809976247031,0.3897482340155769,2.364519,0.5522782
Arap2,24.290257,2.3135564,2.484871534701313e-130,2.384589219193724e-127,0.9311163895486936,0.5722514037312081,1.7397975,0.66510916
Cdh11,24.237953,1.8960152,8.859104290975848e-130,8.208418355121414e-127,0.9762470308788599,0.7229849664915776,2.245846,1.1847764
Samd5,24.142815,2.2574475,8.883916051691269e-129,7.957027476964814e-126,0.9453681710213777,0.4761094004709292,1.5174344,0.5565541
Cdh18,24.116976,2.4186096,1.6589920321750363e-128,1.4379714807917171e-125,0.9714964370546318,0.5769606955261728,2.0766835,0.83513916
Frmpd4,23.573513,1.9384545,7.206648791529317e-123,6.0513329071372734e-120,1.0,0.829994566201775,3.363845,2.1137218
Lrrc4c,23.421888,1.6429207,2.557636280293641e-121,2.0825359651966706e-118,1.0,0.913204129686651,3.6923416,2.6050951
Garnl3,23.254183,2.1332135,1.290460156697283e-119,1.0198430708957646e-116,0.9548693586698337,0.5131316790436515,1.5272127,0.59984255
Smyd3,23.08788,1.7733747,6.128772205994515e-118,4.705145976430646e-115,0.9738717339667459,0.7225140373120812,1.9788344,1.0380408
Gm28905,22.703451,3.133308,4.141705980446049e-114,3.082821063726401e-111,0.7838479809976246,0.2872667994928455,1.2356548,0.24541502
Dync1i1,22.702368,1.6191384,4.2450457520609166e-114,3.082821063726401e-111,0.9833729216152018,0.7126607498641551,2.0511901,1.1650742
Grid1,22.61677,1.5541832,2.964012037005127e-113,2.095868511429678e-110,0.9928741092636579,0.7793877920666545,2.4362323,1.5154837
Ptprd,22.551023,1.4160712,1.312170193458369e-112,9.040516179032403e-110,1.0,0.9647527621807643,4.610053,3.644979
Elavl4,22.380053,1.988277,6.157320350901294e-111,4.136179945717944e-108,0.9382422802850356,0.5320775221880094,1.4176708,0.5812387
Opcml,22.33723,1.4980391,1.6070502249588492e-110,1.0532058425522995e-107,1.0,0.9243615287085672,4.10498,3.0962691
Meg3,21.86778,1.6751707,5.265694588298436e-106,3.3687907997042615e-103,1.0,0.9119000181126607,4.3636966,3.230091
Neto2,21.827778,2.3988543,1.2641682205639078e-105,7.899581415477257e-103,0.838479809976247,0.4412968665096903,1.3463924,0.43124732
Pbx1,21.757544,1.4655799,5.86055075593979e-105,3.57893179118414e-102,0.997624703087886,0.8092374569824308,2.5039442,1.6226468
Htr1f,21.553034,2.4102023,4.95892988634715e-103,2.9610321343588424e-100,0.8527315914489311,0.34758195978989315,1.2378058,0.3788115
Hivep1,21.496822,2.3187711,1.667213955669717e-102,9.738704128009847e-100,0.8123515439429929,0.3200869407715993,0.8700424,0.2453044
Phactr1,21.436382,1.3655784,6.118877341796803e-102,3.4981751951931936e-99,1.0,0.8872667994928455,3.2667131,2.3785589
Myt1l,21.399899,1.3619756,1.3390094161198293e-101,7.495663127320795e-99,1.0,0.7992754935700054,2.557107,1.7279457
A330102I10Rik,21.35405,2.1955452,3.575647490255467e-101,1.9607683278196815e-98,0.831353919239905,0.4103604419489223,1.0300006,0.33159804
Cacnb4,20.997631,1.5699294,6.893785589820929e-98,3.704720375969767e-95,0.995249406175772,0.7645716355732657,2.2682378,1.3655006
