names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 (DG) (for_DEGs),mean_expr_Rest (for_DEGs)
Dlx6os1,14.433067,4.86598,3.205025025077709e-47,8.611902242383805e-43,1.0,0.2760360747262186,2.7190573,0.3959416
Fgf13,14.350011,3.6150198,1.0652002324506391e-46,1.4310965122974338e-42,1.0,0.6367117600744399,2.8793309,0.86345094
Gad2,13.795378,3.56069,2.717243009369257e-43,2.4337439887250645e-39,1.0,0.22127979385870733,1.4023913,0.23090751
Erbb4,13.4188385,4.028438,4.690086028022363e-41,3.1505652893240226e-37,1.0,0.718524085605898,4.1327214,1.5601196
Pld5,13.351037,3.9412112,1.1681153984896642e-40,6.277452151483455e-37,0.9285714285714286,0.11130198267840527,0.94321704,0.09720928
Gad1,13.155406,2.9563563,1.5843019642307726e-39,7.095032296480143e-36,1.0,0.2629733018395247,1.1506569,0.24555266
Alk,13.012449,3.4164672,1.0395574242772559e-38,3.9904154271899804e-35,0.9761904761904762,0.2381003507265049,1.4361551,0.2624598
Egfr,12.845641,3.7539015,9.099534075439435e-38,3.05630600758822e-34,0.9166666666666666,0.11620499606327392,1.0615271,0.13116294
Zmat4,12.794966,2.5398633,1.7493031649202538e-37,5.22264178237858e-34,1.0,0.5984181518860496,2.1913178,0.8614373
Grik1,12.712793,3.3909266,5.020821582473699e-37,1.3045663763191486e-33,1.0,0.4977453296113378,2.5472343,0.7524546
Pde11a,12.707965,3.7536702,5.340614119654125e-37,1.3045663763191486e-33,0.9166666666666666,0.19347219239853983,1.360204,0.19455718
Unc5c,12.314293,2.2603889,7.587772499806831e-35,1.6990287255817462e-31,1.0,0.8057404623863718,3.1531518,1.7364609
Grip1,12.277711,2.238581,1.1932699970444412e-34,2.4663972938910872e-31,1.0,0.7789707250733663,3.0234838,1.6380739
Nyap2,12.099936,2.2457445,1.0569461877177514e-33,2.028581718855427e-30,1.0,0.6013170138143297,1.9555979,0.8239295
Nxph1,12.001805,3.4615395,3.476283584557146e-33,6.227182661136701e-30,1.0,0.4202991911817336,2.5462842,0.72633636
Ptprm,11.975793,2.9618444,4.758672959101852e-33,7.991596400691673e-30,1.0,0.3782835874311073,1.8629917,0.52981
A830018L16Rik,11.904487,2.0862167,1.1215140645440956e-32,1.7726519361352852e-29,1.0,0.6871018538400974,2.3628783,1.1835153
Dner,11.836983,2.2146952,2.513337492555525e-32,3.7518543569426085e-29,1.0,0.5423376995204352,1.611062,0.62244546
Slc2a13,11.706411,2.1159773,1.1817673147674525e-31,1.6712677762000761e-28,1.0,0.660618423878033,2.0598867,0.94743717
