names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_VLMC (for_DEGs),mean_expr_Rest (for_DEGs)
Slc6a20a,19.373487,9.750118,1.2920315150033845e-83,1.8289552260410263e-79,0.9375,0.020156373287425578,2.8063972,0.017896384
Cped1,19.370796,7.7184386,1.3613362307711397e-83,1.8289552260410263e-79,0.9444444444444444,0.08571838462090238,2.6282973,0.059224732
Atp1a2,19.22674,5.945458,2.2109508903744495e-82,1.980275014145382e-78,0.9791666666666666,0.31159888099849364,3.457267,0.40457103
Slc7a11,18.962187,7.6565204,3.5026918122332366e-80,2.3529332248676767e-76,0.9305555555555556,0.09278387490137006,3.153434,0.10535258
Ranbp3l,18.564487,8.566799,6.227820371453306e-77,3.3468306676190065e-73,0.9027777777777778,0.048561796140879424,2.8763194,0.043221686
Ptn,17.595812,3.8680604,2.6522379655978584e-69,1.1877605689269075e-65,0.9513888888888888,0.5986658058962772,2.897384,0.7760735
Slc1a3,17.011868,4.42812,6.706622190423653e-65,2.5743848322383363e-61,0.9236111111111112,0.31141955383401476,2.4120207,0.38647825
Rora,16.723036,2.5394022,8.906433060540393e-63,2.9914482042090045e-59,0.9861111111111112,0.7997632881428879,3.2115235,1.6286175
Bicc1,16.657797,4.5607023,2.656285293351305e-62,7.930487314705508e-59,0.8680555555555556,0.3473208521626856,2.1679502,0.28366172
Colec12,16.302778,6.8578634,9.430705071884231e-60,2.111692044012744e-56,0.8055555555555556,0.07904741410228822,1.9473417,0.05051704
Lama2,16.006315,4.670491,1.1544744371430578e-57,1.7233737847796647e-54,0.8541666666666666,0.21877914066422782,2.1901407,0.27128723
Ptgds,15.996428,5.4506927,1.3532053555006593e-57,1.9137172580159324e-54,0.8611111111111112,0.36256366114339,3.1916368,0.42749307
Arhgap29,15.676534,5.9347353,2.1887625751352e-55,2.557045669299253e-52,0.7916666666666666,0.14148913277383257,1.8640682,0.085347876
Bmp6,15.479078,7.906467,4.803051063540981e-54,4.96376854143639e-51,0.7569444444444444,0.03428735384836095,1.986033,0.025864346
Mir100hg,15.472975,2.3107464,5.280883293391891e-54,5.25545681827556e-51,0.9305555555555556,0.72767376802238,2.5834727,1.2434802
Eya1,15.257009,4.8903675,1.478727320057689e-52,1.2040425178772759e-49,0.7916666666666666,0.16684599383114554,1.7619929,0.15070485
9530026P05Rik,14.655626,4.592485,1.2400714699394118e-48,7.572890999379998e-46,0.7777777777777778,0.22573703464600817,1.9353406,0.21965727
Adam12,14.361715,4.4233236,8.997281555121728e-47,4.740332458551388e-44,0.7847222222222222,0.29434760777562585,2.0083075,0.26285973
Col4a5,14.188521,7.5782027,1.079095462064108e-45,5.3694990862338115e-43,0.6944444444444444,0.025141668459938312,1.5706098,0.019738663
Cfh,13.892385,4.8646197,7.045019367311298e-44,3.0047566730103903e-41,0.7291666666666666,0.0976257083422997,1.5598849,0.121332794
Col1a2,13.812038,7.73521,2.156427574143689e-43,8.52106013488837e-41,0.6736111111111112,0.01384405709776917,1.3464875,0.013258725
Apod,13.741936,4.5123706,5.6932941980600785e-43,2.217084276838758e-40,0.7430555555555556,0.1705042679865146,1.678139,0.1746653
Sned1,13.50891,5.948893,1.3855782508468626e-41,4.96406501336736e-39,0.6805555555555556,0.07090596083494728,1.4881479,0.054022342
Alcam,13.393489,2.9583943,6.600564666216423e-41,2.16289234855165e-38,0.8888888888888888,0.7172010616168137,2.942399,1.1972042
Lama1,13.333047,7.9054847,1.4869755694614732e-40,4.756551613265451e-38,0.6527777777777778,0.02442435980202281,1.4802674,0.014056703
Rbms1,13.106269,3.2969465,3.031488338861125e-39,8.48500954845817e-37,0.7638888888888888,0.39412524209167205,1.6363492,0.35126474
2610307P16Rik,13.042822,5.998826,6.982384232829041e-39,1.8393790621187875e-36,0.6527777777777778,0.04508284914998924,1.2465992,0.038025755
Zbtb20,12.897712,2.012726,4.6365900525562954e-38,1.1223889613710599e-35,1.0,0.8668675130908831,3.619158,2.3022664
Lpar1,12.6852,4.233773,7.143110511935404e-37,1.6129023483672633e-34,0.6875,0.15131626138727494,1.353833,0.14207318
Ptpn13,12.642195,4.649498,1.2355598707869163e-36,2.6991458315483286e-34,0.6736111111111112,0.1565526145900581,1.3719234,0.110877186
Nfat5,12.503162,1.7641692,7.173982206268535e-36,1.417388984429673e-33,0.8472222222222222,0.7517036080625493,1.9690535,1.0348303
Tgfbr3,12.460746,3.4642851,1.2222272558982612e-35,2.3458033118561627e-33,0.7222222222222222,0.37439925399899576,1.5405009,0.28685957
Slc6a13,12.327005,9.244683,6.481102765367918e-35,1.168773364466013e-32,0.5972222222222222,0.0050570260383042825,1.2445048,0.0040653744
Mir99ahg,12.143403,1.4093832,6.21852146648397e-34,1.071100460284771e-31,0.9583333333333334,0.873251560146331,3.004501,2.106486
Cp,12.091852,5.87098,1.1662763950160327e-33,1.9709337568604274e-31,0.6111111111111112,0.05483824689764005,1.2969269,0.04441605
Rbms3,12.084272,2.6690352,1.2789755382589922e-33,2.1478795445636947e-31,0.8055555555555556,0.5091815508213184,1.9434226,0.6630277
Malat1,12.035267,0.9687355,2.3188209069246947e-33,3.7991901078699116e-31,1.0,0.9936518183774479,5.6484847,4.9803805
Gpc6,12.003326,2.5361435,3.4129624066231325e-33,5.491395201554705e-31,0.8541666666666666,0.5496018936948569,2.2967656,0.9328014
Dlc1,11.95615,2.4253738,6.0293363334213104e-33,9.586288004676369e-31,0.7986111111111112,0.5460153504052794,1.8706818,0.7043497
Marchf6,11.71573,2.3163953,1.058754396243902e-31,1.5982432936558227e-29,0.7708333333333334,0.6491284699806327,1.7451417,0.6673035
Col4a6,11.712735,8.698167,1.096832070112567e-31,1.6464736158617136e-29,0.5694444444444444,0.008751165626569113,1.2236886,0.0057609915
Aldh1a2,11.67289,7.8475037,1.7536333304753057e-31,2.574870360102266e-29,0.5694444444444444,0.012050785452980417,1.0924935,0.008567267
4930594M22Rik,11.324903,5.2660227,9.878854417728e-30,1.3076099418933563e-27,0.5972222222222222,0.11828419769026612,1.2052983,0.058979105
Zfhx4,11.308834,3.3058586,1.1865527833113417e-29,1.5628761415478309e-27,0.6736111111111112,0.3114912846998063,1.4206862,0.27574584
Apoe,11.264486,3.019073,1.964937133536186e-29,2.5383586912556403e-27,0.7361111111111112,0.3446668101283982,1.6877168,0.43415326
Tcf12,11.253246,1.3775611,2.2322260253096837e-29,2.8698523110081914e-27,0.8819444444444444,0.8104870525787247,2.1359346,1.354036
Cpq,11.055682,4.301585,2.0576705922252488e-28,2.4682861077273407e-26,0.5972222222222222,0.11304784448748297,1.1539005,0.1044213
Gmds,10.990541,1.9058379,4.2437234369505145e-28,4.9363137987385423e-26,0.7708333333333334,0.664694067857399,1.7257599,0.80291545
Adamts12,10.881451,6.694316,1.4129589032887553e-27,1.5819252388070356e-25,0.5416666666666666,0.03188436984434402,1.3069289,0.025689047
Slc13a4,10.864412,8.521181,1.703169781723039e-27,1.8832992606953933e-25,0.5277777777777778,0.00652750878703106,1.0250845,0.0048531056
