names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_rest (for_DEGs),mean_expr_Rest (for_DEGs)
Hsp90ab1,59.527473,2.7271876,0.0,0.0,0.8082459136374726,0.8091277636143269,2.4434996,0.9507786
Calm1,57.513676,2.4517713,0.0,0.0,0.8106855330568431,0.8410164249592511,2.5335917,1.137861
Hsp90aa1,55.26407,2.6332583,0.0,0.0,0.7799463283727739,0.7979270280436327,2.3233209,0.91002905
Rtn1,52.97436,1.40753,0.0,0.0,0.822395706269822,0.9189200484807958,2.5862458,1.7279186
Atp1b1,50.37696,1.8017693,0.0,0.0,0.7831178336179556,0.8728214987252895,2.3893783,1.3458526
Tmsb4x,49.848392,2.6332173,0.0,0.0,0.7455476945596486,0.7171396330505287,2.277641,0.8800241
Camk1d,49.112923,0.9735653,0.0,0.0,0.8624054647474994,0.9691561833911481,2.8553598,2.2344944
Hspa8,48.106354,2.7903836,0.0,0.0,0.708709441327153,0.6646884272997032,1.9955858,0.6517084
Calm2,46.749226,1.7464999,0.0,0.0,0.7643327640888021,0.8725289421991892,2.2515402,1.2624054
Atp6v0c,37.878983,2.3575578,0.0,0.0,0.6523542327396926,0.6862540226522339,1.850196,0.71591717
Ubb,36.947395,2.896927,8.019577278969275e-299,9.069277840315842e-298,0.5806294218101976,0.46583357713043844,1.611651,0.4308168
Fth1,33.982254,2.4806297,4.074503522283969e-253,3.8809609941074177e-252,0.599170529397414,0.5766289129435366,1.6762316,0.5757958
Nrgn,33.818737,1.9669901,1.046135074847121e-250,9.887319543138284e-250,0.6543059282751891,0.7484431813432524,1.8892459,0.89039016
Cmss1,30.21609,1.1525966,1.456030060761436e-200,1.1200551884528997e-199,0.6767504269333984,0.8690600576754294,1.9175373,1.2839273
Ppia,29.182976,2.5029745,3.189450362365177e-187,2.326921836458113e-186,0.5496462551841913,0.529485518451958,1.4998399,0.4787692
App,28.4041,0.4001247,1.7995759347878531e-177,1.261863396861942e-176,0.7096852890949013,0.9307476908931333,2.0121036,1.7766006
Ttc3,28.262121,0.24745457,1.0101126238247183e-175,7.04613868176796e-175,0.7189558428885094,0.9251473231077861,2.0228746,1.8757992
Rplp1,28.203453,2.0613017,5.304331677722435e-175,3.690507306587308e-174,0.5930714808489875,0.6636853763530739,1.6193275,0.67819005
Cpe,27.762825,0.78808033,1.2200299596879208e-169,8.30139402806139e-169,0.6882166382044401,0.8720274167258746,1.9014984,1.4582821
