names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Pericytes (for_DEGs),mean_expr_Rest (for_DEGs)
Ebf1,11.981604,5.9011855,4.436593865368067e-33,1.1921127716243995e-28,0.6902654867256637,0.08436929029484469,1.8587409,0.08674503
Utrn,9.485938,3.0934808,2.4021357948055627e-21,2.1515129602141822e-17,0.6814159292035398,0.37384014616845196,1.6918638,0.4180254
Atp1a2,8.9607725,3.604146,3.224104233472126e-19,9.62574230593289e-16,0.6548672566371682,0.31365313653136534,1.9790212,0.4139457
Itga1,8.420561,5.7340007,3.7468574109310013e-17,4.794193268176953e-14,0.48672566371681414,0.046895711675563355,1.111866,0.037612837
Prkg1,8.24483,1.3310513,1.6539472520660814e-16,1.5324676780350207e-13,0.8495575221238938,0.8090853724071221,2.7504988,1.9203326
9530026P05Rik,6.9380875,3.0238569,3.9744324066612926e-12,4.5443829262548483e-10,0.5132743362831859,0.22742091498584888,1.1154792,0.22488174
Phldb2,6.8604283,4.5668273,6.865431528514158e-12,6.961288497025487e-10,0.4247787610619469,0.0801776949808333,1.0193814,0.07208376
Atp13a5,6.642201,6.7737465,3.090329132761074e-11,2.291235494162639e-09,0.3805309734513274,0.030129330419517788,1.325471,0.02494608
Slco1a4,6.5322223,5.5255566,6.480085775382686e-11,4.1976197088117046e-09,0.37168141592920356,0.019059219718410778,0.8708835,0.029708678
Camk1d,6.388095,0.56789106,1.679652476964313e-10,9.154617049904885e-09,0.8849557522123894,0.9538208003439258,2.6851056,2.3238409
Vtn,6.3702807,5.9680004,1.8868277336837194e-10,1.0099414582486363e-08,0.36283185840707965,0.021925267796367283,0.89872277,0.023001088
Flt1,6.3087754,5.365472,2.8125196948653355e-10,1.364122819513205e-08,0.36283185840707965,0.02360907104216673,0.89876544,0.03472174
Cmss1,6.1954293,1.0840023,5.812630819162047e-10,2.5069886053111433e-08,0.7433628318584071,0.8413284132841329,1.9820158,1.3741493
Ptn,6.185654,1.9799628,6.184537558053217e-10,2.6335740758302687e-08,0.6460176991150443,0.6002937699279906,1.7382917,0.78312176
Cald1,6.1130285,3.3343492,9.77579437746023e-10,3.87427131153918e-08,0.4778761061946903,0.24347078422240534,1.1435404,0.19223328
Rgs5,5.980115,5.50408,2.229803393949637e-09,7.720981597348808e-08,0.34513274336283184,0.025722781499659658,0.77927804,0.025666479
Zbtb20,5.844143,1.187461,5.091830054498406e-09,1.5372749838693502e-07,0.9469026548672567,0.8672303227886647,3.0715039,2.305946
Epas1,5.728368,3.9035068,1.0140151387330336e-08,2.783103858810686e-07,0.36283185840707965,0.06763873463977359,0.704891,0.066164024
Sptbn1,5.684741,0.5969486,1.3101105864829481e-08,3.4512422998820406e-07,0.7256637168141593,0.8477770214595349,1.8539,1.5173489
Hsp90aa1,5.6741037,1.2803065,1.3941665220286402e-08,3.658325629581012e-07,0.7345132743362832,0.7955432952387776,1.786901,1.1140155
Slc6a20a,5.6695423,5.410071,1.4317943006165236e-08,3.735176005588931e-07,0.3274336283185841,0.023644896643141188,0.81268585,0.02906441
Nfia,5.649765,0.9540256,1.6066736098657437e-08,4.119400753539364e-07,0.7522123893805309,0.7382223336796475,1.8390461,1.3166527
Dock6,5.553249,4.8529205,2.8040847447154004e-08,6.667766114203788e-07,0.34513274336283184,0.06162003367606492,0.7500707,0.037929263
Rbpms,5.4806113,5.1369343,4.238589401359309e-08,9.546596581267783e-07,0.3185840707964602,0.025472002292838462,0.61823773,0.02402698
Dlc1,5.4178944,2.5599282,6.030502026478275e-08,1.2983941462457633e-06,0.5752212389380531,0.5472002292838463,1.951778,0.705317
Pdgfrb,5.389938,5.40426,7.048198574257226e-08,1.4795710600804036e-06,0.3185840707964602,0.03521656575789059,0.80367976,0.028716434
Foxp1,5.321099,0.7405335,1.0314246355322799e-07,2.0363247580273593e-06,0.7168141592920354,0.7941102711997994,1.8403467,1.4282401
Slc38a11,5.317528,6.825172,1.0518672054704284e-07,2.0690828558558133e-06,0.3008849557522124,0.0160856948375309,0.7297755,0.009432383
Rbms1,5.225456,2.2945018,1.73726141736414e-07,3.1776864727416232e-06,0.5132743362831859,0.3955504603589725,1.1278571,0.35475087
Lama2,5.208883,2.5411441,1.8998097179921753e-07,3.416859914487935e-06,0.4424778761061947,0.22115143481531901,1.0527657,0.27802274
Ccdc141,5.2048926,3.5300777,1.9410899053571454e-07,3.479458689589493e-06,0.35398230088495575,0.09633504102031312,0.68789524,0.082186095
Cped1,5.167924,3.9463515,2.3670837426489824e-07,4.090259817683483e-06,0.34513274336283184,0.08909826962347293,0.747948,0.069690146
Plce1,5.1205807,3.6891136,3.045963230340402e-07,5.058407416517095e-06,0.3805309734513274,0.15433668899795794,0.95260805,0.11641534
Pitpnc1,5.078043,1.9974667,3.8134205489289447e-07,6.1430821432686295e-06,0.5663716814159292,0.5062515673700426,1.4703901,0.6093347
Fry,5.031317,0.73537993,4.871214331060751e-07,7.56586873269378e-06,0.6991150442477876,0.8033174506502346,1.8622009,1.4507523
Abcc9,4.941751,7.4121003,7.742412491333211e-07,1.1227124859261921e-05,0.2743362831858407,0.007057643391967901,0.6760194,0.0056558754
Cobll1,4.927315,2.6016514,8.33671441058197e-07,1.1921634710608704e-05,0.4247787610619469,0.23483681438756135,0.9341976,0.2267901
Igfbp7,4.864051,5.0029974,1.1500730933194662e-06,1.5814976467499518e-05,0.2920353982300885,0.03543151936373733,0.60992974,0.025867492
Lars2,4.84238,0.9667141,1.28292972003943e-06,1.743668263907915e-05,0.6991150442477876,0.7969763192777559,1.6772336,1.1712846
Colec12,4.606939,4.220627,4.086405244144908e-06,4.843480763571843e-05,0.30973451327433627,0.08186149822663275,0.7435459,0.057496954
Naaladl2,4.595789,0.6301699,4.311153794794624e-06,5.082961933573126e-05,0.7433628318584071,0.86293125067173,2.0219977,1.6552087
Tbx3os1,4.5790114,6.952054,4.6717872145313085e-06,5.455494239654771e-05,0.25663716814159293,0.009637086662128758,0.59062034,0.0064814026
Ano1,4.571071,5.728429,4.852371039286069e-06,5.622389384459538e-05,0.26548672566371684,0.022283523806111847,0.5953147,0.01522902
Ptprk,4.4618382,0.97296214,8.125956992145113e-06,8.786497560520692e-05,0.6548672566371682,0.6779278472396374,1.6467701,1.1425437
Arhgap29,4.4408665,3.2906466,8.959733872032737e-06,9.530801628722076e-05,0.34513274336283184,0.1440189159173145,0.66519713,0.09217668
Egflam,4.4312544,5.626711,9.368640479237941e-06,9.934308195624447e-05,0.25663716814159293,0.019954859742772186,0.57230514,0.015510723
Notch3,4.347228,5.531515,1.3786875100131085e-05,0.00013932054679974512,0.25663716814159293,0.02608103750940422,0.5587656,0.016053028
Cspg4,4.325482,3.4634774,1.5219884427618559e-05,0.00015225550803056985,0.2920353982300885,0.07154372514598932,0.6066416,0.07290611
Ptprb,4.3124504,4.160713,1.614552236185957e-05,0.00016008493943290281,0.2920353982300885,0.07627270447461756,0.64076173,0.04898476
Morrbid,4.293069,5.1529293,1.7622024710097306e-05,0.00017281160728478635,0.25663716814159293,0.02934116719807975,0.5345728,0.019668987
