names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PPP (for_DEGs),mean_expr_Rest (for_DEGs)
Tshz2,46.174004,4.865065,0.0,0.0,0.9974968710888611,0.37899878796782605,3.0105824,0.50815994
Hs6st3,39.16742,2.7743375,0.0,0.0,1.0,0.7873801740918941,3.7194426,1.9288816
Tenm2,38.144405,2.0058255,0.0,0.0,1.0,0.9380027178903294,4.694901,3.3317716
Kcnb2,37.577343,2.1066878,5.040496827589295e-309,3.385953743933109e-305,1.0,0.7638006390715099,2.9512055,1.6504248
Lingo2,36.119244,2.0997744,1.1313973047709444e-285,6.080129115839054e-282,1.0,0.8793109780732361,3.9839928,2.5879002
Meis2,35.921375,2.7509973,1.4169374165405995e-282,6.3455180637409845e-279,0.9561952440550688,0.475043155691042,1.9386353,0.6332668
Ldb2,35.037285,2.5055263,6.09007183662317e-269,2.3377175750009222e-265,0.9899874843554443,0.542439490211922,2.0838642,0.8060083
Vwc2l,34.83537,3.4400165,7.091748303165113e-266,2.3819409613255823e-262,0.8598247809762203,0.2941565357916774,1.6338625,0.32204986
5730522E02Rik,34.71036,2.049061,5.4972663223290235e-264,1.6412394008997873e-260,1.0,0.740257832298821,2.7990398,1.5535572
Arpp21,34.437534,1.7565143,6.920418405368013e-260,1.859516425522385e-256,1.0,0.7921181180445881,2.9699364,1.8675666
Asap1,34.208405,2.0498683,1.813315184044051e-256,4.429434454114878e-253,0.9737171464330413,0.692290740808756,2.1122792,1.0134338
Satb2,34.021076,2.6402373,1.0872175907736418e-253,2.4344613886739794e-250,0.9286608260325406,0.40430455062988946,1.5383508,0.46157864
Unc5d,33.781193,2.6255076,3.725768142166541e-250,7.700876152308842e-247,0.9949937421777222,0.6271348293972895,2.6675582,1.1544313
Khdrbs2,33.521545,2.1113725,2.339826858292499e-246,4.490796263022817e-243,0.9887359198998749,0.7041539648143387,2.4551945,1.2425381
Lrrc4c,33.498657,1.894465,5.041554444521343e-246,9.0311045282859e-243,1.0,0.9119991185220553,3.8420885,2.5856066
Grm7,33.178104,1.4724522,2.2280069007918686e-241,3.741659089017345e-238,1.0,0.8889337789694054,3.6333706,2.658575
Tshz3,32.87267,2.8620446,5.404024103860162e-237,8.541536921807209e-234,0.8498122653316645,0.3734895508135307,1.360321,0.3354167
Cdh20,32.1359,2.5100431,1.3902960158511878e-226,2.075402996995634e-223,0.9499374217772215,0.4646857898409667,1.8224722,0.64741975
Cntn5,31.922213,2.2852192,1.3133093964818138e-223,1.857295972814018e-220,0.9949937421777222,0.7592830646049877,3.2138045,1.7745762
Pcsk2,31.467375,1.6919578,2.428702692862176e-217,3.2629620678603334e-214,0.9949937421777222,0.7626987916406508,2.452862,1.4556906
Marchf1,31.071547,1.6956385,5.838322275181781e-212,7.470272358768308e-209,1.0,0.8307195063723509,3.094578,2.0158503
Car10,31.016136,2.2079487,3.2667380819497845e-211,3.98987510281776e-208,0.9662077596996246,0.6279795790942814,2.416612,1.1660845
Adcy8,30.843168,2.0800304,6.917399247029635e-209,8.081326859464622e-206,0.9061326658322904,0.545965401990671,1.6068858,0.664246
Pdzrn3,30.73519,2.7309213,1.9287967074485012e-207,2.159448647047551e-204,0.8635794743429287,0.3785580489954824,1.6507493,0.491207
Cdh12,30.609596,2.0596693,9.121788802925005e-206,9.804098605383794e-203,0.986232790988736,0.675175377382745,2.4077814,1.231079
Cacnb4,30.487392,1.6349759,3.8291935997845624e-204,3.95732430870043e-201,0.9949937421777222,0.76137657472362,2.292706,1.3522512
Cobl,30.344378,2.2443352,2.9803979536765097e-202,2.9660478894551042e-199,0.8635794743429287,0.4185918389833621,1.2685014,0.4313576
Csmd1,30.290659,1.3253466,1.5218121050395057e-201,1.460396116514697e-198,1.0,0.941712270907555,4.457862,3.556499
Cadm1,30.13727,1.4176074,1.574999657232896e-199,1.45931864792579e-196,1.0,0.853674661181915,2.8971252,2.0027413
Ptprd,30.064564,1.3889941,1.4085871703384891e-198,1.261624575566507e-195,1.0,0.9642634149924707,4.5787888,3.6324935
Rasgef1b,29.790405,1.9912176,5.201148879109575e-195,4.5082216252153e-192,0.9586983729662077,0.5316781136371984,1.6420275,0.71675134
Epha3,29.490412,2.0975993,3.8211149136922694e-191,3.2085424290909775e-188,0.9211514392991239,0.5834282146398795,1.891031,0.83921105
Mlip,29.389482,1.8582602,7.4838657527341e-190,6.093680993211069e-187,0.9386733416770964,0.5767436735593345,1.5716554,0.7188657
Clstn2,29.300098,1.7807357,1.0341503292526915e-188,8.172829219711712e-186,0.9987484355444305,0.7432695486098359,2.6456685,1.5707996
Zmat4,28.332146,2.1175215,1.3891633344545524e-176,1.0368560776887173e-173,0.9111389236545682,0.5904800381973776,1.8966923,0.8351592
Tox,28.321705,2.8297026,1.867931236444708e-176,1.356521954682954e-173,0.7947434292866082,0.4019172145296948,1.8166585,0.54498535
Prr16,28.188848,2.1634693,8.011115224118619e-175,5.519452976206853e-172,0.899874843554443,0.5113673926616961,1.7172734,0.7030774
Vsnl1,27.79651,1.54118,4.7801977845491326e-170,3.132778401727688e-167,0.951188986232791,0.6604840783046241,1.6185569,0.87136
Kcnq5,27.633009,1.86006,4.466378520977117e-168,2.8574188299679796e-165,0.9974968710888611,0.774855841627796,2.9447632,1.7850839
Asic2,26.97429,1.8038657,2.960569051450893e-160,1.8500114049415233e-157,0.9887359198998749,0.78506629448709,2.922382,1.7978374
Hecw1,26.88362,1.4763764,3.41379320037318e-159,2.0847414385006215e-156,0.9787234042553191,0.7052190839975024,1.9406664,1.1452358
Dgki,26.614666,1.3812934,4.592255825113012e-156,2.7420869782397034e-153,0.9912390488110138,0.7712932016013516,2.3374932,1.5241516
Fut9,26.487667,1.4452201,1.3444405964304085e-154,7.853286701322842e-152,0.9874843554443054,0.7419106034451096,1.9722226,1.185389
Meg3,26.156244,1.5766337,8.368364569808278e-151,4.784211829590392e-148,1.0,0.9106769016050245,4.2825737,3.2167385
Apba1,25.9606,1.3694718,1.3804035106741175e-148,7.727383819127821e-146,0.9549436795994993,0.7208653175157014,1.7064873,1.0099105
Kcnma1,25.826925,1.2159389,4.420634899736715e-147,2.4241318317535824e-144,1.0,0.8523157160171888,2.9733126,2.195943
Runx1t1,25.804955,1.6563115,7.801676802421157e-147,4.19262111362113e-144,0.9574468085106383,0.5981929702133911,1.7148924,0.89421326
Tenm3,25.715746,1.9994386,7.792831835370562e-146,4.105752772870725e-143,0.9637046307884856,0.728100782311676,2.655851,1.4610678
Tenm4,25.688196,1.545478,1.5837186249785846e-145,8.183561433302801e-143,0.9912390488110138,0.7397803650787821,2.466781,1.5464076
Npas2,25.427502,1.7887169,1.2523197269881651e-142,6.3490247290890555e-140,0.8310387984981227,0.4757042641495574,1.1332076,0.47587553
