names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astrocytes (for_DEGs),mean_expr_Rest (for_DEGs)
Slc1a2,52.449245,5.138997,0.0,0.0,0.9959183673469387,0.7199955631146935,4.2656264,1.096116
Slc1a3,50.13489,5.6594844,0.0,0.0,0.9683673469387755,0.29087480588626785,2.9442706,0.30458197
Gpc5,49.830788,5.4773784,0.0,0.0,0.976530612244898,0.5998668934408046,4.459704,1.0710031
Atp1a2,49.689266,5.873878,0.0,0.0,0.9693877551020408,0.2913184944169193,3.1457412,0.321499
Plpp3,49.414772,5.7586527,0.0,0.0,0.9540816326530612,0.23870442949049767,2.6714168,0.2220379
Nrxn1,49.33273,1.9434881,0.0,0.0,0.996938775510204,0.9656141388745101,4.900902,3.5747309
Npas3,49.183235,4.4567614,0.0,0.0,0.986734693877551,0.5691784367374103,3.5649202,0.94143385
Ptprz1,48.296463,4.3735294,0.0,0.0,0.9785714285714285,0.5515787916882349,3.183561,0.7495224
Msi2,48.139713,3.8692675,0.0,0.0,0.960204081632653,0.6405013680396362,2.8377903,0.7420254
Dtna,48.06988,3.1736474,0.0,0.0,0.9663265306122449,0.7442875101678622,2.9400032,1.0937752
Ntm,47.34348,2.96182,0.0,0.0,0.9877551020408163,0.8080307624047919,3.8342528,1.9182495
Rorb,47.14961,5.488493,0.0,0.0,0.9224489795918367,0.21718553575390076,2.5637834,0.23661342
Rgs20,46.682472,5.2204885,0.0,0.0,0.9132653061224489,0.2752347851808031,2.386785,0.23503326
Gm3764,46.150295,4.1950917,0.0,0.0,0.9244897959183673,0.5239591806551801,2.5035348,0.47801033
Tspan7,45.774387,3.1946645,0.0,0.0,0.9489795918367347,0.7394808844191377,2.83802,1.0139589
Prex2,45.718674,4.886324,0.0,0.0,0.9061224489795918,0.3703320269171042,2.4864733,0.31668293
Rora,45.419456,2.630067,0.0,0.0,0.9826530612244898,0.7941285217777121,3.2129939,1.5796366
Nfia,45.342155,2.8730788,0.0,0.0,0.9755102040816327,0.7296827627005842,2.9691377,1.258958
Slc4a4,45.29109,4.1019635,0.0,0.0,0.9295918367346939,0.49138504769651703,2.8966432,0.6914446
Mir99ahg,44.78178,2.2625775,0.0,0.0,0.9836734693877551,0.8697034681653479,3.5219247,2.0599794
Gabrb1,44.515514,2.1294222,0.0,0.0,0.9877551020408163,0.8393847519041633,3.3967967,2.0278614
Lama2,43.78081,4.983108,0.0,0.0,0.8816326530612245,0.19814390298010798,2.1439693,0.21364751
Grm3,42.820312,3.4520025,0.0,0.0,0.9346938775510204,0.563410485838941,2.7510693,0.8499578
Pitpnc1,42.716316,3.618289,0.0,0.0,0.9071428571428571,0.49197663240405237,2.3061318,0.55145
Macf1,42.392555,1.851108,0.0,0.0,0.9642857142857143,0.873918509206537,2.9337761,1.7805955
Sparcl1,42.325226,3.5271811,0.0,0.0,0.9295918367346939,0.5779412852177771,2.4464495,0.6496424
Gli3,42.125046,6.6239595,0.0,0.0,0.8071428571428572,0.05139392146713007,1.6896794,0.043816816
Bmpr1b,41.822834,5.1722927,0.0,0.0,0.8295918367346938,0.15432966057827405,1.8323882,0.13589399
Cpe,41.468075,2.237063,0.0,0.0,0.9663265306122449,0.8407527915403387,2.8278704,1.4758284
Farp1,41.209827,2.904248,0.0,0.0,0.8908163265306123,0.5895141610589366,2.1257021,0.68594074
Ctnnd2,41.138584,1.6524993,0.0,0.0,0.9877551020408163,0.8804998890778674,3.5018458,2.4190257
Sox6,40.964912,4.0469856,0.0,0.0,0.8959183673469387,0.2876580640390446,2.233735,0.4082782
Lsamp,40.269287,1.585349,0.0,0.0,0.996938775510204,0.9718627523478518,5.1201854,4.0331974
B3galt1,40.229385,1.8379403,0.0,0.0,0.9704081632653061,0.8476669378096576,3.0158346,1.8607087
Qki,39.85935,2.7222192,0.0,0.0,0.9806122448979592,0.8227834060489536,3.2223616,1.5369169
Hdac8,39.694252,2.770641,0.0,0.0,0.8785714285714286,0.6530355690305406,2.1223252,0.7309916
Gm6145,39.6291,6.6572375,0.0,0.0,0.7602040816326531,0.05339051985506175,1.5253435,0.035014946
Apoe,38.744774,4.266763,0.0,0.0,0.8469387755102041,0.32855135694742293,2.2755604,0.37410522
Arhgap5,38.128216,2.5282454,0.0,0.0,0.8959183673469387,0.6833173112475043,2.1022077,0.8088774
Ptn,38.03756,2.936946,0.0,0.0,0.8969387755102041,0.5897360053242624,2.2307699,0.7346574
Trps1,38.004658,2.6674902,0.0,0.0,0.9489795918367347,0.6714116690083561,2.6455967,1.1186318
Luzp2,37.981525,3.6087806,0.0,0.0,0.8785714285714286,0.5465133476299637,2.8837361,0.86866105
Mertk,37.930664,4.3735456,0.0,0.0,0.8061224489795918,0.1737410337942764,1.8583212,0.23201293
Slco1c1,37.31862,5.870473,8.18853334076801e-305,3.6670981811072744e-302,0.7285714285714285,0.05657028765806404,1.4815525,0.056485545
Nhsl1,37.001614,4.7312126,1.0786239316425701e-299,4.674616942457397e-297,0.7571428571428571,0.19577756414996672,1.6194162,0.14192243
Pla2g7,36.916676,5.2394047,2.4961704173601822e-298,1.064636493880446e-295,0.736734693877551,0.1065961694890187,1.441126,0.08193325
Gnao1,36.764297,1.9913771,6.870907271395993e-296,2.84032735972939e-293,0.8969387755102041,0.7695777564149967,2.1742005,1.085347
Gpm6b,36.749016,1.8155596,1.2054779439290841e-295,4.9077564171779534e-293,0.9346938775510204,0.8273312134881313,2.554725,1.4751214
Nckap5,36.661156,2.8117132,3.039112797655195e-294,1.2188203115372402e-291,0.8663265306122448,0.5621903423796495,2.0163367,0.65612364
Mir100hg,36.565876,2.0657148,9.975604147405061e-293,3.884702658561942e-290,0.9204081632653062,0.7217703172372995,2.3835135,1.2093034
