names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_ABC (for_DEGs),mean_expr_Rest (for_DEGs)
Bnc2,18.579107,10.453044,4.743352655661225e-77,1.274538858576171e-72,1.0,0.01673235399498388,3.3592577,0.019615311
Foxp2,18.271559,6.5831156,1.3940899423512231e-74,1.8729598375488682e-70,1.0,0.19878179863848083,3.141991,0.20784655
Slc38a2,17.733652,5.6315017,2.3055731512475146e-70,2.065025019134024e-66,0.9827586206896551,0.45087782156933,3.1725812,0.3793367
Cped1,17.344606,6.980417,2.1665938318750958e-67,1.4554094065620957e-63,0.9482758620689655,0.08656395557147975,2.2272468,0.06346898
Fbxl7,17.291115,4.939859,5.488124947233923e-67,2.94931834664351e-63,0.9741379310344828,0.37800071658903617,2.7058883,0.37505308
Foxp1,17.244293,3.237696,1.2351589368049639e-66,5.53145343865823e-63,1.0,0.7929415979935507,3.422813,1.4216188
Slc4a10,17.104982,4.072257,1.3624211266683082e-65,5.229750810511063e-62,0.9741379310344828,0.7722680042995342,3.9374697,1.3836643
Tmtc1,17.021189,3.7924943,5.719740446631453e-65,1.9211178225123396e-61,0.9827586206896551,0.5085274095306341,2.367038,0.5291915
Slc47a1,16.997437,11.681067,8.579131879748679e-65,2.5613474845427445e-61,0.9137931034482759,0.0026513794338946612,2.345554,0.0028704714
Adamtsl3,16.723072,8.481456,8.901085005907134e-63,2.391721541087247e-59,0.9051724137931034,0.04371193120745252,2.4073772,0.027879614
Phldb2,16.696615,6.425104,1.387116467633697e-62,3.3883472259379494e-59,0.9224137931034483,0.07807237549265496,1.953819,0.06809822
Stk39,16.397436,3.4212992,1.9948384707980363e-60,4.46677580919527e-57,0.9827586206896551,0.6357577929057685,2.4787998,0.7030792
Gulp1,15.879716,6.251422,8.757364040836632e-57,1.8100797829021561e-53,0.8793103448275862,0.07162307416696524,1.8620429,0.068933286
Eya2,15.793415,7.312964,3.4536308787824555e-56,6.628504408063184e-53,0.8620689655172413,0.04471515585811537,1.7152191,0.028261242
Tbx15,15.747882,8.286598,7.1020814850928195e-56,1.2722195300296272e-52,0.853448275862069,0.02551056968828377,1.8973277,0.017989017
Zfhx4,15.567673,4.0514126,1.2072028352535492e-54,2.0273462614539292e-51,0.9224137931034483,0.31082049444643495,1.83293,0.2751811
Msi2,15.527481,3.3239114,2.2608926496591473e-54,3.5735403233141935e-51,0.9655172413793104,0.6503762092439985,2.5989003,0.8078971
Rspo3,15.450869,4.4717145,7.443383408171873e-54,1.111131734319879e-50,0.9137931034482759,0.31580078824793983,1.9588443,0.24257156
Slc26a7,15.336916,9.171221,4.332963252758822e-53,6.127722242191028e-50,0.8275862068965517,0.011823719097097814,1.626906,0.007066016
Gpc6,15.184197,3.65035,4.500364173482189e-52,6.0462392670733205e-49,0.9827586206896551,0.5493729845933357,3.010926,0.9312017
Nxn,15.132178,5.547113,9.935215170930477e-52,1.2712344363947711e-48,0.853448275862069,0.1070584020064493,1.6731286,0.08854282
Pbx3,14.986895,4.1642046,8.943890271190563e-51,1.0923742344858656e-47,0.9137931034482759,0.3346470798996775,2.1282752,0.34554917
Ildr2,14.916457,3.2903633,2.575910831930924e-50,3.009335828434084e-47,0.9224137931034483,0.5417413113579362,2.0628214,0.5318087
Efemp1,14.851765,6.396301,6.776108147256897e-50,7.586417746533034e-47,0.8189655172413793,0.062450734503762095,1.4785821,0.039419692
Itgbl1,14.746029,4.7854133,3.2630755161905694e-49,3.507153564801624e-46,0.8620689655172413,0.21594410605517736,1.8382056,0.17534041
