names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Vwc2l,25.973267,5.101199,9.930141342052359e-149,2.668228978609469e-144,0.991869918699187,0.30460538197579917,2.6962955,0.33843902
Tshz2,25.12346,4.7878594,2.756657733894464e-139,3.703569665487213e-135,0.991869918699187,0.3919812172656673,3.0740633,0.55778164
Etl4,24.502686,3.3277721,1.3829263272521963e-132,1.2386410137755506e-128,0.991869918699187,0.7101679609897056,3.6144865,1.5257617
Olfm3,24.47698,4.076026,2.598073978655245e-132,1.7452561951616609e-128,0.991869918699187,0.3942929384143038,2.3551593,0.44828886
Hs3st4,24.097378,3.8332152,2.662998573825805e-128,1.4310954335739875e-124,0.9878048780487805,0.6018060321473723,3.4018943,1.1105719
Sntb1,23.866884,5.3440847,6.764107030059209e-126,3.029192598294849e-122,0.9186991869918699,0.08488351092649449,1.3891449,0.07151854
Sgcd,23.567472,3.7720647,8.311536262814785e-123,3.190442562597618e-119,0.983739837398374,0.7029438324002167,3.7128792,1.3675762
Gabrg3,23.274498,2.9915483,8.037288574938853e-120,2.6995243001075873e-116,0.991869918699187,0.6508939859129492,2.9377809,1.1778471
Cdh11,23.114971,2.3362143,3.273780599578634e-118,9.774053856741988e-115,0.9878048780487805,0.7258443200288965,2.5305128,1.1906462
Mcc,22.964449,3.6015768,1.0568641185711905e-116,2.8397938866007884e-113,0.9552845528455285,0.3097706339172837,1.556071,0.2685843
Cntnap4,22.766754,3.6622648,9.79343569127387e-115,2.392269245677535e-111,0.975609756097561,0.34625248329420266,2.0464694,0.42683947
Sox5,22.47288,2.797251,7.646950371808253e-112,1.7122796374207315e-108,0.983739837398374,0.617229546685931,2.6233695,1.0433962
Ssbp2,22.158464,2.0826206,8.64475804624042e-109,1.7868049900190776e-105,0.991869918699187,0.77074227921257,2.498684,1.2909492
Tle4,22.132927,2.7767043,1.5236187179783058e-108,2.9242596394340768e-105,0.9878048780487805,0.5798085605923785,2.0450644,0.6841179
Pcsk5,22.073414,3.115491,5.692654294132224e-108,1.0197441392222191e-104,0.975609756097561,0.45851544157486,2.0112782,0.55782104
Neto2,22.043766,3.0004876,1.0963010852675603e-107,1.8411006350712092e-104,0.967479674796748,0.4437059779664078,1.6784894,0.43469885
Mmp16,21.88611,2.0962715,3.5233333166717874e-106,5.568939189351231e-103,0.983739837398374,0.78699656853892,2.8630474,1.5814877
Arap2,21.813444,2.6990569,1.7295158616128709e-105,2.58178284452988e-102,0.9796747967479674,0.5756546866534225,1.976115,0.67142224
Xkr6,21.298529,2.4540763,1.1714143836639483e-100,1.6566265520552783e-97,0.9634146341463414,0.5821564023839624,1.8188413,0.663991
Gm28905,21.226357,3.5365982,5.452913310940558e-100,7.32598903324864e-97,0.8983739837398373,0.2900848835109265,1.457783,0.25003204
Tox,21.212065,3.2579825,7.389732993358148e-100,9.455339311025402e-97,0.967479674796748,0.4091746433086509,2.1195817,0.568702
Rai14,21.200378,3.5733473,9.473338771895748e-100,1.1570391490947217e-96,0.8861788617886179,0.17160917464330866,0.97613865,0.13011834
Asic2,21.177008,2.286896,1.5561001209690377e-99,1.817930880453828e-96,0.991869918699187,0.7902113057612425,3.2663147,1.819188
Chsy3,21.088207,2.5277426,1.0205566299374815e-98,1.1425981936008387e-95,0.9878048780487805,0.7016073686111612,2.7211838,1.2418829
Agbl4,20.910326,2.136007,4.312724667340839e-97,4.6353164724579334e-94,0.9878048780487805,0.7510204081632653,2.908623,1.597983
Opcml,20.693817,1.7409952,3.937684342564769e-95,4.0694453186428975e-92,0.9959349593495935,0.9253747516705797,4.2782674,3.103477
Grm8,20.480057,2.9169116,3.242801064409177e-93,3.227187577802762e-90,0.983739837398374,0.5112877009210764,2.3884015,0.8373926
Lrrtm3,20.430878,2.410498,8.88897877770782e-93,8.530244991321755e-90,0.9878048780487805,0.6239841069171032,2.2772906,0.972988
Kcnip1,20.180605,3.5078964,1.4495865215648195e-90,1.3431168908429895e-87,0.8699186991869918,0.22618746613689725,1.3507036,0.22428134
Samd5,20.162954,2.4338295,2.0713892379471677e-90,1.8552742941213468e-87,0.959349593495935,0.48015170670037927,1.6252844,0.5625112
Fut9,20.149416,1.9826473,2.7230633381736015e-90,2.3602810289266026e-87,0.9878048780487805,0.7485642044428391,2.319965,1.2004431
Nrg3,20.13832,1.3080118,3.406929836781455e-90,2.860756397322428e-87,0.991869918699187,0.9474083438685209,4.494194,3.6039176
Nrxn1,20.097355,1.2835957,7.783449534276377e-90,6.3376148177577655e-87,1.0,0.966516163987719,4.4888806,3.615142
Prr16,20.0657,2.6675882,1.4720406129730405e-89,1.1633450373701647e-86,0.9715447154471545,0.519703810727831,2.0439873,0.72167
Prickle1,19.75852,1.8075422,6.776150444732828e-87,5.202147498570603e-84,0.991869918699187,0.7401119739931371,2.2930224,1.2652272
Unc13b,19.701887,2.2072058,2.0772835771010862e-86,1.5504613810196162e-83,0.9349593495934959,0.5340798266209138,1.4452956,0.5319845
Grik3,19.579412,2.732742,2.3167675573907432e-85,1.682474169380791e-82,0.9186991869918699,0.35705255553548854,1.3324155,0.35048467
Trpc3,19.247692,3.73692,1.475938738449729e-82,1.0436440500564266e-79,0.7926829268292683,0.1392450785623984,0.80933785,0.08936946
Klhl1,19.19102,3.876759,4.3992791864582815e-82,3.030990557439334e-79,0.8008130081300813,0.17341520679068087,1.1342872,0.1341502
Mgat4c,18.818077,2.5974746,5.3697972120987315e-79,3.607161277227323e-76,0.9715447154471545,0.7335380169767022,3.1072085,1.5105035
Ptpru,18.654535,3.0497382,1.1600440537193518e-77,7.602532615472923e-75,0.8048780487804879,0.21549575582445368,0.76797074,0.13061495
Hivep1,18.538744,2.4973764,1.0054155746412488e-76,6.4322658310977046e-74,0.8821138211382114,0.3235325988802601,0.95440465,0.24908301
Sema5b,18.41958,3.379529,9.15087535022642e-76,5.71823303861823e-73,0.7967479674796748,0.18580458732165434,0.9804957,0.14847007
Pde4d,18.400627,1.8523246,1.2985411689816722e-75,7.929954820576712e-73,0.9878048780487805,0.8237673830594184,3.0416844,1.8752441
Frmpd4,18.377617,1.9436787,1.9849649046713205e-75,1.185244599744853e-72,0.991869918699187,0.832183492866173,3.3786461,2.1240218
Sgcz,18.36848,2.581032,2.348983998531106e-75,1.3721130443593657e-72,0.983739837398374,0.7458551562217808,3.3092492,1.6875261
Slc1a2,18.36489,1.9401816,2.5095731167282667e-75,1.4347282903508198e-72,1.0,0.7283366443922702,2.2899365,1.1977023
Sulf2,18.212425,2.5536363,4.113219542437547e-74,2.3025460230270186e-71,0.8577235772357723,0.31504424778761064,0.97750086,0.2487072
Xylt1,18.022062,1.9402336,1.3077725464552407e-72,7.17139761699027e-70,0.983739837398374,0.6389019324543976,1.9287529,0.9291738
Spon1,17.935951,2.2006576,6.179750590000144e-72,3.320997967066077e-69,0.943089430894309,0.4904099692974535,1.4684873,0.546476
Grid1,17.892681,1.5981792,1.344800689577191e-71,7.08525382920375e-69,0.983739837398374,0.7824814881704895,2.4738717,1.5238248
Fmn1,17.823586,2.0301538,4.636647248621161e-71,2.395898299431742e-68,0.9349593495934959,0.5268918186743724,1.4174658,0.56843024
Nrp2,17.679068,2.1174185,6.079396548492057e-70,3.082139344490218e-67,0.9146341463414634,0.43886581181145023,1.1460673,0.4018036
Pid1,17.67251,2.0956173,6.828902346418432e-70,3.398011223115986e-67,0.9390243902439024,0.5845764854614413,1.7464741,0.7455897
Stard5,17.54268,3.5025723,6.765912559581043e-69,3.30545582683532e-66,0.7317073170731707,0.13426042983565106,0.6541998,0.07834018
Grk5,17.430391,2.5358794,4.8512691747762766e-68,2.3277429058256883e-65,0.8252032520325203,0.28752031786165794,0.8382712,0.20399933
Dync1i1,17.409824,1.5863194,6.949629659381623e-68,3.2760798060979683e-65,0.975609756097561,0.7159111432183493,2.0410194,1.172705
