names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OPC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Lhfpl3,47.615604,5.9312143,0.0,0.0,0.9854014598540146,0.46006861190010695,3.8437462,0.55900747
Ptprz1,45.323425,4.577874,0.0,0.0,0.9829683698296837,0.5546128591980523,3.3363616,0.7586659
Tnr,45.16305,3.4230187,0.0,0.0,0.9817518248175182,0.7307536242576266,3.38094,1.2940826
Sox6,44.757572,5.1421065,0.0,0.0,0.9683698296836983,0.2897561695377919,2.9086246,0.39931726
Dscam,44.414165,2.9800575,0.0,0.0,0.9805352798053528,0.7500092220295843,3.322278,1.4786307
Xylt1,44.252117,3.6019974,0.0,0.0,0.9683698296836983,0.6320410195875908,2.895447,0.8786235
Pcdh15,43.990444,3.4249794,0.0,0.0,0.98661800486618,0.7355490796414474,3.715638,1.5543758
Nxph1,43.09945,4.8346505,0.0,0.0,0.9817518248175182,0.40532664428787485,3.3069682,0.6532408
Zeb1,43.088413,3.3486724,0.0,0.0,0.9635036496350365,0.6871149802648567,2.805378,0.92616165
Grid2,42.693233,2.751381,0.0,0.0,0.9854014598540146,0.8076284628721089,3.4672346,1.7247117
Lrrc4c,42.576756,2.3696387,0.0,0.0,0.98661800486618,0.9131653694345051,4.156051,2.5768108
Gpc5,42.29624,4.2518845,0.0,0.0,0.9793187347931873,0.6030100704563061,3.690308,1.1151438
Epn2,41.902218,3.3497987,0.0,0.0,0.9379562043795621,0.6379800066398613,2.4015658,0.68553585
Sox2ot,41.634716,4.136384,0.0,0.0,0.9647201946472019,0.4516581209192519,2.9993064,0.7345071
Luzp2,41.04358,3.5514534,0.0,0.0,0.9695863746958637,0.5467188018739164,2.8673463,0.88170516
Pdgfra,39.138058,6.3631954,0.0,0.0,0.8211678832116789,0.06503375262827843,1.7123837,0.053707514
Npas3,38.439686,3.3820572,0.0,0.0,0.9695863746958637,0.5731675827216054,2.905949,0.9774648
Brinp3,38.334126,3.1869986,0.0,0.0,0.9549878345498783,0.6213434652698366,2.8732955,1.0414054
Pcdh11x,37.618042,3.4851058,1.09007162751375e-309,1.541590770068127e-306,0.8990267639902676,0.4266848648050463,2.1234083,0.50516135
Gm4876,37.490376,4.6994166,1.321610969297109e-307,1.7755843372506657e-304,0.8236009732360098,0.21203290420155668,1.7292644,0.16420344
Vcan,37.079163,4.9221606,6.088489246220664e-301,7.790366954569012e-298,0.8138686131386861,0.17643587000627098,1.7416903,0.1443146
Ptprt,36.862587,2.8231812,1.8384090072472703e-297,2.147741305423224e-294,0.9659367396593674,0.6099819248220149,2.71316,1.0949509
Maml2,36.701702,3.0871334,6.860467891986125e-295,7.680865510736133e-292,0.9367396593673966,0.5300084842672176,2.406347,0.7828604
Cacng4,36.35091,5.36307,2.5419392363531673e-289,2.732076291232384e-286,0.781021897810219,0.12420229444096056,1.505222,0.08173211
Nckap5,35.24727,2.9002812,3.778173049592257e-272,3.759981846020146e-269,0.8868613138686131,0.5644619867940537,2.081186,0.6624271
Erbb4,34.958317,3.1611059,9.680744101963569e-268,9.290056929277181e-265,0.9890510948905109,0.7119037957873768,3.4826818,1.509997
Csmd3,34.892124,1.4557235,9.787760813166764e-267,9.068866656889342e-264,0.9890510948905109,0.8978199122062783,3.4915037,2.5341988
Slc35f1,34.881878,2.4226918,1.3997496317970887e-266,1.2537090868795926e-263,0.9294403892944039,0.6469069312774356,2.3295043,1.0041052
Lsamp,34.831406,1.3596653,8.142701190585854e-266,7.057883257775545e-263,0.9963503649635036,0.972223246892176,4.9769597,4.0452642
Usp24,34.746685,2.5891466,1.555427051241145e-264,1.306072652089049e-261,0.8637469586374696,0.6371315799181084,1.8578008,0.6413254
Arhgap31,34.465134,4.3826957,2.6721073305790437e-260,2.1757431506866335e-257,0.7798053527980535,0.18606366889224982,1.5536066,0.164442
Sema6d,34.363167,2.2623727,8.95594682973401e-259,7.077832097498613e-256,0.9416058394160584,0.6988085137777122,2.409966,1.1353045
Sgcd,34.18628,2.4046519,3.866944193204012e-256,2.968708299182623e-253,0.9574209245742092,0.6977756464642738,2.7758293,1.3461555
Rev3l,33.921867,1.982534,3.1713809788664224e-252,2.3670835250594656e-249,0.8978102189781022,0.7387214578184367,2.0492382,0.99734867
Cspg4,33.776237,5.963838,4.404739477743743e-250,3.1987932369452535e-247,0.7141119221411192,0.05319266664207459,1.2557738,0.03943518
Qki,33.700634,2.3649492,5.658048594782207e-249,4.0008359405736283e-246,0.9829683698296837,0.8250765428455494,3.0073133,1.5546818
Fchsd2,33.65578,2.4234927,2.566437055169797e-248,1.7682093249336522e-245,0.889294403892944,0.6375373492198163,1.9371871,0.74531054
Pid1,33.24618,2.5546384,2.3180237603446674e-242,1.5571324610115303e-239,0.8686131386861314,0.57918034601055,1.9693046,0.71756697
Kcnd2,32.791912,1.5221548,7.678828406050724e-236,5.032441933428853e-233,0.9878345498783455,0.9105463130325722,3.849212,2.8332272
Chst11,32.772957,3.0057378,1.4302618091491357e-235,9.15027019329459e-233,0.8077858880778589,0.46099081485853405,1.5908251,0.39644793
Itpr2,32.497288,3.704355,1.1646150245295408e-231,7.277489699792736e-229,0.7773722627737226,0.20985650521966875,1.4426981,0.22150166
Adgrl3,32.43706,1.4181204,8.245257946954679e-231,5.035229114424369e-228,0.9854014598540146,0.8803349441145008,3.289008,2.3665318
Anks1b,32.22916,1.2463119,6.892301459272708e-228,4.115469782459059e-225,0.9854014598540146,0.9010291785016047,3.578332,2.7520528
Nova1,32.134804,2.8820891,1.44005279475983e-226,8.411786651129703e-224,0.8077858880778589,0.49190305802501016,1.5992463,0.42898893
Zfp462,31.921648,2.4830172,1.3372565779086375e-223,7.645124308171296e-221,0.8284671532846716,0.557563908665019,1.7768052,0.6304303
Cspg5,31.79253,3.2134452,8.210115523944901e-222,4.595954252674989e-219,0.791970802919708,0.3987236711055369,1.5447072,0.33464977
Cntn1,31.722383,1.4572624,7.634725643019009e-221,4.102901560558415e-218,0.9598540145985401,0.825777417093954,2.6346316,1.7425442
Adarb2,31.691206,2.6859555,2.0536722585945415e-220,1.0820034036948102e-217,0.9452554744525548,0.5712125124497399,2.5529282,1.0440272
Adam12,31.637383,3.6970222,1.130887757784023e-219,5.84364500993398e-217,0.7518248175182481,0.2838540706038585,1.4908371,0.23531349
Sntg1,31.312687,1.5382825,3.1354145163315356e-215,1.5601590380338584e-212,0.9708029197080292,0.8098048618539968,2.8418067,1.8808708
Astn2,30.947216,2.1944814,2.769445519456243e-210,1.3206187550657743e-207,0.9233576642335767,0.6262864731270058,2.19462,1.0089275
Rora,30.37876,1.6788286,1.0481826787231368e-202,4.8559773409121865e-200,0.948905109489051,0.797521118447748,2.6237867,1.6082563
Mir9-3hg,30.372993,2.91693,1.2490324145904604e-202,5.688389996617911e-200,0.7700729927007299,0.4712088236379062,1.4855351,0.37327504
Sh3d19,30.099344,2.468081,4.941997147719037e-199,2.141797796116299e-196,0.8065693430656934,0.53465638717769,1.5786458,0.5279927
Mdga2,29.673912,1.1114676,1.6672862277535382e-193,6.999997021833995e-191,0.98661800486618,0.9106200892692464,3.4637125,2.7289956
Klf12,29.36127,1.7839099,1.7156968382429524e-189,6.880712543819124e-187,0.902676399026764,0.7113504740123207,2.0059018,1.0536311
Sox5,29.31953,2.063271,5.847123154655772e-189,2.3104735171411853e-186,0.9136253041362531,0.6115681139105095,2.1358588,1.0246073
Cask,29.283468,1.731796,1.684149505538958e-188,6.55841988606258e-186,0.8661800486618005,0.7324504777011325,1.8752031,0.9792974
Kcnh8,29.138332,5.403566,1.1742434197010808e-186,4.4439324911785976e-184,0.6265206812652068,0.06215647939798591,1.055966,0.043337446
Pde4b,28.8004,1.9255424,2.120365311865677e-182,7.804687113675443e-180,0.9537712895377128,0.7579032793537201,2.796774,1.6197317
