names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Mir99ahg,9.504428,0.495009,2.0114980855173752e-21,1.1175883363134538e-17,0.9865229110512129,0.9819376026272578,3.3957324,3.7290647
Gm28175,8.220613,2.3562987,2.0246714567381078e-16,5.624537306818464e-13,0.4393530997304582,0.1592775041050903,0.23503065,0.85725236
Grik2,7.8728704,0.6329316,3.4659491689830664e-15,6.4189378609566386e-12,0.8921832884097035,0.8932676518883416,2.0865328,2.4801672
Gm29260,6.631286,3.3179843,3.3277473721629855e-11,2.0543293777486164e-08,0.29649595687331537,0.05090311986863711,0.08114217,0.61136395
Slc7a11,5.2322927,0.684886,1.6742028488328627e-07,4.89572159374494e-05,0.7250673854447439,0.6584564860426929,1.316147,1.6840098
Gm38604,5.1970415,1.4480975,2.0248501086946657e-07,5.6250336019537815e-05,0.37735849056603776,0.21510673234811165,0.31846455,0.7046907
Nfib,4.975995,0.29487032,6.491335509745825e-07,0.00015027441705061582,0.9326145552560647,0.9359605911330049,2.3035111,2.489258
Nr2f1,4.8147473,0.87544614,1.4738641130492392e-06,0.00029245675043219904,0.4797843665768194,0.39408866995073893,0.56115603,0.86746997
Meis2,4.4741025,0.5394983,7.6732945724768e-06,0.0012539066071965029,0.6630727762803235,0.6568144499178982,1.2648487,1.5466087
Zbtb20,4.2432833,0.19688553,2.2027325322766512e-05,0.002929050781063178,0.9946091644204852,0.9885057471264368,3.569326,3.7021945
Ptprz1,4.1917443,0.15767132,2.7681786260716316e-05,0.003417777876989774,0.967654986522911,0.9852216748768473,3.143878,3.2486944
Npas3,4.1685925,0.20845446,3.0648626559155737e-05,0.00370182106875368,0.9892183288409704,0.9852216748768473,3.5117464,3.652214
Fam172a,3.9534793,0.39965704,7.702296279129913e-05,0.006942654013261319,0.6819407008086253,0.6962233169129721,1.2209935,1.4239761
Naaladl2,3.9340503,0.32913554,8.352627323798442e-05,0.007366221811273672,0.7439353099730458,0.7881773399014779,1.6434317,1.8313383
Phkg1,3.8134053,0.4406869,0.00013706502283529772,0.009767846041221946,0.6792452830188679,0.6568144499178982,1.1373187,1.3545955
Macf1,3.7959542,0.15612939,0.00014707658759870637,0.010130194937276092,0.9595687331536388,0.9671592775041051,2.894963,2.9974961
Mctp1,3.6391275,0.9683455,0.0002735633807053503,0.015669259208236353,0.38544474393531,0.3103448275862069,0.4563231,0.75678897
Gabra2,3.6151614,0.36230046,0.0003001606293508879,0.01651180650171815,0.7142857142857143,0.7241379310344828,1.379113,1.5726973
Nfia,3.1217618,0.13709784,0.0017977236715004247,0.04825194550172155,0.9703504043126685,0.9786535303776683,2.9349883,3.0251896
Tcf4,2.972148,0.11144867,0.002957241001930267,0.06572172402689826,0.9649595687331537,0.9802955665024631,2.9326365,3.0059206
Ptn,2.9310799,0.1443613,0.0033778596155776665,0.07108859100056635,0.8787061994609164,0.9080459770114943,2.1969182,2.286342
Tnfaip8,2.7394671,0.96205986,0.006153885321500613,0.10183094063246605,0.2803234501347709,0.20525451559934318,0.28235313,0.49198428
