names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Nestin_Control (for_DEGs),mean_expr_Nestin_Mutant (for_DEGs)
Tenm2,9.556286,0.94247514,1.220587368676832e-21,5.1594228073969684e-18,0.9955156950672646,3.213438,3.847234
Mir99ahg,8.385636,1.347602,5.0452066530640666e-17,1.421739234833454e-13,0.874439461883408,1.5202223,2.311891
Ptprd,7.1814585,0.49726674,6.897163831632884e-13,8.329803290374915e-10,0.9955156950672646,3.7237606,4.061375
Csmd1,7.046249,0.6041787,1.8380564031435047e-12,1.9423661040218987e-09,0.9955156950672646,3.480656,3.8888514
Ralyl,6.850556,0.9152276,7.356346871844401e-12,6.219055645457256e-09,0.8878923766816144,1.9787639,2.5460098
Celf2,6.7646527,0.4648631,1.336291372428051e-11,1.0270006602278859e-08,0.9955156950672646,3.6744168,3.9896274
Snhg11,6.5709324,0.8553544,5.0001091831727254e-11,3.522576919545185e-08,0.8475336322869955,1.8429573,2.3623848
Tenm4,6.4337506,1.0864762,1.244931153530543e-10,7.16986450655379e-08,0.7623318385650224,1.2327996,1.8183954
Nav2,6.432655,1.2190939,1.2539418248411776e-10,7.16986450655379e-08,0.7623318385650224,1.1723275,1.8229821
Asic2,6.4304633,0.98487496,1.272154809537578e-10,7.16986450655379e-08,0.8026905829596412,1.5593785,2.1321983
Frmd4a,6.418411,0.84997284,1.3770434495805436e-10,7.275953326721197e-08,0.8430493273542601,1.8243197,2.3389423
Marchf1,6.3794036,0.94029516,1.7777887658177515e-10,8.840838956601923e-08,0.8654708520179372,1.7177109,2.2796075
Kcnq5,6.3307543,1.0985328,2.4396535391572646e-10,1.1458239455575286e-07,0.8565022421524664,1.6801097,2.3369398
Car10,6.2187734,1.1046635,5.010557765630289e-10,2.117962767531923e-07,0.7130044843049327,1.0273331,1.580447
Prr16,6.2108846,1.3604996,5.268719086892954e-10,2.121035769552049e-07,0.600896860986547,0.5043352,0.98736036
Lrch1,6.168152,1.3783748,6.909268155821122e-10,2.6550433176959897e-07,0.5829596412556054,0.34443206,0.7270597
Kcnma1,6.068662,0.7344424,1.2898010220377864e-09,4.740859930568455e-07,0.8565022421524664,1.9494144,2.400021
Meg3,5.99788,0.7018552,1.9991042809261324e-09,7.041844829562301e-07,0.9327354260089686,2.9698339,3.436359
Hecw2,5.988676,1.1577392,2.115562936680309e-09,7.153987626678133e-07,0.6367713004484304,0.74404365,1.2424421
Lingo2,5.9687343,0.6929816,2.3910144388359686e-09,7.486531876266399e-07,0.9596412556053812,2.665648,3.1190975
Kcnk10,5.9569006,1.4868562,2.5706668145095896e-09,7.761577589237168e-07,0.4977578475336323,0.18676773,0.45459953
Khdrbs2,5.948573,1.1089627,2.7049003286655948e-09,7.885250820185841e-07,0.6995515695067265,0.93013066,1.4610552
Hivep3,5.873189,1.0954003,4.274912773477196e-09,1.1776966123888457e-06,0.7309417040358744,0.9635277,1.4959272
Gm26871,5.869025,0.907722,4.3836514986099796e-09,1.1776966123888457e-06,0.8071748878923767,1.6112223,2.1425428
Ppfia1,5.861136,1.4120282,4.5971123975434e-09,1.1776966123888457e-06,0.45739910313901344,0.13745344,0.33082062
Dpp10,5.836154,0.524964,5.341953318874448e-09,1.3282609811107232e-06,0.9596412556053812,2.9472969,3.295037
Anks1b,5.8170886,0.61225355,5.988135755713915e-09,1.4463914193944414e-06,0.9103139013452914,2.4493487,2.843413
A830082K12Rik,5.752223,1.4203396,8.807745678991925e-09,1.9291531011405826e-06,0.49327354260089684,0.24860825,0.5627026
Dnm2,5.75047,1.2457519,8.899570729179409e-09,1.9291531011405826e-06,0.5426008968609866,0.27042654,0.5518034
Frmpd4,5.7316236,0.81419176,9.947365788395191e-09,2.0022626279784035e-06,0.8789237668161435,1.9861706,2.4895225
Kcnb2,5.654048,1.0022776,1.5671233513243157e-08,3.0574510770551455e-06,0.7623318385650224,1.2944982,1.8416122
Ext1,5.651418,1.072883,1.5912922568065578e-08,3.0574510770551455e-06,0.7399103139013453,1.048807,1.5893679
2610037D02Rik,5.638051,1.4240968,1.71985758150419e-08,3.225781104835123e-06,0.48878923766816146,0.19461134,0.45521492
Opcml,5.6345444,0.67949337,1.7552156472961397e-08,3.225781104835123e-06,0.968609865470852,2.9480221,3.3991163
Etv5,5.6308193,1.4395974,1.7935569023248504e-08,3.22611277707538e-06,0.452914798206278,0.16002774,0.3857577
Dlgap2,5.61789,0.8450865,1.9330362819929122e-08,3.4045601516600165e-06,0.8251121076233184,1.7946988,2.303944
2210408I21Rik,5.6113157,1.0859498,2.00794109321499e-08,3.4643130616407197e-06,0.6547085201793722,0.64388484,1.0711366
Nyap2,5.557407,1.108586,2.7381169639103312e-08,4.4683379633684846e-06,0.6098654708520179,0.575241,0.98457813
Fgf12,5.55675,0.6806861,2.7484453997535034e-08,4.4683379633684846e-06,0.8251121076233184,1.8654755,2.2772925
Shank1,5.5065665,1.1726769,3.65899938481151e-08,5.8235009618530696e-06,0.5381165919282511,0.34807804,0.6619451
Cbl,5.501745,1.0760624,3.760498772061115e-08,5.8235009618530696e-06,0.5560538116591929,0.31730482,0.58069164
Atp8a2,5.5004306,1.0848051,3.788650968794876e-08,5.8235009618530696e-06,0.6053811659192825,0.50467587,0.87229115
Gm28307,5.4877205,0.72514206,4.071540099819289e-08,6.146571429262906e-06,0.5919282511210763,0.47113922,0.6905655
Hdac9,5.4688745,1.0284816,4.529029607442123e-08,6.66017060908987e-06,0.7354260089686099,1.1663424,1.7063092
B830012L14Rik,5.465368,1.2176359,4.6194748689679554e-08,6.66017060908987e-06,0.5560538116591929,0.44060615,0.8275007
Il1rapl2,5.4642725,1.0532405,4.648096356000737e-08,6.66017060908987e-06,0.6681614349775785,0.7097102,1.1456549
Pdzrn3,5.415404,1.2101262,6.11505045304092e-08,8.616106088334657e-06,0.5381165919282511,0.41493574,0.7838157
Apba1,5.36281,1.0987948,8.193710990114722e-08,1.1355677493513092e-05,0.6143497757847534,0.6040209,1.0211922
Dlg2,5.320735,0.47010195,1.0334876864179524e-07,1.4092104678995757e-05,0.9910313901345291,3.6086752,3.9269645
Gm40841,5.312846,1.2455611,1.0792619145953986e-07,1.441154057997762e-05,0.48878923766816146,0.22832915,0.47510707
Sptbn4,5.310874,1.0574374,1.0910085132701297e-07,1.441154057997762e-05,0.5695067264573991,0.43784833,0.7623773
Pcnx2,5.3067102,1.0653591,1.1162145940690129e-07,1.4517658735783745e-05,0.48878923766816146,0.2706806,0.50109404
A230006K03Rik,5.294219,0.9816023,1.195260401726633e-07,1.5310199145752962e-05,0.6681614349775785,0.87891716,1.3299601
Sergef,5.2587185,1.2079743,1.4506287481814695e-07,1.830390363750171e-05,0.48878923766816146,0.22663788,0.46224913
Flrt2,5.2536783,1.0755805,1.490913592254814e-07,1.853556398370911e-05,0.5964125560538116,0.4992579,0.860629
Gak,5.2495146,1.0532502,1.5250064969888923e-07,1.8684644819629125e-05,0.4977578475336323,0.24145547,0.4489963
Mtus2,5.2232175,1.1080472,1.7584059161812888e-07,2.113663459054306e-05,0.5605381165919282,0.44090173,0.78590864
Slc8a1,5.2214646,0.74880195,1.775137279309862e-07,2.113663459054306e-05,0.8789237668161435,2.0714352,2.538098
Mgat4a,5.208535,1.073193,1.90337315527552e-07,2.2348773131526732e-05,0.49327354260089684,0.25745064,0.4810785
Gm45159,5.1971397,1.0806834,2.0237814806416375e-07,2.342191779275512e-05,0.5022421524663677,0.23129395,0.43851015
Nlgn1,5.1947293,0.38603863,2.0501796979700484e-07,2.342191779275512e-05,0.9775784753363229,3.343196,3.6024518
Pknox2,5.1640496,1.0810629,2.4166364206062144e-07,2.724032573307325e-05,0.5112107623318386,0.33919144,0.6175083
Safb2,5.1452036,1.2208233,2.6723098971988444e-07,2.971688329097659e-05,0.4349775784753363,0.16454746,0.348461
Mysm1,5.1423545,1.1526461,2.7131632635700367e-07,2.971688329097659e-05,0.484304932735426,0.21975149,0.43592507
Thrb,5.1403823,1.0396521,2.741799026136946e-07,2.971688329097659e-05,0.6457399103139013,0.76148933,1.207928
Miat,5.1193447,1.1559912,3.065988233580586e-07,3.2809955097076294e-05,0.4977578475336323,0.3164226,0.6040006
Cep120,5.1167154,1.1983238,3.1090252662336973e-07,3.285462450092459e-05,0.452914798206278,0.16607136,0.34681836
Ranbp10,5.105539,1.4248687,3.298529056360044e-07,3.4426869928972606e-05,0.4304932735426009,0.13169505,0.32058072
Fmn1,5.102252,1.1222392,3.356355710409721e-07,3.460320875098022e-05,0.5067264573991032,0.31939787,0.5983664
Fat3,5.089761,0.9819726,3.5851528503189127e-07,3.6516725538067574e-05,0.7443946188340808,1.0945947,1.5946444
Galnt9,5.083625,1.2464348,3.7029876775773694e-07,3.6957230891989324e-05,0.4484304932735426,0.1650447,0.35469317
Pkd1,5.0829678,1.1509384,3.715832299289203e-07,3.6957230891989324e-05,0.5112107623318386,0.29257166,0.5623019
Trrap,5.059081,0.9831731,4.212814438007981e-07,4.0984001569234786e-05,0.5112107623318386,0.2748319,0.4856818
Lin28b,5.058862,1.4437777,4.217658074903509e-07,4.0984001569234786e-05,0.39461883408071746,0.115495965,0.28746885
Zfat,5.054041,1.1906091,4.325587558879326e-07,4.1555133207688435e-05,0.43946188340807174,0.15485685,0.32374614
Carmil3,5.0496583,1.6891415,4.4260137166278026e-07,4.2042157258844315e-05,0.3452914798206278,0.060497396,0.18324165
Rap1gap2,5.040016,1.1623926,4.654930070483078e-07,4.3725309795404376e-05,0.4977578475336323,0.26997772,0.526929
Rbms3,5.036729,1.0503469,4.7355483734872105e-07,4.399376477962734e-05,0.5919282511210763,0.52528983,0.88829184
Kctd16,5.027525,0.7813345,4.968508589016905e-07,4.565627349081404e-05,0.8340807174887892,1.7832243,2.2519183
Cntn4,5.0227036,0.9868263,5.094907311115567e-07,4.6136484916160266e-05,0.7219730941704036,1.1201373,1.6278676
Lncpint,5.021389,0.9611483,5.129914338915383e-07,4.6136484916160266e-05,0.6816143497757847,0.8500932,1.2833
Ppm1h,5.0187593,0.98861754,5.200625548427549e-07,4.6280093038322635e-05,0.6143497757847534,0.55689245,0.9077616
