names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Kcnip4,9.3379135,2.7446089,9.825082901071362e-21,3.6284031153656543e-17,0.9959349593495935,1.5325915,3.2319758
Cntnap2,9.250118,2.7821355,2.2424396452173202e-20,4.5693424983592355e-17,0.943089430894309,0.874266,2.3618286
Nkain2,9.239583,3.0098765,2.4745965330946304e-20,4.5693424983592355e-17,0.9308943089430894,0.87589663,2.508397
Ptprd,8.852113,2.3063877,8.587778052208547e-19,7.928666086701542e-16,0.9878048780487805,1.677691,3.1149673
Nrg1,8.6870575,2.9997692,3.719475258396379e-18,2.990155188321658e-15,0.8048780487804879,0.500288,1.8233776
Dlg2,8.673595,2.5145001,4.186851187670024e-18,2.990155188321658e-15,0.9878048780487805,1.4875371,3.0241842
Cmss1,8.4429865,2.0808148,3.093307664985144e-17,1.9039308677983563e-14,0.8983739837398373,1.1096929,2.2620058
Tenm2,8.356947,2.5081139,6.436215425645249e-17,3.551805175600164e-14,0.9308943089430894,1.11752,2.5418599
Opcml,8.343485,2.586326,7.213251778229415e-17,3.551805175600164e-14,0.9186991869918699,0.949204,2.3524122
Nrg3,8.142141,2.4160998,3.8834824663046955e-16,1.59352230534036e-13,0.9634146341463414,1.3942665,2.8439014
Galntl6,8.120485,2.7189164,4.643246382348546e-16,1.805000935790861e-13,0.7967479674796748,0.5750902,1.811156
Dpp10,8.014545,2.2548053,1.1054530125373079e-15,3.9627921979003624e-13,0.8983739837398373,0.907381,2.0860715
Lrrtm4,8.001083,2.437552,1.2332936966062972e-15,4.140503292333687e-13,0.959349593495935,1.1342189,2.5195918
Fgf14,7.934944,2.4530249,2.10590187191159e-15,6.480913010807919e-13,0.9146341463414634,1.0026554,2.3464336
Nrxn3,7.8067627,2.1746929,5.867552009784319e-15,1.605101449787666e-12,0.9390243902439024,1.2162459,2.4613483
Nlgn1,7.775742,2.2715063,7.500653532153032e-15,1.9103388616718035e-12,0.967479674796748,1.3741937,2.7247446
Naaladl2,7.680923,2.1621816,1.5794657780877228e-14,3.645604449048725e-12,0.9065040650406504,1.0365176,2.2130315
Lingo2,7.56913,2.339236,3.7573170207515606e-14,7.92901243293458e-12,0.8739837398373984,0.8304426,2.0215178
Nrxn1,7.377151,2.2403986,1.6171265035670068e-13,3.062588809063054e-11,0.9878048780487805,1.631191,3.0165489
Lars2,7.325059,1.9969077,2.387935932195384e-13,4.409323698798777e-11,0.8130081300813008,0.83937156,1.8323225
Adgrb3,7.257164,2.2503486,3.9529048420866844e-13,6.951465515155297e-11,0.9227642276422764,1.2093517,2.500411
Il1rapl1,7.2483845,2.1944566,4.2177214158303045e-13,7.244672180772705e-11,0.8861788617886179,1.0005107,2.1828122
Nalf1,7.2448726,2.284617,4.3284588268734154e-13,7.26590838529251e-11,0.8455284552845529,0.8425771,2.0072634
Erbb4,7.219119,2.6888885,5.23253385126119e-13,8.588332227870033e-11,0.6788617886178862,0.37150633,1.3612684
Lsamp,7.1980486,1.9868288,6.108046057413075e-13,9.807397430446298e-11,0.9959349593495935,2.1896734,3.4794176
Pcdh9,7.077476,1.9781187,1.4680347481527153e-12,2.1260597352658736e-10,0.983739837398374,1.8964504,3.1487918
Dcc,7.0429435,2.4057567,1.8822085649310954e-12,2.623017445392655e-10,0.7154471544715447,0.49287048,1.4760419
Phactr1,7.0084105,1.9469237,2.4104082565006043e-12,3.296902848613604e-10,0.8495934959349594,0.87110186,1.8496195
Lrrc4c,6.992022,2.1001248,2.7095241734071267e-12,3.6386446445063705e-10,0.8495934959349594,0.8964723,1.9769746
Csmd1,6.96861,2.052518,3.200879204900768e-12,4.2217310370351917e-10,0.926829268292683,1.4269804,2.6485782
Hs6st3,6.961001,2.5433207,3.378634834781558e-12,4.320431055395014e-10,0.6869918699186992,0.4463989,1.4539522
Kcnd2,6.939345,2.1907063,3.939227059218589e-12,4.931378145659068e-10,0.8861788617886179,0.99965024,2.179299
Lrp1b,6.897203,2.084246,5.30363706922313e-12,6.42174809725935e-10,0.943089430894309,1.2754554,2.4800608
Celf2,6.6724467,1.7790929,2.5157310381297742e-11,2.654455635375216e-09,0.967479674796748,2.039648,3.1761181
Ccser1,6.65957,2.1304822,2.746294321555457e-11,2.856919698451916e-09,0.7682926829268293,0.642452,1.5985289
Mdga2,6.63967,2.097005,3.143863024331692e-11,3.225079485793594e-09,0.8495934959349594,0.93916726,2.0366387
Epha6,6.628549,1.8947144,3.3900210113287405e-11,3.4299582451608324e-09,0.8902439024390244,1.0573738,2.0777266
Tafa1,6.6232815,2.0934138,3.513110913174298e-11,3.506464487122347e-09,0.7560975609756098,0.64700454,1.5856944
Dlgap1,6.529633,1.9081194,6.593099161232192e-11,6.3242377149170085e-09,0.8821138211382114,1.0742586,2.1084533
Kcnh7,6.4389114,2.315695,1.2033353188832778e-10,1.1394659827271653e-08,0.6463414634146342,0.39770576,1.232998
Magi2,6.3932576,1.7553622,1.6238827128330032e-10,1.4807404588869831e-08,0.9024390243902439,1.4052061,2.4323976
Rbfox1,6.376284,1.7820094,1.8143645856270347e-10,1.6075782693483428e-08,0.9552845528455285,1.6471137,2.7354321
Cadm2,6.335313,1.8562256,2.368603437882311e-10,2.0342447665347386e-08,0.9796747967479674,1.7964123,2.9551337
Fgf12,6.1843047,1.9559216,6.23767735952557e-10,4.7496376265418414e-08,0.7154471544715447,0.59887934,1.4306947
Sgcz,6.1843047,2.2598927,6.23767735952557e-10,4.7496376265418414e-08,0.6260162601626016,0.36693725,1.1388729
Grin2a,6.1503572,1.9816947,7.730864263991472e-10,5.758747112499832e-08,0.7317073170731707,0.6897136,1.5938148
Csmd3,6.148601,2.0077515,7.816920626331246e-10,5.758747112499832e-08,0.7439024390243902,0.6884954,1.6062775
Ralyl,6.057294,1.9279171,1.3843034908008468e-09,9.926665614616557e-08,0.7235772357723578,0.62211585,1.4547122
Lrrc7,6.018079,1.9368469,1.7649921574118677e-09,1.2415459118708625e-07,0.7479674796747967,0.70989794,1.6010076
Grik2,5.9870577,1.8473517,2.136708286127753e-09,1.4749277945177183e-07,0.8130081300813008,0.9441101,1.8948208
Dlgap2,5.9267716,2.2146933,3.089480466865784e-09,2.0374020293098822e-07,0.6138211382113821,0.41461858,1.2193358
Unc5c,5.913895,1.9286593,3.3411084915538343e-09,2.1838431255412938e-07,0.6788617886178862,0.633052,1.4731418
Nav3,5.857706,1.828979,4.693044813073728e-09,2.9881749128760827e-07,0.7682926829268293,0.85781765,1.7621266
Xkr4,5.8120522,1.9378483,6.171150696175243e-09,3.830262104365575e-07,0.6829268292682927,0.5906393,1.4072657
Camk1d,5.7868843,1.03128,7.1703877221533065e-09,4.341023255395436e-07,0.9471544715447154,2.19665,2.8530233
Cntn5,5.778105,2.1407013,7.554670979610883e-09,4.4999032141456436e-07,0.5975609756097561,0.41601977,1.1863382
Syt1,5.6224146,1.4263662,1.8830681662829486e-08,1.0302475167530266e-06,0.9512195121951219,1.6461529,2.5057974
