names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OB-out Frmd7 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,10.702597,5.565955,9.896493021480906e-27,2.65918767487192e-22,0.9090909090909091,0.4213301764959105,3.9403956,0.72500664
Msi2,9.428627,3.2715025,4.154902021486372e-21,5.1400183112554565e-17,0.8727272727272727,0.652712010331468,2.5738556,0.8130293
Sox5,9.394688,2.7938132,5.73876253582671e-21,5.1400183112554565e-17,0.8909090909090909,0.6199239489166308,2.636585,1.0541959
Sox2ot,9.297767,3.9467192,1.4342718261784807e-20,9.634720992353945e-17,0.8727272727272727,0.4659563782465203,2.9851663,0.79684985
Pcbp3,9.244292,4.105088,2.3680359757502605e-20,1.2725825333681898e-16,0.8181818181818182,0.479911034581719,2.20287,0.38378808
Grip1,9.053796,2.3672383,1.380825797382095e-19,5.111553474065509e-16,0.9090909090909091,0.7803845601951499,3.1118183,1.6408695
Rora,9.043175,2.3594449,1.5218618456465974e-19,5.111553474065509e-16,0.8727272727272727,0.8018367054096714,3.1000075,1.6352596
Htr1f,8.999142,4.132147,2.274894961722215e-19,6.791825291275102e-16,0.8,0.35518008322571387,2.2330914,0.38864353
Pde5a,8.80467,5.224845,1.3123797471299067e-18,3.205785800489145e-15,0.7272727272727273,0.1052877026833118,1.4800392,0.08684984
Zeb2,8.773945,1.8979421,1.7251389997941888e-18,3.862873743705821e-15,0.9818181818181818,0.8602381977328167,3.2866888,2.068188
Ptprm,8.648013,3.9383047,5.240371102554249e-18,1.0057769394688048e-14,0.8,0.379896685320706,2.4610398,0.5300863
Auts2,8.556967,1.4102459,1.1587561203031176e-17,1.9459860595340482e-14,0.9636363636363636,0.905330750466351,3.6189225,2.6849
Pde1c,8.531146,4.182124,1.4490456661696125e-17,2.1854422031602085e-14,0.7818181818181819,0.3341584158415842,2.1352968,0.34424913
Ttc28,8.529958,2.8517227,1.464010407773865e-17,2.1854422031602085e-14,0.8363636363636363,0.46552590041612857,1.6826802,0.47421873
Meis2,8.369702,3.1545286,5.776410307131312e-17,7.760607247630918e-14,0.8,0.4893098005452719,2.2482858,0.6685346
Kcnmb2,8.346568,4.0077558,7.027516919259193e-17,8.991875220023549e-14,0.7636363636363637,0.25663653321853924,1.9774177,0.32708415
