names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Nectin3,43.480965,2.8048568,0.0,0.0,0.8311772315653299,0.39063862042827363,1.4216492,0.37150502
Grik4,42.810177,2.3662436,0.0,0.0,0.8402328589909444,0.5529657002084518,1.8385142,0.70579344
Mgat4c,42.27513,2.299277,0.0,0.0,0.8816300129366106,0.7270797801781315,2.8341563,1.4478328
Ccbe1,41.359367,2.8101242,0.0,0.0,0.7852522639068564,0.29156717832101575,1.1316296,0.2619987
Rnf182,40.358086,2.4530072,0.0,0.0,0.7923673997412678,0.32484366117111996,0.91658497,0.24222359
Spock1,40.060097,1.9613847,0.0,0.0,0.8783958602846055,0.5957172635967406,1.8782793,0.8850679
Hs3st4,39.554836,2.5358117,0.0,0.0,0.8648124191461837,0.5899943149516771,2.4690604,1.052336
Shisa6,39.47842,2.075575,0.0,0.0,0.851228978007762,0.6041690354368012,2.0905619,0.9865245
Cpne4,38.720898,2.1420367,0.0,0.0,0.8428201811125485,0.52802728823195,1.7307163,0.718964
Raver2,38.499172,2.340926,0.0,0.0,0.7781371280724451,0.4012128103088876,1.171236,0.36420712
Rerg,38.302883,2.911861,0.0,0.0,0.7063389391979301,0.18449876823953004,0.7270878,0.1328244
Prkca,38.016342,1.5745478,0.0,0.0,0.8777490297542044,0.753799507295812,2.1026208,1.2276579
Schip1,37.80779,1.398161,0.0,0.0,0.8758085381630013,0.83100246352094,2.801428,1.9269801
9530026P05Rik,36.944702,2.5696979,8.859951594620682e-299,1.7004778524818408e-295,0.723156532988357,0.20022740193291644,0.8207409,0.19415645
Cadps,36.908474,1.0363798,3.379170833537508e-298,6.053221353143523e-295,0.8777490297542044,0.8265681258290696,2.611788,1.9677294
Nrp1,36.617912,1.7626723,1.4837017023878028e-293,2.4916915464475165e-290,0.8421733505821475,0.6101951866590866,1.726957,0.85974675
Khdrbs3,36.516277,1.6242608,6.117956141898985e-292,9.669969501930926e-289,0.8505821474773609,0.6645063483039606,1.9665079,1.0964491
Zbtb20,36.175293,1.6904136,1.489684173796526e-286,2.223767430550703e-283,0.9269081500646831,0.8651127534584044,3.3471398,2.2508907
Dgkb,35.88414,1.4654255,5.3996696230464234e-282,6.9090058462503524e-279,0.8880983182406209,0.773204472238014,2.4597583,1.5842166
Pkp2,35.640728,2.1647644,3.279962577898366e-278,4.0060270212785956e-275,0.7522639068564037,0.3048322910744741,0.7940369,0.23930562
Ak5,35.47076,1.4928,1.3884647628125827e-275,1.6220890511640913e-272,0.8842173350582148,0.658366496115217,1.7431406,0.98411155
Trhde,35.00362,2.1618936,1.981740947611548e-268,2.2187241359300955e-265,0.8098318240620958,0.5049080917187796,1.6229376,0.64659786
Efr3b,34.58971,1.8090992,3.6079817252498653e-262,3.8778587582985554e-259,0.8020698576972833,0.4381277240856547,0.9594627,0.37811315
Dock4,34.34774,1.0449097,1.5221366161867008e-258,1.573069649112948e-255,0.8622250970245796,0.8602615122228539,2.6206107,1.9708524
Slit2,34.15434,1.889891,1.1528530455874872e-255,1.147302271664288e-252,0.8344113842173351,0.5585370475649043,1.7230026,0.8071758
Cacna1c,34.14826,1.1491264,1.4191533747269146e-255,1.361880399246864e-252,0.8564036222509702,0.7800265302255069,2.2854738,1.6057504
Ryr3,33.96582,1.4406124,7.124965266288342e-253,6.601648851902335e-250,0.8402328589909444,0.7129050596930074,2.2269495,1.3980507
Gria2,33.630783,0.8236787,5.954655243032294e-248,5.3333862126759246e-245,0.96248382923674,0.9190828122039038,3.1695933,2.6305075
Nkain3,33.456455,1.6446979,2.073555374668389e-245,1.7973042876561166e-242,0.8395860284605433,0.660526814477923,2.0547678,1.1557318
Opcml,33.427265,0.9878094,5.508255035942097e-245,4.62521290049263e-242,0.9346701164294955,0.9254879666477165,3.7387831,3.0771992
Nell2,32.97526,1.2809445,1.8382879596725237e-238,1.4527881610706093e-235,0.9320827943078913,0.7578927420883077,2.221332,1.477641
